Country,Lag,MAE,RMSE,MAPE
CA,1,234.19350181153854,730.469677191239,1.0479424995736475
CA,2,246.3319489100149,732.7999796507779,1.0907534771775793
CA,3,259.4557021772595,740.2850161774567,1.1406951794064548
DE,1,648.1930412557302,1518.2849695046486,0.7889402082964453
DE,2,694.137908876888,1542.8888520848254,0.834727483752224
DE,3,737.6516449792997,1562.799888309476,0.8770001478186332
JP,1,909.9664676945758,2023.0170335133203,0.7348020711402493
JP,2,918.7024695799555,2028.9217266742517,0.7407588683560065
JP,3,953.4186950551915,2028.8833916071803,0.7604796847912848
KR,1,662.6634475860056,1570.9405020330096,1.1521142552639587
KR,2,817.0163283118078,1663.3542443102954,1.4460646080417343
KR,3,776.0419475847973,1668.9511737714406,1.3278074291687396
CH,1,252.5736576718042,595.3391661562782,1.7325785488063734
CH,2,271.8613195104075,641.1986313910155,1.8244397008646127
CH,3,270.5448083106123,616.3833298271161,1.833512404864854
GB,1,212.22737903491037,494.27709925799815,0.48811125035224046
GB,2,243.51674692875952,507.7596301842159,0.5279304581324891
GB,3,268.78310443875995,496.0566884600008,0.5619810890648232
US,1,3281.8918254498676,9000.994208350505,0.8461845904877219
US,2,3393.544498418961,9056.789293807844,0.87685907097863
US,3,3578.114075205797,9121.638761120428,0.9219158380295615
CN,1,1648.6639859279276,4791.587670297071,1.00153441003414
CN,2,2167.877084904484,5512.406197938921,1.220826560184053
CN,3,2166.7442125449966,5388.5425726560115,1.210590346337562
