Country,Lag,MAE,RMSE,MAPE
CA,1,185.82302879172335,537.6542851939324,0.7448494459149464
CA,2,213.6295714205886,564.0771457426531,0.8383772259095649
CA,3,216.3194164199249,588.666096094994,0.8116786444882113
DE,1,254.03387504931257,674.8147144534313,0.2545820477382907
DE,2,280.60884139441123,683.2789196022716,0.2828561663091989
DE,3,286.3580604314432,692.792100483228,0.28439898502998195
JP,1,735.6956616276642,1948.2394045412223,0.5175086049079499
JP,2,834.744589634371,2001.8695131336244,0.5835830267126446
JP,3,790.5154000764251,1964.4312060784698,0.5131340752249138
KR,1,625.1418454334656,1468.9735118639442,1.21097149394098
KR,2,717.2214580406115,1552.9896145804148,1.4101294967199598
KR,3,743.5619556569578,1539.7931742989076,1.5075672249856078
CH,1,244.63456391376963,637.151392573058,1.7748643221306297
CH,2,264.6299477079908,625.3267856898839,1.9108102696724667
CH,3,277.1720507155637,651.2910212553137,1.9923042505916355
GB,1,410.41703680080843,1896.4764219230105,0.7040837515203577
GB,2,426.4743099431419,1920.8471040804734,0.7377883920407848
GB,3,469.45444408751155,1940.1363571768536,0.7970181434252642
US,1,1516.081392195143,4916.952968758049,0.33931393067877025
US,2,1734.0030104436512,4903.971999676244,0.39346602495064903
US,3,1776.8746536992749,4929.6854460920995,0.4034685640551719
CN,1,2210.7409345353617,7762.108122480653,0.8620563558321467
CN,2,2544.5751738660097,7724.447761934475,0.9973797714959752
CN,3,2706.039930495175,8203.290290605535,1.0916567173257592
