Country,Lag,MAE,RMSE,MAPE
AU,1,286.50716857527084,338.4742459471039,2.953827056199401
AU,2,377.72951876198056,455.7837025405585,3.876754816343005
AU,3,416.4877151598267,527.9035577486595,4.861590544170257
AT,1,119.74818530953277,152.19635042923255,1.6531536637547233
AT,2,123.96759657009837,150.70063612021852,1.781746787262128
AT,3,121.72971301679735,151.5033517524613,1.987028276854214
BE,1,143.87678345148726,223.51717098155908,1.385429799101301
BE,2,141.56712789632488,204.46435819103775,1.4382020957314243
BE,3,143.10157222357978,212.18273470355427,1.4439623497718215
CA,1,302.2321357196618,393.62128646327164,1.489268057962473
CA,2,314.5017274557011,390.6610633876739,1.6117909350446036
CA,3,292.0851106141181,372.82725036206546,1.4951999137971554
CZ,1,130.30585728911026,162.41161427751322,2.707101212451204
CZ,2,128.59350869912103,171.11920335962233,2.7081258475556096
CZ,3,136.36352947756117,173.81311191880408,2.921598347057118
DK,1,73.07383904455864,98.72054982491821,1.5660723650860433
DK,2,75.16793289080724,99.99515433404716,1.6890025255390395
DK,3,73.51327061134658,100.84891509910625,1.542208100751465
FI,1,109.41628125119816,131.29855721061355,2.076697726791831
FI,2,113.7699402484296,137.60724092118832,2.1073659908680176
FI,3,97.44037884264658,125.71794971579247,1.7731424388920884
FR,1,319.6317020660787,407.6965896943655,0.7087367637422544
FR,2,339.4314203394161,440.63232376913305,0.7578314912285375
FR,3,373.9515720037049,456.7806288292118,0.816101401327194
DE,1,1091.6994348030494,1305.5120298607997,1.437156600811481
DE,2,1128.877302507569,1398.4213780033922,1.4871949988594673
DE,3,1071.9560908107292,1399.608048507518,1.4230329274694864
GR,1,100.55329569272938,131.3935675237274,5.342065907493736
GR,2,114.45862687555876,140.39709649892097,6.085605107868564
GR,3,115.737205850524,142.09768284846197,6.186353748307238
HU,1,55.48170391176514,77.90619741811034,2.334427172026846
HU,2,55.78218527701338,78.8437480930008,2.3278681033968662
HU,3,63.20639653484582,82.68966996270008,2.619832204925471
IS,1,9.691980899825667,13.766058593359594,4.132427949923881
IS,2,10.281944452747146,14.365405148485234,4.425199271255466
IS,3,10.236331292574148,14.553418820655807,4.8709748868929434
IE,1,49.11244477256718,75.55064421668153,2.145478224601322
IE,2,47.992814353094715,73.70451059790277,2.121013461666536
IE,3,47.48756259719206,69.44481268385721,2.253816672989042
IT,1,280.2132944730818,406.938292555108,1.2632008933383205
IT,2,297.206115488232,423.05739875687266,1.3237638662133597
IT,3,326.01309275915025,437.6695501898946,1.446204584178267
JP,1,1873.791756756504,2315.3508820453053,1.5201283903586364
JP,2,2060.5831565668936,2508.352153181156,1.6322598913259985
JP,3,1918.829795018177,2362.71366342093,1.5676624752910908
KR,1,1145.3278294989875,1661.7453745806847,2.599234612503069
KR,2,1244.7391466036386,1618.213554772245,2.892701247880897
KR,3,1333.7047299238827,1884.7691839839665,2.9254040467936795
LU,1,15.354686909138527,19.036357949551775,1.986905975394015
LU,2,18.548788999554912,23.06839085208757,2.408943091107439
LU,3,17.17668042332449,21.25432289417471,2.2433345615716416
MX,1,233.27057144653205,298.30423138236534,3.8748621517965445
MX,2,209.6306538617028,294.09010728801996,3.5912051854497773
MX,3,226.96817574618763,305.85210063091074,3.8255053302158526
NL,1,145.49217962662576,191.66795374106476,1.2138323816168906
NL,2,121.59694762974863,172.57725510007324,1.0499817742668822
NL,3,147.41860327159253,201.07363866066007,1.2625884716199343
NZ,1,63.01918983744956,88.9498072122311,4.290363161466336
NZ,2,67.95818450977886,90.18278985089478,4.488860083779148
NZ,3,63.5076363072297,89.63111396149088,4.362305904236588
NO,1,56.799153771471346,74.50972725189675,1.4606155594061323
NO,2,55.80804726165314,77.74697904592875,1.423108479717043
NO,3,62.649154750154445,86.7583734261432,1.717970289850661
PL,1,236.90078579631012,435.27374084374367,2.5232240377837534
PL,2,225.19343473893073,433.84057928029364,2.398319585253768
PL,3,235.46836390822216,426.30175997923703,2.538379513307527
PT,1,75.34569854694918,104.16978837898158,3.44571572512843
PT,2,71.85152720870717,97.10697306350953,3.1219692779383976
PT,3,78.3226121421386,112.0150386476223,3.1426255690121168
SK,1,30.931558489443717,41.76381829947539,3.4912029937597753
SK,2,39.456167241463774,51.48617574539986,4.524262278011524
SK,3,36.16361887533439,45.981145231860346,4.074657991942634
ES,1,281.91345196518074,355.0674965007988,3.0706085826628486
ES,2,276.89502669976423,343.4342632253638,3.032529427562454
ES,3,298.0422050375715,366.06691485693034,3.080941053708834
SE,1,217.4136117148422,276.43372836257686,1.7580701058489374
SE,2,208.0449091654773,252.83765270595714,1.7383872655295327
SE,3,214.48930716107475,257.80865149830703,1.9200170840707402
CH,1,515.002092801848,608.8030771518443,4.883011773432654
CH,2,413.828591145945,510.65535414713634,3.903765587099765
CH,3,629.0557104084942,754.738411309959,5.9073391642437425
TR,1,337.67720536872963,537.7146755562392,3.808931735506333
TR,2,328.3267789655381,525.3702563073922,3.895649014933009
TR,3,310.7928211851233,521.0448756658482,3.7417069223116024
GB,1,806.1997439857423,1469.1827089921399,1.6395716380004028
GB,2,747.5851239087382,1465.1289982253957,1.4731256975280724
GB,3,856.2776500358106,1720.7415266625953,1.6768070907729824
US,1,4499.532837442578,7834.627269701393,1.2066815751998365
US,2,4389.011966636609,6936.988798737969,1.1635659290278135
US,3,5384.0990307272095,7826.5710099007865,1.4438741726985618
AR,1,108.30079066002673,135.08377392970033,3.0058926937954937
AR,2,145.30482430979038,171.9634456158216,4.003971669506744
AR,3,156.8502358316514,190.8961649577366,4.1918713605113505
CL,1,35.85453237686119,42.33855642740578,2.554713613448553
CL,2,34.38206696024599,41.30696070062164,2.440253927590878
CL,3,31.731215827289844,38.73083011098305,2.2416891665773138
CN,1,8191.328847782196,11030.218345506659,6.476882333913732
CN,2,8099.597013624657,11443.323413818884,9.926388425015723
CN,3,8345.35399468189,10424.187805377695,8.423864729021401
EE,1,30.49472402279154,38.56720757081915,6.6308506939179
EE,2,37.11661365524971,43.93744095120799,7.760168724180947
EE,3,35.453840240344796,41.27779139576196,7.850129058464532
IL,1,233.8603427537938,328.9689528277759,2.4195864489772347
IL,2,241.8370435057047,338.2816143192524,2.485183841295285
IL,3,256.8277221283893,335.2699207399064,2.9121848670080053
RO,1,89.60612125733208,104.52409719401012,5.42628236348024
RO,2,91.90235729208771,108.34497740556256,5.692165113632477
RO,3,89.33266339045952,104.72211246677814,5.621614736893306
RU,1,628.5309215190923,842.6777219248524,2.3574157543093563
RU,2,576.7517287468133,718.6360305244035,2.171172237656805
RU,3,620.2974356771581,816.3573738496557,2.447607176411629
SG,1,226.88973064868418,311.52582232231384,3.561407852729301
SG,2,233.24430394478733,308.0900752007926,3.655917642622144
SG,3,221.64679989272395,308.7657644898781,3.5538687156559687
SI,1,27.153620964602908,35.29684581621126,2.5775424881454354
SI,2,28.38558798540662,35.395491157811584,2.684621146707559
SI,3,30.15120979639106,36.78326998918315,2.9068787047346203
ZA,1,133.1810899782613,157.64870694466595,3.4842410553049423
ZA,2,144.24360658625966,176.51394109990034,3.868121832204797
ZA,3,132.08549534732077,172.8965190690729,3.5814013786236165
TW,1,493.4405552378886,1113.082351393279,1.7855180944209719
TW,2,447.99797709760986,1001.5954251545884,1.6912799095762832
TW,3,472.6937988831355,957.8147345964334,1.9500985079431692
LV,1,10.462812870123273,17.306580757938196,4.958241391654837
LV,2,11.14625975124026,18.010571405832994,5.166190956101452
LV,3,11.01273675784937,17.33832199619383,5.211400647969285
LT,1,22.959209190881143,27.092224109131738,3.3733393884607983
LT,2,23.536835705546583,28.440571104539476,3.6243791267713004
LT,3,23.956425514385103,28.273256030147426,3.6318260239835767
CO,1,44.40779641292786,63.16234077125482,3.114369411545868
CO,2,59.240124073115304,78.47806846950137,4.712911279409636
CO,3,58.798937350167044,77.13388703640354,4.29414413203062
