Country,Lag,MAE,RMSE,MAPE
CA,1,590.8165141812499,657.0381906826154,3.834896629987815
CA,2,579.9899760953124,652.6547026571906,3.7956548870927227
CA,3,892.88729742695,974.2978491025337,6.03161410703378
DE,1,2816.1078069893883,3056.288538121795,3.866350196320351
DE,2,3496.4266546456383,3846.351174009246,4.999553478384354
DE,3,2776.3416937081383,3126.597031006739,3.8853843782302153
JP,1,4608.56781855925,5603.282190221202,3.9217864617397726
JP,2,4449.787597454002,5347.425117830298,3.7459221773776625
JP,3,4018.2932712342536,5229.456463595095,3.4812893023312004
KR,1,5403.294567498268,6359.386879946336,11.873296891174824
KR,2,5775.931286248268,7003.3509983530275,12.248594799662323
KR,3,5624.432588331601,6994.659616773869,11.258078519655584
CH,1,1050.6508654057052,1335.4360423398434,9.674232167014331
CH,2,1050.6508654057052,1335.4360423398434,9.674232167014331
CH,3,1050.6508654057052,1335.4360423398434,9.674232167014331
GB,1,1049.9045554435293,1206.5764937926547,2.5926527853087062
GB,2,1316.237981782815,1426.4053494939856,3.2816082026307063
GB,3,1571.4374661222148,1881.5111069671705,3.6089357905993222
US,1,13584.326714851755,16359.555523460464,4.091133579267459
US,2,12719.94364390475,15244.427076733287,3.9159183100998742
US,3,10256.12333140475,13174.83343397331,3.165080471734795
CN,1,28356.99125264897,30641.6326609078,13.991577123246415
CN,2,28380.87875264897,30633.643360863894,13.959267867275122
CN,3,34699.08214368702,39328.528986518126,17.97029399217738
