Country,Lag,MAE,RMSE,MAPE
CA,1,155.91883008251205,437.2451851969103,0.6263926893558807
CA,2,160.87391618154393,445.71810625178983,0.666744410291589
CA,3,158.30357770838575,433.80482963515624,0.6580230667464976
DE,1,250.99843421846512,710.1565809248852,0.2713470420964961
DE,2,285.772293850331,728.2913655050081,0.3050810077581253
DE,3,315.1750791233106,803.9577177148725,0.34329050588311355
JP,1,691.8303415288319,1768.5868659774737,0.495418571491004
JP,2,801.4738828864162,2312.4804137662113,0.6220086918553941
JP,3,865.8326322526651,2372.3008503472124,0.6624873408438325
KR,1,504.36428071717745,1539.1050215332339,0.9296722476319716
KR,2,356.20183166826445,1158.0195647776825,0.7490399950854085
KR,3,356.2581750785905,1158.2780917679943,0.7493771952271996
CH,1,216.92889481841883,622.6573590112026,1.6263671055657438
CH,2,237.87225419341883,693.9635501516777,1.8131141309754992
CH,3,237.87225419341883,693.9635501516777,1.8131141309754992
GB,1,388.3603679137593,1878.6983802355865,0.6446567249812392
GB,2,410.74475070192364,1887.1854823315743,0.7070152624507633
GB,3,408.8192547155904,1884.355710186599,0.7025683237406734
US,1,1237.3787128467495,4497.787124055925,0.2825902761794756
US,2,1385.03086204042,4666.407232841468,0.3328322588365481
US,3,1374.045934944923,4693.454287459597,0.3310584355984402
CN,1,1957.4037042541877,7235.71182114291,2.173684877422237
CN,2,1715.987894221293,6869.577008688132,1.1956542381543371
CN,3,1715.9656902739243,6869.581940478052,1.1956647962227829
