Country,Lag,MAE,RMSE,MAPE
CA,1,161.312651649114,443.26907988566035,0.670132516893576
CA,2,207.33483414934602,555.5459051459941,0.8440468566545463
CA,3,206.65429816147594,549.0553058659431,0.8421252615434589
DE,1,212.80809456523653,628.2915817959367,0.224427398148393
DE,2,224.7213781988738,658.1309263667686,0.24055795449874467
DE,3,241.99062709368187,678.8415469013232,0.25782931436726814
JP,1,604.4435353536234,1825.8543471527473,0.46615971728029804
JP,2,707.5143133448715,1863.1213077030088,0.5093837619369498
JP,3,784.771253467666,1859.0746389429728,0.5603466035109532
KR,1,405.0419726329383,1374.8625061180462,0.8000006484161752
KR,2,403.9146373747862,1373.023407459062,0.7937814199425809
KR,3,405.2144845215253,1375.3779486117255,0.8006460103772343
CH,1,204.43805009185633,581.7175923667703,1.51498244816867
CH,2,204.43805009185633,581.7175923667703,1.51498244816867
CH,3,204.43805009185633,581.7175923667703,1.51498244816867
GB,1,438.3683003139149,1922.5905884563147,0.8027520167435335
GB,2,423.33363602302603,1907.616391879131,0.7593427312890642
GB,3,425.9183921825329,1907.5417453481064,0.7631325902165047
US,1,1395.408294610878,4802.652094253708,0.33480836244854933
US,2,1459.7637277030856,4899.699217721896,0.35293237225867424
US,3,1472.6690235588346,4876.254144013463,0.3560371640945121
CN,1,1715.9944731686612,6869.551119300135,1.1956315705715181
CN,2,1610.086966707556,6806.070185853639,0.7665628906123966
CN,3,1610.086966707556,6806.070185853639,0.7665628906123966
