Country,Lag,MAE,RMSE,MAPE
AU,1,1010.9927167265696,1108.443668263594,7.911659163620685
AU,2,1860.8290660796192,2074.223159764143,12.333615242162974
AU,3,1794.5577645546045,2040.5082142949977,11.601495530814233
AT,1,507.48473203963005,574.286670199369,8.037413286660152
AT,2,314.6659445886789,366.4593704763608,6.504391871743638
AT,3,495.29415175098626,572.4565624456967,7.805873956332812
BE,1,495.2364076774226,630.8445752792152,4.3518358778698065
BE,2,463.21539076258574,611.1818191585862,4.515427727673569
BE,3,413.9270556007788,577.9798734023315,3.848290175467427
CA,1,780.2943189593,1043.6791512698705,4.4663254802788845
CA,2,731.5503092439624,876.1849428462491,4.287237144616383
CA,3,996.1445953965374,1153.8641314334086,5.956864053178183
CZ,1,336.9130305701718,391.8324686893858,5.868252180332596
CZ,2,371.90244891186495,467.5881123755297,6.225057114110198
CZ,3,441.99092547436493,502.96990043463927,7.331776913840374
DK,1,205.3423296234606,232.73838602689963,4.685828043100136
DK,2,223.52374999369192,253.37694339691024,5.3080219129671455
DK,3,228.62098399048818,255.82233471739576,5.613381848910088
FI,1,332.25447515243,404.4356521875538,6.914523562111668
FI,2,324.49516804275686,414.9827271848486,6.277234023785591
FI,3,486.23469916206193,599.3775572185505,11.389132392523974
FR,1,831.175247771338,1062.6360421093027,1.8183928566332115
FR,2,907.830032927588,1179.644499328157,1.9547795627200173
FR,3,959.033646208838,1240.483723634854,2.040205635153934
DE,1,2250.104609040387,2480.8395285079537,3.1257600818395277
DE,2,3606.736841649712,3978.4839462348236,4.688533082661831
DE,3,2646.5439379988384,2712.1829764036097,3.563416299936157
GR,1,279.839161877243,367.3921049770717,16.816362171614657
GR,2,379.41130506700875,469.6681904012434,25.3063534077155
GR,3,280.6314714475555,346.9888015457895,15.893664175155408
HU,1,282.5070697182709,376.86634222586724,10.856905892458862
HU,2,270.91767355941676,350.1364042111665,10.321787196150963
HU,3,255.92262603154333,356.24647192867695,8.874977055545843
IS,1,27.43155028812175,39.37522519177709,10.19526138601001
IS,2,32.479197643504946,49.619102352430744,11.23829246576394
IS,3,36.05281968819697,50.60699005118657,16.914488451196068
IE,1,151.0163318833639,162.78609221154028,6.507046023235265
IE,2,139.62383523978397,146.33463340456618,6.107261813856589
IE,3,239.01556737946933,306.36350329750525,8.472020188117025
IT,1,953.3918894265753,1122.6983590095106,4.327117838380926
IT,2,1311.3010691140753,1436.1930752031278,6.124159114284177
IT,3,1286.0637644265753,1415.1290706702982,6.0044436589219385
JP,1,4417.06873859275,5544.38846563588,3.796979995789855
JP,2,5025.29823078025,5972.923030043336,4.278962856178354
JP,3,4736.183096882747,5415.040392940168,3.915280419142713
KR,1,4898.621733175267,5509.420355268074,14.16277607683766
KR,2,3520.815092550267,3984.0069129870667,8.907136423331648
KR,3,3955.977351635434,4383.288511468048,10.173373553763165
LU,1,32.397968624697825,36.310694892626614,4.338133125403508
LU,2,32.19131429430345,36.43007511152103,4.323439079634863
LU,3,64.12192187176814,65.6344647147119,8.631102670001376
MX,1,738.8275664493382,958.6090041362487,9.485353369577092
MX,2,608.3922363981501,874.8623109401665,8.272043526111554
MX,3,860.1788574919001,1168.642290371549,11.3582001450556
NL,1,395.71714520937235,466.70641811599717,3.4577972305920994
NL,2,611.3232746898473,785.3277139995765,4.8594207239860046
NL,3,660.48723324461,972.7707891745976,5.222804369890335
NZ,1,197.53378010741702,205.02380806557719,12.637895262131476
NZ,2,186.17637303926458,207.56512156784922,10.520869499802444
NZ,3,168.7638956145349,190.8111324783564,9.3794206488359
NO,1,227.16548667924326,238.73214819451508,5.751409271053068
NO,2,224.89709475215992,237.5144369834903,5.761186187531697
NO,3,469.09997561153494,557.0027914820117,9.290570393427835
