Country,Lag,MAE,RMSE,MAPE,Model,Sub-Model,Variation
CA,1,846.9259996,2183.064352,4.150734612,ElasticNet,MGT,Related
CA,2,974.7816079,2416.165828,4.64252945,ElasticNet,MGT,Related
CA,3,989.0327442,2450.062074,4.699420179,ElasticNet,MGT,Related
DE,1,2818.412919,5567.114474,3.377832788,ElasticNet,MGT,Related
DE,2,2917.412287,5805.896609,3.547575388,ElasticNet,MGT,Related
DE,3,3035.163452,6218.214672,3.703216872,ElasticNet,MGT,Related
JP,1,6926.825868,11507.38712,5.244175534,ElasticNet,MGT,Related
JP,2,7148.509014,12105.76964,5.394868333,ElasticNet,MGT,Related
JP,3,7178.030035,12422.07282,5.416925134,ElasticNet,MGT,Related
KR,1,5928.458363,8160.700159,11.3379339,ElasticNet,MGT,Related
KR,2,5101.05413,7101.486644,9.440449754,ElasticNet,MGT,Related
KR,3,4758.557602,6475.137839,8.607926449,ElasticNet,MGT,Related
CH,1,158.7085062,289.6830564,0.997383249,ElasticNet,MGT,Related
CH,2,245.5738096,509.8543372,1.856254912,ElasticNet,MGT,Related
CH,3,444.6240689,933.8448878,3.633563933,ElasticNet,MGT,Related
GB,1,1648.848775,2309.687001,3.108660484,ElasticNet,MGT,Related
GB,2,1244.680112,1929.02038,2.428042236,ElasticNet,MGT,Related
GB,3,1169.595726,1887.069149,2.307957055,ElasticNet,MGT,Related
US,1,21779.44935,36825.76956,5.149904048,ElasticNet,MGT,Related
US,2,20191.06041,36584.51921,4.972210471,ElasticNet,MGT,Related
US,3,19835.09247,38072.18154,4.997698051,ElasticNet,MGT,Related
CN,1,45694.54034,52690.15728,39.89567502,ElasticNet,MGT,Related
CN,2,43262.1321,49887.54374,37.76514019,ElasticNet,MGT,Related
CN,3,41084.27067,47831.61549,36.27978402,ElasticNet,MGT,Related
CA,1,2885.97044,3466.5824,24.55819128,ElasticNet,AGT,Related
CA,2,2808.023438,3451.704832,24.28913628,ElasticNet,AGT,Related
CA,3,2772.837175,3445.496274,24.16007653,ElasticNet,AGT,Related
DE,1,5919.667922,8014.756285,9.972145752,ElasticNet,AGT,Related
DE,2,5831.56432,7951.084132,9.870198521,ElasticNet,AGT,Related
DE,3,5667.453128,7880.380272,9.698716738,ElasticNet,AGT,Related
JP,1,13738.83892,21801.31476,18.42380051,ElasticNet,AGT,Related
JP,2,14012.49929,21678.97048,18.47667368,ElasticNet,AGT,Related
JP,3,13932.95421,21591.52396,18.37995635,ElasticNet,AGT,Related
KR,1,12052.00387,14714.04001,24.3620616,ElasticNet,AGT,Related
KR,2,9140.005607,11076.25691,18.51037607,ElasticNet,AGT,Related
KR,3,7526.42074,9170.251448,15.30108842,ElasticNet,AGT,Related
CH,1,1811.074256,2132.011879,13.84603806,ElasticNet,AGT,Related
CH,2,1532.439837,1896.893094,13.41629343,ElasticNet,AGT,Related
CH,3,1439.912227,1861.179709,12.86154802,ElasticNet,AGT,Related
GB,1,2163.359834,3525.955455,4.851287883,ElasticNet,AGT,Related
GB,2,1861.099933,3006.512973,4.277765537,ElasticNet,AGT,Related
GB,3,1812.545497,2923.410341,4.184708729,ElasticNet,AGT,Related
US,1,46115.39259,54328.80612,18.13963619,ElasticNet,AGT,Related
US,2,43175.07036,51209.12047,17.54067755,ElasticNet,AGT,Related
US,3,40790.87654,49480.53432,17.08987504,ElasticNet,AGT,Related
