,Country,Year,rd_expenditure,gdpca,unemp_rate,population,inflation,export_vol,import_vol,rd_expenditure_missing,gdpca_missing,unemp_rate_missing,population_missing,inflation_missing,export_vol_missing,import_vol_missing,date,Month,Businesses_R&D expenditure_mean_YTD,Businesses_product development_mean_YTD,Consulting Firms_innovation management_mean_YTD,Consulting Firms_innovation strategy_mean_YTD,Government agencies_government grants_mean_YTD,Government agencies_research funding_mean_YTD,Innovation Hubs_startup incubation_mean_YTD,Innovation Hubs_technology park_mean_YTD,Patent Attorneys_patent attorney_mean_YTD,Patent Attorneys_patent registration_mean_YTD,R&D Employees_R&D jobs_mean_YTD,Research Institutions_collaboration with industry_mean_YTD,Research Institutions_research grant_mean_YTD,Tax Authorities_R&D tax credit_mean_YTD,VCs_VC investment_mean_YTD,VCs_startup funding_mean_YTD,Businesses_R&D expenditure_yearly_avg,Businesses_product development_yearly_avg,Consulting Firms_innovation management_yearly_avg,Consulting Firms_innovation strategy_yearly_avg,Government agencies_government grants_yearly_avg,Government agencies_research funding_yearly_avg,Innovation Hubs_startup incubation_yearly_avg,Innovation Hubs_technology park_yearly_avg,Patent Attorneys_patent attorney_yearly_avg,Patent Attorneys_patent registration_yearly_avg,R&D Employees_R&D jobs_yearly_avg,Research Institutions_collaboration with industry_yearly_avg,Research Institutions_research grant_yearly_avg,Tax Authorities_R&D tax credit_yearly_avg,VCs_VC investment_yearly_avg,VCs_startup funding_yearly_avg
0,AU,1981,3.52848030733419,11778.67,5.783,15.039,28.85,-3.403,10.042,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AU,1984,4.3060880852438705,13680.46,8.967,15.677,36.75,16.092,22.058,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AU,1986,5.28729705661648,15109.67,8.117,16.139,42.775,3.625,-3.149,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AU,1987,5.396351998914169,15987.47,8.108,16.395,46.425,12.119,2.516,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AU,1988,5.73300771614531,16952.8,7.208,16.687,49.8,7.3,21.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AU,1990,6.40471206951182,18868.09,6.942,17.17,57.45,7.512,-4.211,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AU,1992,7.7680476793501105,19816.45,10.742,17.557,59.925,6.299,6.706,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AU,1994,8.65921765085622,22153.9,9.717,17.893,62.15,7.94,14.59,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AU,1996,9.802094662967841,24079.86,8.525,18.33,66.75,10.286,7.454,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AU,1998,9.77878851879929,26576.71,7.692,18.706,67.475,0.22,7.295,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AU,2000,10.645325454764999,28977.11,6.292,19.141,71.475,11.59,8.006,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AU,2002,12.7492982354658,31414.95,6.358,19.605,76.9,0.814,11.035,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AU,2004,14.376729015559901,34506.07,5.383,20.046,80.85,3.722,15.201,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,AU,2006,17.7668299065731,37681.75,4.792,20.628,85.95,3.423,8.672,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,AU,2008,21.0180736819903,40547.26,4.25,21.476,91.8,4.407,10.745,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,AU,2010,21.3666816443911,41764.15,5.208,22.172,96.1,5.709,16.142,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AU,2011,21.522601176338,43129.59,5.083,22.522,99.325,-0.144,10.557,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,AU,2013,22.441069224281097,46524.09,5.658,23.298,103.475,5.89,-2.284,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,AU,2015,21.157076647211802,46341.97,6.05,23.985,107.65,6.319,2.265,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,AU,2017,21.2368733829169,49643.81,5.583,24.761,111.2,3.432,7.775,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AU,2019,21.7387368023472,52613.85,5.192,25.527,115.15,3.226,-1.033,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,AT,1981,2.36604635295964,12252.31,2.2,7.556,56.837,5.063,-0.771,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,AT,1982,2.51456998280253,13240.95,3.1,7.565,59.929,1.591,-4.667,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,AT,1983,2.6102527703235703,14187.11,3.7,7.543,61.928,3.638,5.691,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,AT,1984,2.7259139955107097,14746.34,3.8,7.544,65.436,6.334,10.05,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,AT,1985,2.7987237825605997,15543.38,3.6,7.549,67.523,7.1,6.156,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,AT,1986,2.95731089424752,16210.52,3.1,7.557,68.696,-2.348,-2.911,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,AT,1987,3.01576962179672,16868.12,3.8,7.567,69.663,3.101,5.447,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,AT,1988,3.2155403565888,17608.35,2.676,7.576,70.964,10.2,10.4,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,AT,1989,3.39331659596151,18965.09,2.348,7.594,72.561,10.544,10.158,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,AT,1990,3.66659314660687,20394.2,2.723,7.645,74.575,8.572,7.98,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,AT,1991,4.008533233530541,21622.62,3.151,7.711,76.899,2.937,5.114,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,AT,1992,4.05554360943465,22323.6,3.29,7.799,79.534,1.319,2.116,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,AT,1993,4.12540208664879,22729.42,3.958,7.883,82.106,-2.373,-5.489,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,AT,1994,4.45604272460601,23634.05,3.85,7.929,84.332,5.688,10.332,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,AT,1995,4.6356604067906,24712.36,4.242,7.948,85.691,7.205,5.905,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,AT,1996,4.90280088218226,25733.62,4.717,7.959,87.209,9.979,8.642,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,AT,1997,5.240212670027501,26695.11,4.758,7.968,88.225,11.028,7.27,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,AT,1998,5.67924526724512,27931.75,4.708,7.977,88.947,7.852,5.758,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,AT,1999,6.26782119127983,29275.66,4.142,7.992,89.406,6.434,4.064,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,AT,2000,6.62214483774095,30875.24,3.883,8.012,91.156,13.525,10.186,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,AT,2001,7.08324366890752,31848.75,4.008,8.042,93.253,5.771,5.192,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,AT,2002,7.46725550111105,32717.29,4.392,8.082,94.822,4.286,0.291,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,AT,2003,7.93367489558838,33527.29,4.792,8.118,96.056,0.531,3.507,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,AT,2004,8.11903650214408,35147.25,5.892,8.169,97.94,8.661,7.975,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,AT,2005,9.09499376194869,36811.31,6.017,8.225,100.0,6.665,5.455,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,AT,2006,9.35358234652983,39055.31,5.625,8.268,101.685,7.576,5.855,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,AT,2007,9.94570835428377,41469.21,5.192,8.295,103.923,7.572,5.635,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,AT,2008,10.721074509744499,42745.92,4.442,8.322,107.279,2.171,0.954,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,AT,2009,10.4270471362422,41301.36,5.717,8.341,107.714,-14.368,-11.899,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,AT,2010,11.1475974802985,42465.96,5.175,8.361,109.538,13.131,11.97,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,AT,2011,11.231742657556401,44469.2,4.9,8.389,113.418,5.935,5.954,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
