Model,Train_RMSE,Validation_RMSE,Test_RMSE,Train_MAE,Validation_MAE,Test_MAE,Train_MAPE,Validation_MAPE,Test_MAPE,Model_Type
Model_1,4097.59033203125,5027.8818359375,4398.458984375,2225.456787109375,2410.662109375,2337.4453125,1.7351213693618774,1.8412076234817505,1.6358146667480469,gelu_5lyr_128_64
Model_2,3610.979248046875,4598.7763671875,3937.63623046875,1613.9722900390625,1811.617431640625,1690.9498291015625,1.1524639129638672,1.2891404628753662,1.0839885473251345,gelu_5lyr_128_64
Ensemble,,4785.78271484375,4141.822265625,,2100.5009765625,2002.7496337890625,,1.536677002906799,1.3302597999572754,gelu_5lyr_128_64
Model_1,4195.56396484375,5108.84521484375,4511.857421875,2314.29638671875,2484.818359375,2450.1328125,1.635531663894653,1.6989473104476929,1.5662306547164917,gelu_5lyr_128_64_64
Model_2,4081.02880859375,5022.85400390625,4386.99072265625,2098.19873046875,2272.158447265625,2208.336181640625,1.4956753253936768,1.581614971160889,1.4261549711227417,gelu_5lyr_128_64_64
Ensemble,,5062.541015625,4445.701171875,,2377.666015625,2328.42236328125,,1.6386237144470217,1.4957798719406128,gelu_5lyr_128_64_64
Model_1,4103.3916015625,5031.85546875,4414.3466796875,2151.40576171875,2324.431396484375,2277.999267578125,1.4156641960144043,1.4915060997009275,1.3695313930511477,gelu_5lyr_128_64_8
Model_2,3460.101806640625,4156.888671875,3608.388916015625,1690.9371337890625,1803.1671142578125,1779.7835693359375,1.395202398300171,1.4475018978118896,1.287014126777649,gelu_5lyr_128_64_8
Ensemble,,4534.2841796875,3952.89794921875,,2030.755615234375,1986.8612060546875,,1.4218043088912964,1.2949204444885254,gelu_5lyr_128_64_8
Model_1,3384.298828125,4003.2685546875,3496.5322265625,1526.4371337890625,1620.8548583984375,1584.4266357421875,1.1041274070739746,1.0980148315429688,1.040076732635498,test_0
Model_2,4374.74658203125,5204.22412109375,4660.9814453125,2473.919677734375,2682.55810546875,2675.737548828125,1.6281317472457886,1.7512798309326172,1.5912482738494873,test_0
Ensemble,,4492.50048828125,3946.758056640625,,2099.077880859375,2084.61328125,,1.3286951780319214,1.24110746383667,test_0
Model_1,3474.57470703125,4486.61767578125,3754.54052734375,1232.0877685546875,1419.5921630859375,1273.0711669921875,0.9272129535675048,0.9881014227867126,0.8391650319099426,gelu_5lyr_128
Model_2,4013.88037109375,4942.86474609375,4363.23291015625,2170.10107421875,2352.462158203125,2313.708251953125,1.5494621992111206,1.7052934169769287,1.5509631633758545,gelu_5lyr_128
Ensemble,,4656.72802734375,3994.70849609375,,1831.573486328125,1742.6395263671875,,1.2415045499801636,1.0940018892288208,gelu_5lyr_128
Model_1,4021.71142578125,4951.96337890625,4374.0302734375,2145.126708984375,2332.887451171875,2294.852783203125,1.4745062589645386,1.5868419408798218,1.454020619392395,gelu_5lyr_180
Model_2,3452.4423828125,4409.15478515625,3748.622314453125,1453.776611328125,1599.717529296875,1507.227294921875,1.055688738822937,1.1000436544418335,0.9937176704406738,gelu_5lyr_180
Ensemble,,4619.73779296875,3997.4091796875,,1944.6396484375,1882.6053466796875,,1.307289958000183,1.2078487873077393,gelu_5lyr_180
Model_1,4088.866943359375,5103.076171875,4412.09814453125,1853.0809326171875,2014.36181640625,1920.791015625,1.271702766418457,1.339056372642517,1.1758891344070437,gelu_5lyr_128_64_16_8
Model_2,4116.3798828125,5047.90625,4421.189453125,2144.334716796875,2311.619873046875,2261.557373046875,1.4594075679779053,1.57510507106781,1.427707314491272,gelu_5lyr_128_64_16_8
Ensemble,,5063.15576171875,4400.14501953125,,2160.237548828125,2089.297607421875,,1.4474307298660278,1.295473575592041,gelu_5lyr_128_64_16_8
