Country,Feature,Elasticity
CA,Businesses_R&D expenditure_mean_YTD,0.0
CA,Businesses_R&D expenditure_yearly_avg_lag1,0.0
CA,Businesses_R&D expenditure_yearly_avg_lag2,0.0
CA,Businesses_R&D expenditure_yearly_avg_lag3,0.0
CA,Businesses_product development_mean_YTD,0.0
CA,Businesses_product development_yearly_avg_lag1,0.0
CA,Businesses_product development_yearly_avg_lag2,0.0
CA,Businesses_product development_yearly_avg_lag3,0.0
CA,Consulting Firms_innovation management_mean_YTD,0.0
CA,Consulting Firms_innovation management_yearly_avg_lag1,0.0
CA,Consulting Firms_innovation management_yearly_avg_lag2,0.0
CA,Consulting Firms_innovation management_yearly_avg_lag3,0.0
CA,Consulting Firms_innovation strategy_mean_YTD,0.0
CA,Consulting Firms_innovation strategy_yearly_avg_lag1,0.0
CA,Consulting Firms_innovation strategy_yearly_avg_lag2,0.0
CA,Consulting Firms_innovation strategy_yearly_avg_lag3,0.0
CA,Government agencies_government grants_mean_YTD,-0.001663710761650075
CA,Government agencies_government grants_yearly_avg_lag1,0.00018891223702549695
CA,Government agencies_government grants_yearly_avg_lag2,-0.00040540898325777946
CA,Government agencies_government grants_yearly_avg_lag3,-0.0003203929846236978
CA,Government agencies_research funding_mean_YTD,-0.0043123726772459885
CA,Government agencies_research funding_yearly_avg_lag1,0.0009428288940867904
CA,Government agencies_research funding_yearly_avg_lag2,0.000709725639664553
CA,Government agencies_research funding_yearly_avg_lag3,0.0009226356153733157
CA,Innovation Hubs_startup incubation_mean_YTD,0.0
CA,Innovation Hubs_startup incubation_yearly_avg_lag1,0.0
CA,Innovation Hubs_startup incubation_yearly_avg_lag2,0.0
CA,Innovation Hubs_startup incubation_yearly_avg_lag3,0.0
CA,Innovation Hubs_technology park_mean_YTD,-0.0014538258546963334
CA,Innovation Hubs_technology park_yearly_avg_lag1,0.0003394939122377001
CA,Innovation Hubs_technology park_yearly_avg_lag2,0.00032416885695701853
CA,Innovation Hubs_technology park_yearly_avg_lag3,0.0003393876773301482
CA,Month,-0.0031773152379056197
CA,Patent Attorneys_patent attorney_mean_YTD,-0.0011058371760995097
CA,Patent Attorneys_patent attorney_yearly_avg_lag1,0.00023958340978189822
CA,Patent Attorneys_patent attorney_yearly_avg_lag2,0.00017877872719949546
CA,Patent Attorneys_patent attorney_yearly_avg_lag3,0.00017450350235101783
CA,Patent Attorneys_patent registration_mean_YTD,-0.0008349782449870197
CA,Patent Attorneys_patent registration_yearly_avg_lag1,0.00028486535477514414
CA,Patent Attorneys_patent registration_yearly_avg_lag2,0.0002158062761795478
CA,Patent Attorneys_patent registration_yearly_avg_lag3,0.0002449423015355757
CA,R&D Employees_R&D jobs_mean_YTD,-0.0006805634746401225
CA,R&D Employees_R&D jobs_yearly_avg_lag1,0.00016948320276682235
CA,R&D Employees_R&D jobs_yearly_avg_lag2,0.00013502057830215388
CA,R&D Employees_R&D jobs_yearly_avg_lag3,0.00013601134126093388
CA,Research Institutions_collaboration with industry_mean_YTD,0.0
CA,Research Institutions_collaboration with industry_yearly_avg_lag1,0.0
CA,Research Institutions_collaboration with industry_yearly_avg_lag2,0.0
CA,Research Institutions_collaboration with industry_yearly_avg_lag3,0.0
CA,Research Institutions_research grant_mean_YTD,0.0
CA,Research Institutions_research grant_yearly_avg_lag1,0.0
CA,Research Institutions_research grant_yearly_avg_lag2,0.0
CA,Research Institutions_research grant_yearly_avg_lag3,0.0
CA,Tax Authorities_R&D tax credit_mean_YTD,-0.00018832474365368515
CA,Tax Authorities_R&D tax credit_yearly_avg_lag1,8.408880322320094e-05
CA,Tax Authorities_R&D tax credit_yearly_avg_lag2,2.58900024545578e-06
CA,Tax Authorities_R&D tax credit_yearly_avg_lag3,2.025309231612482e-05
CA,VCs_VC investment_mean_YTD,-0.00015670070733170676
CA,VCs_VC investment_yearly_avg_lag1,1.1868850466975522e-06
CA,VCs_VC investment_yearly_avg_lag2,-0.0002157753375227443
CA,VCs_VC investment_yearly_avg_lag3,-0.00020099830259471586
CA,VCs_startup funding_mean_YTD,-0.0010925827141040974
CA,VCs_startup funding_yearly_avg_lag1,0.0005555173034618718
CA,VCs_startup funding_yearly_avg_lag2,0.0006620398625537129
CA,VCs_startup funding_yearly_avg_lag3,0.0006841924225520944
CA,Year,-0.011426150876908533
CA,export_vol_lag1,-3.421493446723851e-06
CA,export_vol_lag2,-4.410578629968739e-05
CA,export_vol_lag3,-7.61359030870916e-05
CA,gdpca_lag1,0.032883021301559866
CA,gdpca_lag2,-0.02314506609353327
CA,gdpca_lag3,-0.05525432048786071
CA,import_vol_lag1,0.00019379909011795168
CA,import_vol_lag2,0.00016041144878228453
CA,import_vol_lag3,9.167855797357099e-05
CA,inflation_lag1,0.0012323745633400377
CA,inflation_lag2,0.0010230612907288295
CA,inflation_lag3,0.0009292238063344191
CA,population_lag1,0.0005099686340526528
CA,population_lag2,0.0005115808374548872
CA,population_lag3,0.000508622607711943
CA,rd_expenditure_lag1,0.5998129209203105
CA,rd_expenditure_lag2,0.23965163927885794
CA,rd_expenditure_lag3,0.1578263298398064
CA,rd_expenditure_missing_lag1,0.0
CA,rd_expenditure_missing_lag2,0.0
CA,rd_expenditure_missing_lag3,0.0
CA,unemp_rate_lag1,-0.00023037896176139193
CA,unemp_rate_lag2,-0.000299766935894431
CA,unemp_rate_lag3,-0.0003134663030646005
CH,Businesses_R&D expenditure_mean_YTD,0.0
CH,Businesses_R&D expenditure_yearly_avg_lag1,0.0
CH,Businesses_R&D expenditure_yearly_avg_lag2,0.0
CH,Businesses_R&D expenditure_yearly_avg_lag3,0.0
CH,Businesses_product development_mean_YTD,-0.0024351523024961352
CH,Businesses_product development_yearly_avg_lag1,0.0009370307906508623
CH,Businesses_product development_yearly_avg_lag2,0.000727319175244442
CH,Businesses_product development_yearly_avg_lag3,0.000771159420505033
CH,Consulting Firms_innovation management_mean_YTD,0.0
CH,Consulting Firms_innovation management_yearly_avg_lag1,0.0
CH,Consulting Firms_innovation management_yearly_avg_lag2,0.0
CH,Consulting Firms_innovation management_yearly_avg_lag3,0.0
CH,Consulting Firms_innovation strategy_mean_YTD,-0.0010354742262279615
CH,Consulting Firms_innovation strategy_yearly_avg_lag1,0.00031703974543363856
CH,Consulting Firms_innovation strategy_yearly_avg_lag2,0.00033535738492944454
CH,Consulting Firms_innovation strategy_yearly_avg_lag3,0.0003189750198847226
CH,Government agencies_government grants_mean_YTD,0.0
CH,Government agencies_government grants_yearly_avg_lag1,0.0
CH,Government agencies_government grants_yearly_avg_lag2,0.0
CH,Government agencies_government grants_yearly_avg_lag3,0.0
CH,Government agencies_research funding_mean_YTD,0.0
CH,Government agencies_research funding_yearly_avg_lag1,0.0
CH,Government agencies_research funding_yearly_avg_lag2,0.0
