Iteration,Training_Loss
0,38755336000.0
1,24372834000.0
2,55686270000.0
3,41972600000.0
4,73998780000.0
5,45841543000.0
6,47661036000.0
7,40355275000.0
8,58541150000.0
9,75187770000.0
10,54654517000.0
11,62046577000.0
12,20015512000.0
13,46487355000.0
14,65831790000.0
15,33834707000.0
16,38639950000.0
17,24239854000.0
18,55124214000.0
19,41294746000.0
20,72189650000.0
21,44164837000.0
22,45134815000.0
23,37200327000.0
24,52187010000.0
25,64042017000.0
26,43646620000.0
27,45484777000.0
28,12733501000.0
29,25511959000.0
30,29075223000.0
31,10311099000.0
32,7191794700.0
33,1701225200.0
34,723470900.0
35,884792000.0
36,7240011000.0
37,6848991000.0
38,5763403000.0
39,3467083500.0
40,1879181300.0
41,437759520.0
42,283739600.0
43,1097788400.0
44,581659200.0
45,2182067000.0
46,4106367000.0
47,1839962000.0
48,2087513200.0
49,989784100.0
50,2137629300.0
51,985680300.0
52,939220540.0
53,187846770.0
54,188157820.0
55,412730100.0
56,864146050.0
57,1289276000.0
58,951780860.0
59,708211700.0
60,272497100.0
61,146941600.0
62,127311840.0
63,113969656.0
64,248801100.0
65,224144910.0
66,729096450.0
67,521728000.0
68,827725400.0
69,280118400.0
70,238374580.0
71,68574340.0
72,72014580.0
73,121644590.0
74,183581000.0
75,250785940.0
76,152876020.0
77,183920200.0
78,130448180.0
79,62668932.0
80,39789284.0
81,63043188.0
82,141474700.0
83,130160030.0
84,246449440.0
85,92419020.0
86,144100020.0
87,44619370.0
88,44326736.0
89,31556992.0
90,41225924.0
91,59555184.0
92,59334760.0
93,66540384.0
94,65964176.0
95,30161304.0
96,20362878.0
97,44861068.0
98,57491496.0
99,48189636.0
100,86077140.0
101,24653068.0
102,77935304.0
103,20739868.0
104,27742974.0
105,18401600.0
106,25218894.0
107,27280038.0
108,39079020.0
109,23706848.0
110,31518108.0
111,9034504.0
112,10371694.0
113,41750156.0
114,45640156.0
115,31934360.0
116,49884844.0
117,8919269.0
118,52922930.0
119,11194557.0
120,20990822.0
121,14411966.0
122,23000108.0
123,20686522.0
124,36175210.0
125,10642786.0
126,21760986.0
127,2244802.5
128,8203879.0
129,43207436.0
130,155045810.0
131,20650456.0
132,24901902.0
133,6056144.0
134,32710790.0
135,10153028.0
136,24411884.0
137,16926888.0
138,21913964.0
139,15955870.0
140,38870690.0
141,3864370.0
142,25216982.0
143,1993851.8
144,10438417.0
145,45359468.0
146,40902550.0
147,20061740.0
148,25619736.0
149,4805557.5
150,33938010.0
151,8382010.0
152,22120424.0
153,15069146.0
154,21721736.0
155,15787895.0
156,38438060.0
157,3722776.5
158,22838620.0
159,1225865.4
160,9401111.0
161,44565988.0
162,39428880.0
163,19492856.0
164,25469454.0
165,4762761.5
166,34178330.0
167,8130641.0
168,21726740.0
169,14589628.0
170,21620556.0
171,15691195.0
172,38551980.0
173,3725433.2
174,22601672.0
175,1107020.9
176,9137415.0
177,44158828.0
178,38363790.0
179,18693362.0
180,24822746.0
181,5031723.5
182,33880090.0
183,8141900.0
184,21625130.0
185,14239315.0
186,21493570.0
187,15615004.0
188,38863230.0
189,3713881.5
190,22735420.0
191,1068545.6
192,8936223.0
193,43683476.0
194,37127850.0
195,19226704.0
196,24000706.0
197,5623612.5
198,33293292.0
199,8260092.0
200,21601758.0
201,13854872.0
202,21390440.0
203,15619852.0
204,39337196.0
205,3728092.8
206,22963708.0
207,1027818.44
208,8707820.0
209,43123610.0
210,35717840.0
211,16730283.0
212,23585490.0
213,5817469.0
214,33434564.0
215,8057039.5
216,21021104.0
217,13204506.0
218,21368692.0
219,15652922.0
220,39436764.0
221,3709165.8
222,22254168.0
223,844067.9
224,8374767.0
225,42612190.0
226,34940228.0
227,16369286.0
228,23484874.0
229,5816852.0
230,33594836.0
231,7955135.5
232,20783318.0
233,12974184.0
234,21377954.0
235,15654431.0
236,39263350.0
237,3709735.2
238,21928788.0
239,777558.4
240,8242453.0
241,42383050.0
242,34561120.0
243,16145537.0
244,23391742.0
245,5905292.5
246,33587644.0
247,7922384.5
248,20693458.0
249,12855370.0
250,21392382.0
251,15666872.0
252,39302610.0
253,3709976.2
254,21774874.0
255,741987.3
256,8152189.5
257,42179904.0
258,34159144.0
259,15873769.0
260,23280712.0
261,6040422.5
262,33557252.0
263,7888348.0
264,20588448.0
265,12722482.0
266,21419214.0
267,15686337.0
268,39329410.0
269,3713442.5
270,21587562.0
271,709695.7
272,8067745.5
273,41986104.0
274,33810470.0
275,15656000.0
276,23205722.0
277,6132690.0
278,33563052.0
279,7851430.0
280,20493582.0
281,12618012.0
282,21445516.0
283,15694455.0
284,39321984.0
285,3721668.5
286,21403580.0
287,687544.7
288,8004898.5
289,41838224.0
290,33563828.0
291,15502491.0
292,23154770.0
293,6205581.0
294,33564170.0
295,7824274.0
296,20428800.0
297,12545611.0
298,21467622.0
299,15697675.0
300,39313428.0
301,3730616.0
302,21258874.0
303,674737.3
304,7959709.5
305,41719624.0
306,33363896.0
307,15369829.0
308,23111062.0
309,6282599.5
310,33554990.0
311,7802490.5
312,20375272.0
313,12484822.0
314,21489772.0
315,15700436.0
316,39302360.0
317,3741251.8
318,21129280.0
319,667662.56
320,7923812.0
321,41616904.0
322,33389638.0
323,15218613.0
324,23060622.0
325,6422236.5
326,33496694.0
327,7787922.5
328,20322154.0
329,12419571.0
330,21523946.0
331,15714305.0
332,39299636.0
333,3754458.0
334,20998044.0
335,665513.3
336,7891118.0
337,41513004.0
338,33041238.0
339,15159714.0
340,23047480.0
341,6406168.5
342,33550732.0
343,7763922.0
344,20285892.0
345,12390291.0
346,21526616.0
347,15693560.0
348,39254972.0
349,3770374.5
350,20901174.0
351,666095.25
352,7874473.0
353,41464296.0
354,32972290.0
355,15095245.0
356,23022400.0
357,6485664.5
358,33511066.0
359,7757046.5
360,20263800.0
361,12357177.0
362,21544904.0
363,15696954.0
364,39250100.0
365,3780933.0
366,20818712.0
367,669466.06
368,7856296.5
369,41391356.0
370,32858854.0
371,15010168.0
372,22998666.0
373,6556416.5
374,33498712.0
375,7742853.0
376,20226324.0
377,12320024.0
378,21562832.0
379,15691239.0
380,39214950.0
381,3801607.2
382,20720734.0
383,676224.7
384,7841911.5
385,41341410.0
386,32805414.0
387,14964347.0
388,22980926.0
389,6613826.0
390,33473576.0
391,7735677.0
392,20206840.0
393,12294083.0
394,21576142.0
395,15687431.0
396,39195960.0
397,3816651.8
398,20648338.0
399,683245.94
400,7830530.5
401,41292104.0
402,32739870.0
403,14905090.0
404,22962980.0
405,6682777.5
406,33449962.0
407,7726213.0
408,20179634.0
409,12265113.0
410,21591882.0
411,15681109.0
412,39163108.0
413,3838691.2
414,20569540.0
415,692929.8
416,7820997.5
417,41255040.0
418,32707910.0
419,14867761.0
420,22947890.0
421,6747066.0
422,33418762.0
423,7720644.0
424,20161496.0
425,12241670.0
426,21605264.0
427,15676161.0
428,39138124.0
429,3857903.2
430,20504178.0
431,702849.2
432,7813044.5
433,41219600.0
434,32673112.0
435,14825200.0
436,22932988.0
437,6816413.0
438,33388802.0
439,7714146.5
440,20139408.0
441,12217255.0
442,21619478.0
443,15668646.0
444,39103720.0
445,3882490.8
446,20437784.0
447,714502.25
448,7806240.0
449,41194124.0
450,32663218.0
451,14796936.0
452,22919662.0
453,6886350.0
454,33350626.0
455,7710482.0
456,20122618.0
457,12195754.0
458,21633244.0
459,15663294.0
460,39074020.0
461,3905954.0
462,20379406.0
463,726511.75
464,7800161.0
465,41170020.0
466,32653626.0
467,14766552.0
468,22907112.0
469,6959622.5
470,33313344.0
