Iteration,Training_Loss
0,38755220000.0
1,24372965000.0
2,55687463000.0
3,41975087000.0
4,74003940000.0
5,45847708000.0
6,47669380000.0
7,40365290000.0
8,58556180000.0
9,75209785000.0
10,54678940000.0
11,62078423000.0
12,20036964000.0
13,46526810000.0
14,65886930000.0
15,33880664000.0
16,38728900000.0
17,24337570000.0
18,55505520000.0
19,41696820000.0
20,72975696000.0
21,44605890000.0
22,45125740000.0
23,36015034000.0
24,46744383000.0
25,49129250000.0
26,23746425000.0
27,9961101000.0
28,1890925800.0
29,27724753000.0
30,18807812000.0
31,2109948300.0
32,1472885100.0
33,2800014800.0
34,13384560000.0
35,12545223000.0
36,25143180000.0
37,14835238000.0
38,14257071000.0
39,9203966000.0
40,9395274000.0
41,5754312000.0
42,591434600.0
43,1613635500.0
44,3001932800.0
45,10730206000.0
46,11437317000.0
47,2052102400.0
48,241014880.0
49,577435400.0
50,4165067800.0
51,4679119400.0
52,9859987000.0
53,5466644500.0
54,4807478300.0
55,2269623300.0
56,1284416400.0
57,115982824.0
58,638811650.0
59,2429419800.0
60,986012200.0
61,2397265700.0
62,1718868900.0
63,117080216.0
64,92985750.0
65,488776400.0
66,1912959500.0
67,1681891300.0
68,2443111000.0
69,781233000.0
70,357080540.0
71,14735868.0
72,368997150.0
73,1138872700.0
74,755451400.0
75,377756740.0
76,59270040.0
77,46822680.0
78,327684930.0
79,243546660.0
80,327253950.0
81,266493360.0
82,414371600.0
83,151523150.0
84,67413380.0
85,32355828.0
86,90847260.0
87,152957220.0
88,285039460.0
89,231161460.0
90,56338040.0
91,41431500.0
92,125360344.0
93,181379060.0
94,355155140.0
95,115421060.0
96,71689610.0
97,74436220.0
98,43177252.0
99,27785968.0
100,117891030.0
101,71743340.0
102,49117940.0
103,14328407.0
104,31998918.0
105,27091348.0
106,53754410.0
107,50595452.0
108,74925260.0
109,16011462.0
110,34078560.0
111,6318653.0
112,17339702.0
113,58213184.0
114,40002510.0
115,16810108.0
116,35278344.0
117,9789043.0
118,61275772.0
119,15234161.0
120,32809218.0
121,16605028.0
122,32766452.0
123,20854298.0
124,53833620.0
125,12627956.0
126,30677560.0
127,5139221.5
128,13161245.0
129,59143016.0
130,51457264.0
131,26127332.0
132,38080550.0
133,8846794.0
134,48094110.0
135,10332710.0
136,32342568.0
137,23224990.0
138,32061688.0
139,20515860.0
140,58786268.0
141,13214641.0
142,41049250.0
143,6702763.0
144,13148118.0
145,55784050.0
146,40052144.0
147,16644991.0
148,33056696.0
149,10968039.0
150,45426588.0
151,9559281.0
152,27243888.0
153,15171747.0
154,30136260.0
155,20393550.0
156,53437270.0
157,8953738.0
158,29040714.0
159,3718196.8
160,11485608.0
161,53481596.0
162,41046012.0
163,18597708.0
164,31339898.0
165,8230190.0
166,45041188.0
167,8947565.0
168,26692538.0
169,15848844.0
170,28602868.0
171,19292174.0
172,52384656.0
173,8547631.0
174,30388596.0
175,3410010.8
176,10877107.0
177,51584044.0
178,38295812.0
179,16565412.0
180,29883940.0
181,8452029.0
182,43455652.0
183,8573209.0
184,25201346.0
185,14326743.0
186,27606490.0
187,18676032.0
188,49487790.0
189,7327744.5
190,27252220.0
191,2686556.5
192,10239679.0
193,50145630.0
194,38534420.0
195,17119306.0
196,28935292.0
197,7769422.0
198,41785044.0
199,8263117.5
200,24634622.0
201,14228385.0
202,26616424.0
