Country,Feature,Elasticity
CA,Businesses_R&D expenditure_mean_YTD,0.0
CA,Businesses_R&D expenditure_yearly_avg_lag1,0.0
CA,Businesses_R&D expenditure_yearly_avg_lag2,0.0
CA,Businesses_R&D expenditure_yearly_avg_lag3,0.0
CA,Businesses_product development_mean_YTD,0.0
CA,Businesses_product development_yearly_avg_lag1,0.0
CA,Businesses_product development_yearly_avg_lag2,0.0
CA,Businesses_product development_yearly_avg_lag3,0.0
CA,Consulting Firms_innovation management_mean_YTD,0.0
CA,Consulting Firms_innovation management_yearly_avg_lag1,0.0
CA,Consulting Firms_innovation management_yearly_avg_lag2,0.0
CA,Consulting Firms_innovation management_yearly_avg_lag3,0.0
CA,Consulting Firms_innovation strategy_mean_YTD,0.0
CA,Consulting Firms_innovation strategy_yearly_avg_lag1,0.0
CA,Consulting Firms_innovation strategy_yearly_avg_lag2,0.0
CA,Consulting Firms_innovation strategy_yearly_avg_lag3,0.0
CA,Government agencies_government grants_mean_YTD,-0.00030702349439736513
CA,Government agencies_government grants_yearly_avg_lag1,0.00033867759249856574
CA,Government agencies_government grants_yearly_avg_lag2,0.0004017886807559989
CA,Government agencies_government grants_yearly_avg_lag3,0.00046829877880349334
CA,Government agencies_research funding_mean_YTD,-0.0006249733978033726
CA,Government agencies_research funding_yearly_avg_lag1,0.0004682676973208154
CA,Government agencies_research funding_yearly_avg_lag2,0.0006530303965255077
CA,Government agencies_research funding_yearly_avg_lag3,0.0006869874366055873
CA,Innovation Hubs_startup incubation_mean_YTD,0.0
CA,Innovation Hubs_startup incubation_yearly_avg_lag1,0.0
CA,Innovation Hubs_startup incubation_yearly_avg_lag2,0.0
CA,Innovation Hubs_startup incubation_yearly_avg_lag3,0.0
CA,Innovation Hubs_technology park_mean_YTD,-0.0003107968714996992
CA,Innovation Hubs_technology park_yearly_avg_lag1,4.018539287156478e-05
CA,Innovation Hubs_technology park_yearly_avg_lag2,9.256585854605111e-05
CA,Innovation Hubs_technology park_yearly_avg_lag3,9.98022755318802e-05
CA,Month,-0.0007832243790025748
CA,Patent Attorneys_patent attorney_mean_YTD,-0.00018598383453096294
CA,Patent Attorneys_patent attorney_yearly_avg_lag1,1.5038257974846337e-05
CA,Patent Attorneys_patent attorney_yearly_avg_lag2,3.6486356105841324e-05
CA,Patent Attorneys_patent attorney_yearly_avg_lag3,3.676778713035615e-05
CA,Patent Attorneys_patent registration_mean_YTD,-8.939696507138339e-05
CA,Patent Attorneys_patent registration_yearly_avg_lag1,9.63727893547677e-05
CA,Patent Attorneys_patent registration_yearly_avg_lag2,0.0001335440271026117
CA,Patent Attorneys_patent registration_yearly_avg_lag3,0.00011976582855793587
CA,R&D Employees_R&D jobs_mean_YTD,-9.645799166924741e-05
CA,R&D Employees_R&D jobs_yearly_avg_lag1,1.934710833871401e-05
CA,R&D Employees_R&D jobs_yearly_avg_lag2,1.5261305528721065e-05
CA,R&D Employees_R&D jobs_yearly_avg_lag3,2.9690318734215144e-05
CA,Research Institutions_collaboration with industry_mean_YTD,0.0
CA,Research Institutions_collaboration with industry_yearly_avg_lag1,0.0
CA,Research Institutions_collaboration with industry_yearly_avg_lag2,0.0
CA,Research Institutions_collaboration with industry_yearly_avg_lag3,0.0
CA,Research Institutions_research grant_mean_YTD,0.0
CA,Research Institutions_research grant_yearly_avg_lag1,0.0
CA,Research Institutions_research grant_yearly_avg_lag2,0.0
CA,Research Institutions_research grant_yearly_avg_lag3,0.0
CA,Tax Authorities_R&D tax credit_mean_YTD,-4.0530344524320815e-05
CA,Tax Authorities_R&D tax credit_yearly_avg_lag1,6.363836732670015e-05
CA,Tax Authorities_R&D tax credit_yearly_avg_lag2,5.809737181592819e-05
CA,Tax Authorities_R&D tax credit_yearly_avg_lag3,5.7532304265717565e-05
CA,VCs_VC investment_mean_YTD,-2.05431353547723e-06
CA,VCs_VC investment_yearly_avg_lag1,9.221705967643028e-05
CA,VCs_VC investment_yearly_avg_lag2,8.69441261578862e-05
CA,VCs_VC investment_yearly_avg_lag3,6.651226682269255e-05
CA,VCs_startup funding_mean_YTD,-0.0006738768931808731
CA,VCs_startup funding_yearly_avg_lag1,-0.0001989436659876505
CA,VCs_startup funding_yearly_avg_lag2,-0.0001606497568225736
CA,VCs_startup funding_yearly_avg_lag3,-0.00012279549611864034
CA,Year,0.006531890611644955
CA,export_vol_lag1,6.745313815871111e-05
CA,export_vol_lag2,3.4261868942790426e-05
CA,export_vol_lag3,1.570958393571228e-05
CA,gdpca_lag1,0.023982418400626027
CA,gdpca_lag2,-0.005635551699144285
CA,gdpca_lag3,-0.02747825130579933
CA,import_vol_lag1,0.0001742976337364751
CA,import_vol_lag2,0.00013169815290659185
CA,import_vol_lag3,6.409006893972542e-05
CA,inflation_lag1,0.0007965570336372982
CA,inflation_lag2,0.0007392921809843111
CA,inflation_lag3,0.0007019058408801474
CA,population_lag1,0.0007865075645367464
CA,population_lag2,0.0007862604328341061
CA,population_lag3,0.0007891767425462603
CA,rd_expenditure_lag1,0.39684474737413467
CA,rd_expenditure_lag2,0.3171089401168208
CA,rd_expenditure_lag3,0.28542402011732904
CA,rd_expenditure_missing_lag1,0.0
CA,rd_expenditure_missing_lag2,0.0
CA,rd_expenditure_missing_lag3,0.0
CA,unemp_rate_lag1,4.396672808481174e-05
CA,unemp_rate_lag2,2.3231503142127505e-05
CA,unemp_rate_lag3,2.2593945702958024e-05
CH,Businesses_R&D expenditure_mean_YTD,0.0
CH,Businesses_R&D expenditure_yearly_avg_lag1,0.0
CH,Businesses_R&D expenditure_yearly_avg_lag2,0.0
CH,Businesses_R&D expenditure_yearly_avg_lag3,0.0
CH,Businesses_product development_mean_YTD,-0.00034666175183485306
CH,Businesses_product development_yearly_avg_lag1,0.00018931315640830214
CH,Businesses_product development_yearly_avg_lag2,0.00018066590114141859
CH,Businesses_product development_yearly_avg_lag3,0.0002091439486581034
CH,Consulting Firms_innovation management_mean_YTD,0.0
CH,Consulting Firms_innovation management_yearly_avg_lag1,0.0
CH,Consulting Firms_innovation management_yearly_avg_lag2,0.0
CH,Consulting Firms_innovation management_yearly_avg_lag3,0.0
CH,Consulting Firms_innovation strategy_mean_YTD,-0.00021844612776822898
CH,Consulting Firms_innovation strategy_yearly_avg_lag1,3.298903634242292e-05
CH,Consulting Firms_innovation strategy_yearly_avg_lag2,5.22218473460747e-05
CH,Consulting Firms_innovation strategy_yearly_avg_lag3,5.8572338059006835e-05
CH,Government agencies_government grants_mean_YTD,0.0
CH,Government agencies_government grants_yearly_avg_lag1,0.0
CH,Government agencies_government grants_yearly_avg_lag2,0.0
CH,Government agencies_government grants_yearly_avg_lag3,0.0
CH,Government agencies_research funding_mean_YTD,0.0
CH,Government agencies_research funding_yearly_avg_lag1,0.0
