Iteration,Training_Loss
0,38755115000.0
1,24372333000.0
2,55684653000.0
3,41970782000.0
4,73995250000.0
5,45837795000.0
6,47656280000.0
7,40350030000.0
8,58532180000.0
9,75175290000.0
10,54643364000.0
11,62032910000.0
12,20007786000.0
13,46472930000.0
14,65810840000.0
15,33818410000.0
16,38629870000.0
17,24217305000.0
18,54915120000.0
19,40965313000.0
20,70835320000.0
21,42579743000.0
22,42024554000.0
23,32390625000.0
24,39925043000.0
25,39299113000.0
26,17931890000.0
27,6960607000.0
28,71558240.0
29,11787626000.0
30,22264960000.0
31,5104796700.0
32,877586600.0
33,128893250.0
34,2730489600.0
35,4040026600.0
36,9832346000.0
37,6005515300.0
38,5856412000.0
39,3565351200.0
40,3348790500.0
41,1771842000.0
42,118903810.0
43,590267260.0
44,921374000.0
45,3564049400.0
46,4910820000.0
47,1605545200.0
48,531918850.0
49,77128490.0
50,488860860.0
51,861946940.0
52,2297545000.0
53,1271380500.0
54,1257411800.0
55,597058050.0
56,407779550.0
57,107850750.0
58,73850264.0
59,368008100.0
60,253614860.0
61,709701800.0
62,764254300.0
63,216475820.0
64,48615572.0
65,50949492.0
66,239059600.0
67,287859870.0
68,581348860.0
69,219991000.0
70,220719460.0
71,44320148.0
72,22465196.0
73,47226732.0
74,95754730.0
75,142125120.0
76,56567540.0
77,67751944.0
78,41510920.0
79,2203871.5
80,15953873.0
81,68644860.0
82,141141090.0
83,104777224.0
84,136143550.0
85,20420818.0
86,44347860.0
87,10022045.0
88,47821810.0
89,72354780.0
90,51245476.0
91,30902442.0
92,36250236.0
93,4215511.5
94,40752690.0
95,13267411.0
96,28582778.0
97,61488740.0
98,66953870.0
99,28978158.0
100,27029428.0
101,6957927.0
102,30763778.0
103,15673962.0
104,35895012.0
105,25043078.0
106,21956206.0
107,15308588.0
108,44028180.0
109,9949527.0
110,43522380.0
111,6774347.0
112,13070477.0
113,44590788.0
114,34040776.0
115,13671185.0
116,23725672.0
117,10237967.0
118,31198612.0
119,8336846.5
120,20344470.0
121,12279391.0
122,22555662.0
123,16921950.0
124,40907132.0
125,3841813.2
126,22709048.0
127,809260.0
128,7900188.0
129,40840550.0
130,32091648.0
131,14610928.0
132,23183188.0
133,5277184.5
134,34293516.0
135,11539985.0
136,21401322.0
137,13185393.0
138,25388422.0
139,18818550.0
140,40863820.0
141,3611915.0
142,20460650.0
143,984252.6
144,7863470.0
145,39971588.0
146,31148898.0
147,14587488.0
148,23537696.0
149,4559284.0
150,35905300.0
151,7427786.0
152,19807922.0
153,12132725.0
154,21297934.0
155,14774035.0
156,38072948.0
157,3980145.5
158,20526338.0
159,688028.0
160,8052819.0
161,42381788.0
162,35853850.0
163,16926612.0
164,24034516.0
165,5230852.0
166,33104188.0
167,7777224.5
168,20942066.0
169,12779061.0
170,21245654.0
171,15186553.0
172,39913956.0
173,3699196.2
174,22889720.0
175,839587.56
176,8078760.5
177,41410936.0
178,32471616.0
179,14328754.0
180,22911196.0
181,6316933.0
182,33268232.0
183,7454306.0
184,19903872.0
185,12143895.0
186,21712210.0
187,15243008.0
188,38991190.0
189,3713940.2
190,20703252.0
191,707427.0
192,7833650.5
193,41377230.0
194,33542716.0
195,15389783.0
196,23253108.0
197,5677168.5
198,33360056.0
199,7557106.0
200,20234558.0
201,12247547.0
202,21453814.0
203,15223575.0
204,39367656.0
205,3609131.8
206,21308414.0
207,689624.7
208,7859348.0
209,41216480.0
210,32687468.0
211,14617207.0
212,22946652.0
213,6163372.5
214,33329776.0
215,7449726.5
216,48499516.0
217,17451482.0
218,21171868.0
219,18537518.0
220,35844984.0
221,20820050.0
222,22253496.0
223,1634562.6
224,19030316.0
225,52323556.0
226,43872170.0
227,13216844.0
228,34657428.0
229,16629552.0
230,31748672.0
231,7615447.5
232,23309280.0
233,19333856.0
234,25930094.0
235,15067844.0
236,36993156.0
237,9757282.0
238,24248948.0
239,2399801.5
240,7832526.5
241,43593588.0
242,42269110.0
243,22206874.0
244,26943678.0
245,5267883.5
246,31527724.0
247,9705654.0
248,25380892.0
249,14936684.0
250,21411572.0
251,17244628.0
252,43634560.0
253,5393536.5
254,26030708.0
255,750582.3
256,7766130.0
257,39379932.0
258,29089496.0
259,12558926.0
260,23628198.0
261,6157238.0
262,36834420.0
263,8210327.5
264,20909474.0
265,13086257.0
266,21526362.0
267,14879196.0
268,36485980.0
269,6803582.5
270,20320188.0
271,864725.06
272,8175050.0
273,44129620.0
274,41203864.0
275,18893848.0
276,23586260.0
277,7561156.5
278,31162364.0
279,9550772.0
280,22529602.0
281,12518894.0
282,22362586.0
283,17848312.0
284,41936556.0
285,3829103.2
286,21696950.0
287,22011284.0
288,10647867.0
289,39332724.0
290,33319210.0
291,13612201.0
292,23674192.0
293,4077051.5
294,48295076.0
295,13385304.0
296,24927892.0
297,13154533.0
298,21232268.0
299,18696852.0
300,35294276.0
301,10520258.0
302,20577758.0
303,655550.4
304,10344285.0
305,48857696.0
306,49999290.0
307,13943256.0
308,52852536.0
309,5674999.0
310,58087092.0
311,20820372.0
312,30034934.0
313,12884787.0
314,23127672.0
315,27420566.0
316,35184410.0
317,12764497.0
318,20176426.0
319,1130131.0
320,13813029.0
321,52841696.0
322,56314204.0
323,21139902.0
324,22900226.0
325,15837628.0
326,31709238.0
327,12928933.0
328,22687740.0
329,12286877.0
330,26621250.0
331,22475980.0
332,42380910.0
333,3584297.8
334,20001052.0
335,1908792.2
336,8616791.0
337,39445516.0
338,30687108.0
339,14311722.0
340,23101876.0
341,5221155.0
342,35048584.0
343,7351112.0
344,19918308.0
345,12113792.0
346,21316720.0
347,14863749.0
348,38625588.0
349,3897491.2
350,20384988.0
351,676367.7
352,7795813.0
353,41451680.0
354,33028324.0
355,14171978.0
356,22907238.0
357,7832215.0
358,32817456.0
359,7408553.5
360,19756584.0
361,12118448.0
362,22004492.0
363,15076893.0
364,38202490.0
365,4637470.0
366,19997726.0
367,842490.44
368,7787912.0
369,42079452.0
370,35184164.0
371,15203782.0
372,22816564.0
373,8363107.5
374,32014790.0
375,7715842.0
376,19959860.0
377,12085721.0
378,22400416.0
379,15602252.0
380,38708428.0
381,4408710.0
