Iteration,Training_Loss
0,38755156000.0
1,24372519000.0
2,55683965000.0
3,41968600000.0
4,73990504000.0
5,45831807000.0
6,47647728000.0
7,40339480000.0
8,58515070000.0
9,75150330000.0
10,54616433000.0
11,61996876000.0
12,19981610000.0
13,46425420000.0
14,65744134000.0
15,33761116000.0
16,38545285000.0
17,24205412000.0
18,55218710000.0
19,41529800000.0
20,73051830000.0
21,45116867000.0
22,46791470000.0
23,39417230000.0
24,56956980000.0
25,72799090000.0
26,52580856000.0
27,59325256000.0
28,18937119000.0
29,43724206000.0
30,61431906000.0
31,31153646000.0
32,35260210000.0
33,21775778000.0
34,49518090000.0
35,36659368000.0
36,63789847000.0
37,38686937000.0
38,39597700000.0
39,32576414000.0
40,46373060000.0
41,58087760000.0
42,40786956000.0
43,45010550000.0
44,13747871000.0
45,31185025000.0
46,42740430000.0
47,20591208000.0
48,22579980000.0
49,13097684000.0
50,29789550000.0
51,20844329000.0
52,35025084000.0
53,19943350000.0
54,19716708000.0
55,14766209000.0
56,20019130000.0
57,23295097000.0
58,14637278000.0
59,14939426000.0
60,3945111600.0
61,8100612000.0
62,10018763000.0
63,3903598000.0
64,3779967200.0
65,1720686100.0
66,3850271700.0
67,2146627100.0
68,2776853500.0
69,1509496600.0
70,1296538600.0
71,989455700.0
72,578638800.0
73,598660540.0
74,551987200.0
75,570603840.0
76,517984500.0
77,858687550.0
78,850570700.0
79,741621000.0
80,1088359200.0
81,972518400.0
82,1345394700.0
83,909148000.0
84,1194022000.0
85,786912300.0
86,521549440.0
87,563382400.0
88,517562050.0
89,463502900.0
90,372491680.0
91,248413900.0
92,120598840.0
93,63530904.0
94,64298576.0
95,30032602.0
96,119330060.0
97,142565360.0
98,242156600.0
99,141302780.0
100,256082690.0
101,180471040.0
102,386366200.0
103,233158980.0
104,306215650.0
105,337858850.0
106,214822500.0
107,251734050.0
108,127054490.0
109,136494270.0
110,161110780.0
111,45048920.0
112,80502760.0
113,97238470.0
114,164203070.0
115,98490936.0
116,123656344.0
117,54650896.0
118,157328940.0
119,56305510.0
120,83467080.0
121,58044924.0
122,49148148.0
123,61066364.0
124,57011220.0
125,31539062.0
126,52224424.0
127,13443663.0
128,23989964.0
129,54407108.0
130,67364824.0
131,50340730.0
132,65103440.0
133,27680216.0
134,96177740.0
135,24605384.0
136,55337024.0
137,30446796.0
138,30137576.0
139,44103668.0
140,52244090.0
141,27354892.0
142,45836736.0
143,7074056.5
144,20753542.0
145,52660412.0
146,77621384.0
147,52350084.0
148,72936024.0
149,32686510.0
150,120544110.0
151,38238812.0
152,67165440.0
153,43641950.0
154,34208972.0
155,51816852.0
156,56052616.0
157,32120742.0
158,52249360.0
159,10140637.0
160,24337284.0
161,55542652.0
162,75302450.0
163,51977536.0
164,76010200.0
165,33634770.0
166,119579530.0
167,33162140.0
168,61922856.0
169,38303840.0
170,30741420.0
171,47432504.0
172,54250570.0
173,29035800.0
174,47357804.0
175,6841275.0
176,19150000.0
177,51949500.0
178,73170456.0
179,49263930.0
180,68080776.0
181,28707416.0
182,107600600.0
183,31087824.0
184,59431892.0
185,34639830.0
186,30164678.0
187,43954316.0
188,51990816.0
189,26964298.0
190,48126068.0
191,8183751.5
192,21486158.0
193,53748652.0
194,70028590.0
195,47793652.0
196,68405976.0
197,28918066.0
198,109485010.0
199,32286170.0
200,60892730.0
201,37233680.0
202,32325314.0
203,45940470.0
204,52944736.0
205,27294292.0
206,47104144.0
207,7195149.0
208,21025120.0
209,54032628.0
210,73182210.0
211,48718790.0
212,67356210.0
213,27932546.0
214,106600740.0
215,31492720.0
216,59660420.0
217,35690656.0
218,32025364.0
219,44110650.0
220,51730156.0
221,25930744.0
222,46532560.0
223,7327285.0
224,21097688.0
225,54063396.0
226,71016280.0
227,47097720.0
228,65579932.0
229,26802016.0
230,103316960.0
231,30159962.0
232,58351732.0
233,34696210.0
234,31923404.0
235,43226784.0
236,51296030.0
237,25210218.0
238,45246090.0
239,6832339.0
240,20573614.0
241,53601600.0
242,69882664.0
243,45828348.0
244,64594450.0
245,26134690.0
246,101695330.0
247,29481950.0
248,57370184.0
249,33842084.0
250,31523016.0
251,42260804.0
252,50789600.0
253,24560282.0
254,44992844.0
255,6802651.5
256,20356734.0
257,53622252.0
258,69492936.0
259,45063840.0
260,63439684.0
261,25351294.0
262,99555570.0
263,28882320.0
264,56640920.0
265,33384754.0
266,31719422.0
267,41633416.0
268,50378692.0
269,23934330.0
270,44364748.0
271,6617068.5
272,20160732.0
273,53598772.0
274,69029410.0
275,44510388.0
276,62504310.0
277,24598598.0
278,97610936.0
279,27976242.0
280,55587988.0
281,32607398.0
282,31554796.0
283,40835764.0
284,49923724.0
285,23297774.0
286,43737188.0
287,6364443.0
288,19706928.0
289,53315736.0
290,68250790.0
291,43924380.0
292,61467744.0
293,23798484.0
294,95446550.0
295,26880248.0
296,54369064.0
297,31669432.0
298,31259546.0
299,39953892.0
300,49437004.0
301,22660380.0
302,43069204.0
303,6090873.0
