Country,Feature,Elasticity
CA,Businesses_R&D expenditure_mean_YTD,0.0
CA,Businesses_R&D expenditure_yearly_avg_lag1,0.0
CA,Businesses_R&D expenditure_yearly_avg_lag2,0.0
CA,Businesses_R&D expenditure_yearly_avg_lag3,0.0
CA,Businesses_product development_mean_YTD,0.0
CA,Businesses_product development_yearly_avg_lag1,0.0
CA,Businesses_product development_yearly_avg_lag2,0.0
CA,Businesses_product development_yearly_avg_lag3,0.0
CA,Consulting Firms_innovation management_mean_YTD,0.0
CA,Consulting Firms_innovation management_yearly_avg_lag1,0.0
CA,Consulting Firms_innovation management_yearly_avg_lag2,0.0
CA,Consulting Firms_innovation management_yearly_avg_lag3,0.0
CA,Consulting Firms_innovation strategy_mean_YTD,0.0
CA,Consulting Firms_innovation strategy_yearly_avg_lag1,0.0
CA,Consulting Firms_innovation strategy_yearly_avg_lag2,0.0
CA,Consulting Firms_innovation strategy_yearly_avg_lag3,0.0
CA,Government agencies_government grants_mean_YTD,-0.0018097436616963316
CA,Government agencies_government grants_yearly_avg_lag1,-0.0001452688388986468
CA,Government agencies_government grants_yearly_avg_lag2,-0.00027954226147372654
CA,Government agencies_government grants_yearly_avg_lag3,-0.00021509873987387467
CA,Government agencies_research funding_mean_YTD,-0.0027377711592106928
CA,Government agencies_research funding_yearly_avg_lag1,8.514167906645115e-05
CA,Government agencies_research funding_yearly_avg_lag2,0.00014445267605028234
CA,Government agencies_research funding_yearly_avg_lag3,0.0002391005651354076
CA,Innovation Hubs_startup incubation_mean_YTD,0.0
CA,Innovation Hubs_startup incubation_yearly_avg_lag1,0.0
CA,Innovation Hubs_startup incubation_yearly_avg_lag2,0.0
CA,Innovation Hubs_startup incubation_yearly_avg_lag3,0.0
CA,Innovation Hubs_technology park_mean_YTD,-0.0009302311655764859
CA,Innovation Hubs_technology park_yearly_avg_lag1,-6.961512382634194e-05
CA,Innovation Hubs_technology park_yearly_avg_lag2,-4.50763291331485e-05
CA,Innovation Hubs_technology park_yearly_avg_lag3,-3.3581766699846354e-05
CA,Month,-0.0015191976007519125
CA,Patent Attorneys_patent attorney_mean_YTD,-0.0005584734444123422
CA,Patent Attorneys_patent attorney_yearly_avg_lag1,-2.5691651060168947e-05
CA,Patent Attorneys_patent attorney_yearly_avg_lag2,-2.341625536392976e-05
CA,Patent Attorneys_patent attorney_yearly_avg_lag3,-2.4334742371842542e-05
CA,Patent Attorneys_patent registration_mean_YTD,-0.0004047585419034623
CA,Patent Attorneys_patent registration_yearly_avg_lag1,7.07734448834315e-05
CA,Patent Attorneys_patent registration_yearly_avg_lag2,7.342427348087386e-05
CA,Patent Attorneys_patent registration_yearly_avg_lag3,9.093000331895676e-05
CA,R&D Employees_R&D jobs_mean_YTD,-0.0003124178274329977
CA,R&D Employees_R&D jobs_yearly_avg_lag1,-2.1704261344864557e-05
CA,R&D Employees_R&D jobs_yearly_avg_lag2,-3.146984344928041e-05
CA,R&D Employees_R&D jobs_yearly_avg_lag3,-2.671838156681089e-05
CA,Research Institutions_collaboration with industry_mean_YTD,0.0
CA,Research Institutions_collaboration with industry_yearly_avg_lag1,0.0
CA,Research Institutions_collaboration with industry_yearly_avg_lag2,0.0
CA,Research Institutions_collaboration with industry_yearly_avg_lag3,0.0
CA,Research Institutions_research grant_mean_YTD,0.0
CA,Research Institutions_research grant_yearly_avg_lag1,0.0
CA,Research Institutions_research grant_yearly_avg_lag2,0.0
CA,Research Institutions_research grant_yearly_avg_lag3,0.0
CA,Tax Authorities_R&D tax credit_mean_YTD,-0.0001209870057062935
CA,Tax Authorities_R&D tax credit_yearly_avg_lag1,3.4700912160147826e-05
CA,Tax Authorities_R&D tax credit_yearly_avg_lag2,4.430885714569857e-06
CA,Tax Authorities_R&D tax credit_yearly_avg_lag3,1.1616452609579878e-05
CA,VCs_VC investment_mean_YTD,-0.00018874563334505976
CA,VCs_VC investment_yearly_avg_lag1,-0.00011787700317537172
CA,VCs_VC investment_yearly_avg_lag2,-0.00021668865013071487
CA,VCs_VC investment_yearly_avg_lag3,-0.00022568969589267527
CA,VCs_startup funding_mean_YTD,-0.0004486440080654575
CA,VCs_startup funding_yearly_avg_lag1,0.0001674069991241272
CA,VCs_startup funding_yearly_avg_lag2,0.0002257241424749443
CA,VCs_startup funding_yearly_avg_lag3,0.00023027837249672655
CA,Year,0.012306940294201336
CA,rd_expenditure_lag1,0.49077487039950585
CA,rd_expenditure_lag2,0.2911276255884478
CA,rd_expenditure_lag3,0.2204179432122938
CA,rd_expenditure_missing_lag1,0.0
CA,rd_expenditure_missing_lag2,0.0
CA,rd_expenditure_missing_lag3,0.0
CH,Businesses_R&D expenditure_mean_YTD,0.0
CH,Businesses_R&D expenditure_yearly_avg_lag1,0.0
CH,Businesses_R&D expenditure_yearly_avg_lag2,0.0
CH,Businesses_R&D expenditure_yearly_avg_lag3,0.0
CH,Businesses_product development_mean_YTD,-0.0013119613646440918
CH,Businesses_product development_yearly_avg_lag1,0.00020057313079069856
CH,Businesses_product development_yearly_avg_lag2,9.371163964931925e-05
CH,Businesses_product development_yearly_avg_lag3,8.823756212179779e-05
CH,Consulting Firms_innovation management_mean_YTD,0.0
CH,Consulting Firms_innovation management_yearly_avg_lag1,0.0
CH,Consulting Firms_innovation management_yearly_avg_lag2,0.0
CH,Consulting Firms_innovation management_yearly_avg_lag3,0.0
CH,Consulting Firms_innovation strategy_mean_YTD,-0.000565791537242365
CH,Consulting Firms_innovation strategy_yearly_avg_lag1,-4.65290572070184e-05
CH,Consulting Firms_innovation strategy_yearly_avg_lag2,-5.10500484605949e-05
CH,Consulting Firms_innovation strategy_yearly_avg_lag3,-5.356446938874017e-05
CH,Government agencies_government grants_mean_YTD,0.0
CH,Government agencies_government grants_yearly_avg_lag1,0.0
CH,Government agencies_government grants_yearly_avg_lag2,0.0
CH,Government agencies_government grants_yearly_avg_lag3,0.0
CH,Government agencies_research funding_mean_YTD,0.0
CH,Government agencies_research funding_yearly_avg_lag1,0.0
CH,Government agencies_research funding_yearly_avg_lag2,0.0
CH,Government agencies_research funding_yearly_avg_lag3,0.0
CH,Innovation Hubs_startup incubation_mean_YTD,0.0
CH,Innovation Hubs_startup incubation_yearly_avg_lag1,0.0
CH,Innovation Hubs_startup incubation_yearly_avg_lag2,0.0
CH,Innovation Hubs_startup incubation_yearly_avg_lag3,0.0
CH,Innovation Hubs_technology park_mean_YTD,0.0
CH,Innovation Hubs_technology park_yearly_avg_lag1,0.0
CH,Innovation Hubs_technology park_yearly_avg_lag2,0.0
CH,Innovation Hubs_technology park_yearly_avg_lag3,0.0
CH,Month,-0.003010561416366337
CH,Patent Attorneys_patent attorney_mean_YTD,-0.0013793715586957877
CH,Patent Attorneys_patent attorney_yearly_avg_lag1,-7.35682336393698e-05
