Country,Algorithm,Model_Variation,RMSE,MAE,MAPE
0,MLP-Pytorch,LagRD,275.2884826660156,129.79420471191406,0.45120880007743835
1,MLP-Pytorch,LagRD,147.33270263671875,146.9765625,0.9975085258483887
2,MLP-Pytorch,LagRD,4198.99755859375,3699.19482421875,1.8458863496780396
3,MLP-Pytorch,LagRD,1188.9368896484375,669.0973510742188,0.6041775941848755
4,MLP-Pytorch,LagRD,2955.419189453125,665.2199096679688,1.1402390003204346
5,MLP-Pytorch,LagRD,1667.6168212890625,897.074951171875,0.5451186895370483
6,MLP-Pytorch,LagRD,1691.1187744140625,934.1806030273438,1.4883503913879395
7,MLP-Pytorch,LagRD,8236.4736328125,4209.64453125,0.7786811590194702
0,MLP-Pytorch,LagRD,274.69940185546875,117.97132110595703,0.40892305970191956
1,MLP-Pytorch,LagRD,140.93849182128906,140.8172607421875,0.9600871205329895
2,MLP-Pytorch,LagRD,4010.71630859375,3472.01123046875,1.7725346088409424
3,MLP-Pytorch,LagRD,1164.0333251953125,613.8009033203125,0.5536806583404541
4,MLP-Pytorch,LagRD,2957.24609375,633.6266479492188,1.0829514265060425
5,MLP-Pytorch,LagRD,1619.9969482421875,769.2947387695312,0.4679601788520813
6,MLP-Pytorch,LagRD,1684.742919921875,895.3621215820312,1.4411102533340454
7,MLP-Pytorch,LagRD,8267.7490234375,3829.06982421875,0.699749767780304
0,MLP-Pytorch,LagRD,274.9042663574219,123.88296508789062,0.43006661534309387
1,MLP-Pytorch,LagRD,144.12158203125,143.8970947265625,0.9787993431091309
2,MLP-Pytorch,LagRD,4103.796875,3585.606689453125,1.8092122077941895
3,MLP-Pytorch,LagRD,1176.1016845703125,641.4476318359375,0.578927755355835
4,MLP-Pytorch,LagRD,2956.271484375,649.4226684570312,1.111594319343567
5,MLP-Pytorch,LagRD,1642.5069580078125,832.2446899414062,0.5059778094291687
6,MLP-Pytorch,LagRD,1687.724365234375,914.7721557617188,1.4647310972213745
7,MLP-Pytorch,LagRD,8248.73828125,4019.35791015625,0.739215612411499
KR,ElasticNet,LagRD,23213.314001634495,19137.514098842268,39.870119437812
DE,ElasticNet,LagRD,17418.369903403946,14411.378106597627,12.383434649784755
GB,ElasticNet,LagRD,29418.128215999433,26415.589695495655,60.905564553445345
JP,ElasticNet,LagRD,45625.32546176313,45435.2470249959,27.85245852771915
CA,ElasticNet,LagRD,47714.31727995014,47696.869608480425,170.94552885494116
US,ElasticNet,LagRD,72767.27921571684,59793.98638923159,11.855261121661666
CN,ElasticNet,LagRD,60248.365741284455,52778.296581867595,21.19775474258931
CH,ElasticNet,LagRD,59269.60282328275,59227.4143091919,391.8030789849753
KR,MLP-Scikit,LagRD,1531.4188265972473,962.051105406824,1.5113090663432458
DE,MLP-Scikit,LagRD,1376.2412993757616,994.7933093597755,0.9293082777570604
GB,MLP-Scikit,LagRD,1403.6049620164044,640.3190877815628,1.1512647350932308
JP,MLP-Scikit,LagRD,2248.5384271939593,1537.4966682419058,0.9500783878394076
CA,MLP-Scikit,LagRD,365.89569034889774,282.3246293841914,1.0109816360577848
US,MLP-Scikit,LagRD,7002.797146531201,4804.3329176335765,0.945447803481051
CN,MLP-Scikit,LagRD,9250.831514632922,4970.192786353577,2.3476013256210635
CH,MLP-Scikit,LagRD,482.84085854486784,304.3441808862885,1.984740712420052
KR,RF,LagRD,487.2132652617881,159.5689280426274,0.2670979583314232
DE,RF,LagRD,441.48872039080214,133.85478107176846,0.1240535951577928
GB,RF,LagRD,492.86711818450806,92.61947990841128,0.1515722620279174
JP,RF,LagRD,675.395602011454,182.3476892646399,0.1122772367879918
CA,RF,LagRD,85.58701230545252,22.9658012709431,0.0814157782626473
US,RF,LagRD,1790.5509890054382,623.4037401004755,0.1210986253042755
CN,RF,LagRD,3024.8972166369513,1063.2133960287892,0.5008677770461614
CH,RF,LagRD,117.29040476180153,41.64291843647873,0.2732246514216026
KR,SVR,LagRD,72367.79181411871,68450.27566999532,99.99999999999984
DE,SVR,LagRD,108219.0053032784,106972.9538905632,99.9999999999999
GB,SVR,LagRD,55251.64609512387,52915.75172297888,99.9999999999998
JP,SVR,LagRD,163006.64765258328,162799.82495703874,99.99999999999996
