Config,Model,N,MAPE,RMSE
LagRD,NN,23,4.620145143246271,6.3901897985690175
LagRD,OLS,23,5.15145920360216,7.090063743055729
Macros,NN,23,5.311998574240033,7.115321424878124
Macros,OLS,23,7.0598325994485425,6.798090271975205
AGT,NN,23,5.385324721916179,16.630459717444893
AGT,OLS,23,50.90910673740824,40.710362833144785
MGT,NN,23,5.427667058935244,16.726057882790375
MGT,OLS,23,52.91545600271779,42.8579518003642
AGTwRD,NN,23,5.100618100770118,18.37307811820903
AGTwRD,OLS,23,72.45336916433445,57.252594572458605
MGTwRD,NN,23,5.418103691628179,12.943710816016873
MGTwRD,OLS,23,49.52685071848418,40.74664696702516
AllVar,NN,23,5.212115221451223,14.995754582479591
AllVar,OLS,23,53.73096696711694,42.44991706592793
