Model,RMSE,MAE,MAPE,MASE,OOS_R2_vs_RW
LagRD,6.39,4.321,4.62,0.506,0.774
Macros,7.115,5.351,5.312,0.626,0.72
AGT,16.63,8.39,5.385,0.982,-0.531
MGT,16.726,8.911,5.428,1.043,-0.548
AGTwRD,18.373,8.461,5.101,0.99,-0.868
MGTwRD,12.944,8.088,5.418,0.947,0.073
AllVar,14.996,8.233,5.212,0.963,-0.245
UMIDAS,61.62,28.971,23.931,3.39,-20.016
MIDAS,63.583,31.423,23.004,3.677,-21.376
OLS,6.822,4.616,4.472,0.54,0.742
RW,13.442,8.99,6.437,1.052,0.0
AR1,7.176,5.332,5.702,0.624,0.715
HistMean,54.819,29.638,15.95,3.469,-15.633
