definition,Year,difference
Raw_scale,2004,0.0
Raw_scale,2005,0.0
Raw_scale,2006,0.0
Raw_scale,2007,5.684341886080802e-14
Raw_scale,2008,0.0
Raw_scale,2009,0.0
Raw_scale,2010,5.684341886080802e-14
Raw_scale,2011,0.0
Raw_scale,2012,0.0
Raw_scale,2013,0.0
Raw_scale,2014,5.684341886080802e-14
Raw_scale,2015,5.684341886080802e-14
Raw_scale,2016,0.0
Raw_scale,2017,0.0
Raw_scale,2018,1.1368683772161603e-13
Raw_scale,2019,0.0
Raw_scale,2020,0.0
Raw_scale,2021,0.0
Standardized_input,2004,5.684341886080802e-14
Standardized_input,2005,0.0
Standardized_input,2006,0.0
Standardized_input,2007,0.0
Standardized_input,2008,0.0
Standardized_input,2009,0.0
Standardized_input,2010,0.0
Standardized_input,2011,0.0
Standardized_input,2012,0.0
Standardized_input,2013,0.0
Standardized_input,2014,0.0
Standardized_input,2015,0.0
Standardized_input,2016,0.0
Standardized_input,2017,0.0
Standardized_input,2018,0.0
Standardized_input,2019,0.0
Standardized_input,2020,-1.1368683772161603e-13
Standardized_input,2021,-1.1368683772161603e-13
