Year,Month,Capitalization,Investment_management,Patent_office,Tax_credit,Cost,Technology,Entrepreneurship,Income_statement,Salary,Budget,Health,annual_gerd,Tax_report
2004,1,22,90,90,8,33,93,24,35,37,65,0,374.897027723975,58
2004,2,24,93,100,10,35,100,21,43,37,66,0,374.897027723975,85
2004,3,20,82,95,7,33,92,18,36,34,55,0,374.897027723975,73
2004,4,27,100,97,7,38,94,22,41,38,60,0,374.897027723975,88
2004,5,19,73,75,4,35,80,22,31,35,62,0,374.897027723975,14
2004,6,22,87,84,5,33,78,20,34,33,56,0,374.897027723975,13
2004,7,17,95,89,5,35,79,15,31,38,61,0,374.897027723975,13
2004,8,23,92,79,5,32,77,20,33,35,54,0,374.897027723975,13
2004,9,26,82,82,5,33,89,29,43,36,59,0,374.897027723975,9
2004,10,26,75,77,5,35,88,22,47,37,57,0,374.897027723975,11
2004,11,23,73,76,4,34,76,23,47,36,59,0,374.897027723975,9
2004,12,21,65,69,5,28,63,16,35,32,48,0,374.897027723975,12
2005,1,24,82,78,8,33,79,21,32,36,64,0,390.30649030440105,54
2005,2,26,85,83,9,35,85,21,46,38,80,0,390.30649030440105,78
2005,3,25,77,76,6,35,74,18,44,36,66,0,390.30649030440105,75
2005,4,27,75,72,6,39,80,19,44,37,67,0,390.30649030440105,100
2005,5,22,70,71,4,35,70,18,33,38,60,0,390.30649030440105,14
2005,6,23,73,76,3,33,69,18,33,36,55,0,390.30649030440105,12
2005,7,23,72,71,4,31,61,16,33,36,56,0,390.30649030440105,10
2005,8,25,73,69,6,31,69,18,33,35,50,0,390.30649030440105,12
2005,9,27,72,67,5,32,75,19,44,34,48,0,390.30649030440105,9
2005,10,27,72,61,5,30,71,22,45,34,51,0,390.30649030440105,9
2005,11,28,65,61,4,34,68,19,44,35,57,0,390.30649030440105,9
2005,12,22,57,54,6,29,60,15,34,31,46,0,390.30649030440105,11
2006,1,25,75,57,10,33,61,19,35,37,51,0,408.1471322744621,50
2006,2,28,65,60,10,36,64,21,43,38,65,0,408.1471322744621,78
2006,3,27,70,59,8,39,64,18,39,40,58,0,408.1471322744621,62
2006,4,26,63,53,8,33,72,19,40,38,55,0,408.1471322744621,94
2006,5,23,55,50,4,34,58,17,35,37,50,0,408.1471322744621,12
2006,6,23,68,53,5,31,59,15,34,35,49,0,408.1471322744621,11
2006,7,21,56,53,5,30,53,12,30,34,51,0,408.1471322744621,10
2006,8,21,56,51,5,29,54,14,30,34,47,0,408.1471322744621,9
2006,9,29,54,43,5,29,55,21,39,33,42,0,408.1471322744621,8
2006,10,31,72,47,6,32,65,21,44,37,47,0,408.1471322744621,10
2006,11,26,55,42,5,32,58,18,42,32,47,0,408.1471322744621,8
2006,12,24,50,37,7,28,49,16,33,31,39,0,408.1471322744621,12
2007,1,25,59,41,9,32,52,18,37,37,49,0,427.754703565342,52
2007,2,28,64,46,11,34,62,20,43,34,56,0,427.754703565342,73
2007,3,28,61,43,8,34,50,18,38,36,48,0,427.754703565342,57
2007,4,28,59,37,9,32,56,19,41,36,53,0,427.754703565342,95
2007,5,27,67,38,5,39,54,15,33,36,53,0,427.754703565342,14
2007,6,24,62,36,4,33,51,14,35,38,47,0,427.754703565342,11
2007,7,24,61,39,4,33,47,14,32,35,52,0,427.754703565342,10
2007,8,25,61,34,4,33,50,16,31,36,49,0,427.754703565342,8
2007,9,29,57,33,4,32,55,21,44,35,45,0,427.754703565342,8
2007,10,32,66,36,5,33,57,22,46,39,53,0,427.754703565342,10
2007,11,30,60,31,5,36,57,19,47,36,48,0,427.754703565342,8
2007,12,25,52,28,6,31,47,15,32,32,46,0,427.754703565342,12
2008,1,28,63,33,14,36,52,20,39,39,54,0,449.51044878233705,51
2008,2,28,58,31,13,35,51,19,44,33,56,0,449.51044878233705,72
2008,3,29,58,31,10,42,54,20,41,39,59,0,449.51044878233705,64
2008,4,32,59,28,11,40,57,21,46,41,57,0,449.51044878233705,82
2008,5,26,55,30,6,39,55,18,40,40,55,0,449.51044878233705,18
2008,6,27,57,30,5,42,50,16,38,39,52,0,449.51044878233705,12
2008,7,27,59,28,6,39,48,19,36,38,56,0,449.51044878233705,11
2008,8,26,55,25,6,36,47,18,37,37,52,0,449.51044878233705,8
2008,9,31,58,25,6,35,53,25,46,38,61,0,449.51044878233705,9
2008,10,34,57,25,10,39,52,26,49,39,61,0,449.51044878233705,12
2008,11,31,51,26,7,37,48,24,46,43,56,0,449.51044878233705,8
2008,12,30,54,25,8,37,47,21,41,38,57,0,449.51044878233705,12
2009,1,33,51,24,17,38,49,22,41,41,63,0,445.321200828342,48
2009,2,35,52,29,46,40,53,28,54,42,88,0,445.321200828342,76
2009,3,35,52,26,27,43,50,26,48,41,73,0,445.321200828342,56
2009,4,35,56,26,25,45,50,26,52,42,74,0,445.321200828342,67
2009,5,31,51,21,21,43,49,27,45,40,68,0,445.321200828342,14
2009,6,29,58,25,25,44,48,24,43,42,70,0,445.321200828342,13
2009,7,27,53,27,24,44,47,25,42,45,83,0,445.321200828342,11
2009,8,29,51,23,24,47,50,26,40,43,55,0,445.321200828342,9
2009,9,41,48,21,25,41,49,32,52,44,54,0,445.321200828342,11
2009,10,49,53,22,35,46,57,32,53,47,62,0,445.321200828342,12
2009,11,39,46,21,41,45,48,31,50,43,58,0,445.321200828342,9
2009,12,36,45,16,28,40,41,25,45,42,53,0,445.321200828342,13
2010,1,37,47,19,41,42,46,28,43,49,60,0,444.70858189046,47
2010,2,44,51,20,41,45,50,33,55,46,72,0,444.70858189046,63
2010,3,51,53,21,39,54,52,34,57,52,79,0,444.70858189046,59
2010,4,47,52,18,41,49,53,34,57,56,73,0,444.70858189046,74
2010,5,38,45,18,17,47,46,30,46,48,62,0,444.70858189046,14
2010,6,32,46,18,23,46,41,27,44,48,62,0,444.70858189046,13
2010,7,29,41,16,14,46,38,23,38,44,52,0,444.70858189046,10
2010,8,33,42,17,12,45,42,26,39,44,50,0,444.70858189046,9
2010,9,44,40,14,11,40,43,30,50,43,50,0,444.70858189046,8
2010,10,45,38,16,11,42,43,30,50,45,52,0,444.70858189046,9
2010,11,49,42,15,12,45,44,33,47,45,56,0,444.70858189046,8
2010,12,41,34,14,16,39,39,23,37,41,53,0,444.70858189046,11
2011,1,47,38,15,23,50,39,20,44,48,61,0,455.525672908788,52
2011,2,50,37,15,22,48,40,21,60,50,91,0,455.525672908788,61
2011,3,52,37,15,16,56,40,19,54,48,82,0,455.525672908788,49
2011,4,52,34,15,14,52,43,20,60,48,100,0,455.525672908788,70
2011,5,47,34,13,6,50,38,18,42,46,65,0,455.525672908788,13
2011,6,42,36,14,6,50,35,17,37,50,62,0,455.525672908788,11
2011,7,32,33,14,6,50,30,16,35,47,70,0,455.525672908788,10
2011,8,42,31,16,6,47,36,17,34,46,57,0,455.525672908788,8
2011,9,53,31,13,6,45,37,21,56,52,46,0,455.525672908788,8
2011,10,54,32,13,7,48,39,23,56,52,50,0,455.525672908788,10
2011,11,52,31,13,6,49,38,21,44,48,48,0,455.525672908788,8
2011,12,47,28,12,8,43,30,16,37,46,46,0,455.525672908788,12
2012,1,48,32,14,17,53,38,20,44,56,54,0,454.82040667889805,54
2012,2,53,31,13,16,54,36,21,58,50,57,0,454.82040667889805,64
2012,3,52,31,14,10,54,36,19,57,50,52,0,454.82040667889805,42
2012,4,52,28,13,9,53,34,19,51,50,53,0,454.82040667889805,55
2012,5,49,29,13,5,54,33,16,39,53,54,0,454.82040667889805,13
2012,6,37,31,13,5,55,33,16,38,54,55,0,454.82040667889805,11
2012,7,34,26,13,5,52,29,15,32,46,46,0,454.82040667889805,11
2012,8,47,28,12,6,50,32,18,37,52,51,0,454.82040667889805,12
2012,9,58,27,11,5,50,36,23,64,52,54,0,454.82040667889805,13
2012,10,60,28,13,6,52,35,24,61,52,55,0,454.82040667889805,12
2012,11,53,24,9,6,45,33,20,47,48,51,0,454.82040667889805,9
2012,12,48,22,10,8,43,26,15,38,45,44,0,454.82040667889805,13
2013,1,53,28,11,18,51,34,23,49,57,58,0,468.27722417165,47
2013,2,55,27,10,15,53,35,22,61,49,56,0,468.27722417165,71
2013,3,54,27,10,10,53,34,19,51,49,61,0,468.27722417165,46
2013,4,59,27,10,9,55,36,22,54,53,56,0,468.27722417165,53
2013,5,52,27,9,5,53,31,19,44,53,47,0,468.27722417165,12
2013,6,42,27,9,4,55,30,15,41,51,48,0,468.27722417165,10
