"Year","Month","estimate","set","rho","saved_old","difference"
2004,1,28.688237282898,"old",0,28.688237282898,4.61852778244065e-14
2004,10,28.2327981289782,"old",0,28.2327981289782,-1.77635683940025e-14
2004,11,32.8381373540475,"old",0,32.8381373540475,-3.5527136788005e-14
2004,12,33.8666828966522,"old",0,33.8666828966522,-7.105427357601e-15
2004,2,28.0386032639846,"old",0,28.0386032639846,1.4210854715202e-14
2004,3,30.0931395578973,"old",0,30.0931395578973,4.2632564145606e-14
2004,4,30.6333424335577,"old",0,30.6333424335577,-3.5527136788005e-15
2004,5,33.0627543992953,"old",0,33.0627543992953,0
2004,6,33.2544075087678,"old",0,33.2544075087679,-4.9737991503207e-14
2004,7,36.4270251773139,"old",0,36.4270251773139,2.1316282072803e-14
2004,8,32.2225893089656,"old",0,32.2225893089656,1.4210854715202e-14
2004,9,27.5393104116167,"old",0,27.5393104116167,3.90798504668055e-14
2005,1,31.4615155398743,"old",0,31.4615155398743,4.2632564145606e-14
2005,10,29.2210080367915,"old",0,29.2210080367915,4.9737991503207e-14
2005,11,32.055035311153,"old",0,32.055035311153,-7.105427357601e-15
2005,12,33.1153968434087,"old",0,33.1153968434087,-1.4210854715202e-14
2005,2,30.4934522754843,"old",0,30.4934522754843,-3.5527136788005e-14
2005,3,33.6500493216966,"old",0,33.6500493216966,-7.105427357601e-15
2005,4,32.4918181436384,"old",0,32.4918181436384,4.9737991503207e-14
2005,5,35.1788021128944,"old",0,35.1788021128944,3.5527136788005e-14
2005,6,34.764156329613,"old",0,34.764156329613,3.5527136788005e-14
2005,7,35.9844842594659,"old",0,35.9844842594659,-2.1316282072803e-14
2005,8,32.2556477236718,"old",0,32.2556477236717,5.6843418860808e-14
2005,9,29.6351244067091,"old",0,29.6351244067091,-3.5527136788005e-15
2006,1,35.30346727897,"old",0,35.30346727897,0
2006,10,29.807644289955,"old",0,29.807644289955,1.06581410364015e-14
2006,11,32.8944423663793,"old",0,32.8944423663793,2.8421709430404e-14
2006,12,33.9464427806876,"old",0,33.9464427806876,2.1316282072803e-14
2006,2,35.0798265185375,"old",0,35.0798265185375,1.4210854715202e-14
2006,3,36.9804848612701,"old",0,36.9804848612701,0
2006,4,30.0198173238652,"old",0,30.0198173238652,2.1316282072803e-14
2006,5,35.947193810547,"old",0,35.947193810547,4.2632564145606e-14
2006,6,34.625655438862,"old",0,34.625655438862,1.4210854715202e-14
2006,7,36.633343669143,"old",0,36.633343669143,2.8421709430404e-14
2006,8,35.4435467782351,"old",0,35.4435467782351,4.2632564145606e-14
2006,9,31.4652671580101,"old",0,31.4652671580101,-7.105427357601e-15
2007,1,36.5246980658169,"old",0,36.5246980658169,2.8421709430404e-14
2007,10,32.3450929487437,"old",0,32.3450929487437,4.2632564145606e-14
2007,11,33.890640006747,"old",0,33.890640006747,-2.8421709430404e-14
2007,12,35.8357342274704,"old",0,35.8357342274704,-2.8421709430404e-14
