"Year","Month","estimate","set","rho"
2004,1,28.688237282898,"old",0
2004,2,28.0386032639846,"old",0
2004,3,30.0931395578973,"old",0
2004,4,30.6333424335577,"old",0
2004,5,33.0627543992953,"old",0
2004,6,33.2544075087678,"old",0
2004,7,36.4270251773139,"old",0
2004,8,32.2225893089656,"old",0
2004,9,27.5393104116167,"old",0
2004,10,28.2327981289782,"old",0
2004,11,32.8381373540475,"old",0
2004,12,33.8666828966522,"old",0
2005,1,31.4615155398743,"old",0
2005,2,30.4934522754843,"old",0
2005,3,33.6500493216966,"old",0
2005,4,32.4918181436384,"old",0
2005,5,35.1788021128944,"old",0
2005,6,34.764156329613,"old",0
2005,7,35.9844842594659,"old",0
2005,8,32.2556477236718,"old",0
2005,9,29.6351244067091,"old",0
2005,10,29.2210080367915,"old",0
2005,11,32.055035311153,"old",0
2005,12,33.1153968434087,"old",0
2006,1,35.30346727897,"old",0
2006,2,35.0798265185375,"old",0
2006,3,36.9804848612701,"old",0
2006,4,30.0198173238652,"old",0
2006,5,35.947193810547,"old",0
2006,6,34.625655438862,"old",0
2006,7,36.633343669143,"old",0
2006,8,35.4435467782351,"old",0
2006,9,31.4652671580101,"old",0
2006,10,29.807644289955,"old",0
2006,11,32.8944423663793,"old",0
2006,12,33.9464427806876,"old",0
2007,1,36.5246980658169,"old",0
2007,2,33.855521778791,"old",0
2007,3,37.6945684492484,"old",0
2007,4,33.5808743781561,"old",0
2007,5,38.7053590596694,"old",0
2007,6,36.9602582926724,"old",0
2007,7,38.8007442801057,"old",0
2007,8,36.7338717853361,"old",0
2007,9,32.8273402925849,"old",0
2007,10,32.3450929487437,"old",0
2007,11,33.890640006747,"old",0
2007,12,35.8357342274704,"old",0
2008,1,37.3624807260872,"old",0
2008,2,36.745148993141,"old",0
2008,3,39.1165915125154,"old",0
2008,4,35.6159967768006,"old",0
2008,5,37.6091787237613,"old",0
2008,6,40.832556558926,"old",0
2008,7,39.7222103455026,"old",0
2008,8,38.2395986574369,"old",0
2008,9,33.9390601023044,"old",0
2008,10,35.7880045091079,"old",0
2008,11,36.9296951091067,"old",0
2008,12,37.6099267676472,"old",0
2009,1,34.5038790513281,"old",0
2009,2,35.6169067082288,"old",0
2009,3,37.0941334089327,"old",0
2009,4,38.217646229763,"old",0
2009,5,37.7733250845989,"old",0
2009,6,40.2172634452594,"old",0
2009,7,41.3097383344391,"old",0
2009,8,40.6980537909665,"old",0
2009,9,33.5997409307427,"old",0
2009,10,31.6618434869577,"old",0
2009,11,37.6063434647557,"old",0
2009,12,37.0223268923694,"old",0
2010,1,37.3040469306712,"old",0
2010,2,35.5167671637215,"old",0
2010,3,37.7073723116369,"old",0
2010,4,35.4784044201929,"old",0
2010,5,38.4418559157215,"old",0
2010,6,41.9536026516187,"old",0
2010,7,43.1959120614222,"old",0
2010,8,39.9343564538418,"old",0
2010,9,32.7736780022943,"old",0
2010,10,33.7926738822277,"old",0
2010,11,33.8617637204632,"old",0
2010,12,34.748148376648,"old",0
2011,1,38.82756974914,"old",0
2011,2,36.3042847743038,"old",0
2011,3,39.8842644956956,"old",0
2011,4,36.3475773622168,"old",0
2011,5,38.0047273701718,"old",0
2011,6,40.8768531393658,"old",0
2011,7,45.8296516401783,"old",0
2011,8,38.9519616896249,"old",0
2011,9,33.5801858675042,"old",0
2011,10,34.287770858914,"old",0
2011,11,35.7832906975031,"old",0
2011,12,36.8475352641696,"old",0
2012,1,38.3322423380927,"old",0
2012,2,37.849118334681,"old",0
2012,3,37.9967734699162,"old",0
2012,4,37.9247616326346,"old",0
2012,5,39.6361796464693,"old",0
2012,6,44.054969566281,"old",0
2012,7,44.6772384463298,"old",0
2012,8,38.283040602378,"old",0
2012,9,33.1110943666381,"old",0
2012,10,34.30355280596,"old",0
2012,11,32.7110470730985,"old",0
2012,12,35.9403883964189,"old",0
2013,1,38.6598074655354,"old",0
2013,2,38.482854913421,"old",0
2013,3,38.9224580300009,"old",0
2013,4,37.6740779868614,"old",0
2013,5,40.2919060960009,"old",0
2013,6,44.9133973922323,"old",0
2013,7,44.2024921071675,"old",0
2013,8,43.4207795351011,"old",0
2013,9,35.4384949539802,"old",0
2013,10,32.408200446948,"old",0
2013,11,36.9096909339997,"old",0
2013,12,36.9530643104017,"old",0
2014,1,36.9706561174853,"old",0
2014,2,40.5507147863867,"old",0
2014,3,39.1688663366842,"old",0
2014,4,40.0036708920944,"old",0
2014,5,41.4698345946414,"old",0
2014,6,46.1984845714102,"old",0
2014,7,46.8767165086491,"old",0
2014,8,45.246495148809,"old",0
2014,9,36.2432135115929,"old",0
2014,10,34.3308299240178,"old",0
2014,11,36.4040758302433,"old",0
2014,12,38.3119244000526,"old",0
2015,1,40.4351121581914,"old",0
2015,2,41.862716517406,"old",0
2015,3,43.9230828008522,"old",0
2015,4,42.7193714359559,"old",0
2015,5,46.041704675894,"old",0
2015,6,46.5310407805877,"old",0
2015,7,49.1340168659524,"old",0
2015,8,46.788206762691,"old",0
2015,9,36.1709420535705,"old",0
2015,10,37.0888753321751,"old",0
2015,11,37.3910899332173,"old",0
2015,12,39.3148406835065,"old",0
2016,1,43.1070227934286,"old",0
2016,2,40.7569701187678,"old",0
2016,3,43.8900106497481,"old",0
2016,4,42.2166914608195,"old",0
2016,5,44.5682496789465,"old",0
2016,6,50.4854512449744,"old",0
2016,7,54.0219604993,"old",0
2016,8,47.0831215225129,"old",0
2016,9,37.7821101296772,"old",0
2016,10,39.9716502349646,"old",0
2016,11,40.9267349449318,"old",0
2016,12,43.3617276249856,"old",0
2017,1,47.2013571295342,"old",0
2017,2,40.8153403533238,"old",0
2017,3,43.9273773193896,"old",0
2017,4,52.2413131786613,"old",0
2017,5,44.9968825849721,"old",0
2017,6,51.1416973972573,"old",0
2017,7,54.3687012648094,"old",0
2017,8,47.9333732806726,"old",0
2017,9,44.7173920794819,"old",0
2017,10,38.6022442401824,"old",0
2017,11,40.7389327951698,"old",0
2017,12,42.9463579031858,"old",0
2018,1,43.1685360084075,"old",0
2018,2,44.5410170166975,"old",0
2018,3,50.0020448720278,"old",0
2018,4,48.301590594633,"old",0
2018,5,55.2542531197527,"old",0
2018,6,58.7092885457592,"old",0
2018,7,59.7034984216858,"old",0
2018,8,50.9941444695278,"old",0
2018,9,38.8205455481799,"old",0
2018,10,41.7322318492964,"old",0
2018,11,45.0810192438188,"old",0
2018,12,50.1191760622214,"old",0
2019,1,49.1027900586767,"old",0
2019,2,48.4212107182351,"old",0
2019,3,46.6341346430487,"old",0
2019,4,46.7104632536931,"old",0
2019,5,53.6810072768872,"old",0
2019,6,64.3453719534517,"old",0
2019,7,62.232402732832,"old",0
2019,8,58.1899328060781,"old",0
2019,9,52.0832504781083,"old",0
2019,10,52.0346633211114,"old",0
2019,11,49.149651590035,"old",0
2019,12,49.2605741469367,"old",0
2020,1,64.8575094903009,"old",0
2020,2,57.1789485216787,"old",0
2020,3,48.8417392938259,"old",0
2020,4,41.4356584765189,"old",0
2020,5,55.8991122379014,"old",0
2020,6,62.281890575743,"old",0
2020,7,64.4119585243446,"old",0
2020,8,55.0352772661056,"old",0
2020,9,48.1622180077298,"old",0
2020,10,58.144948248659,"old",0
2020,11,55.2957635785278,"old",0
2020,12,60.4182438266475,"old",0
2021,1,57.1981276158798,"old",0
2021,2,57.0099001603085,"old",0
2021,3,60.0515078197742,"old",0
2021,4,57.1901593642567,"old",0
2021,5,61.9078286688688,"old",0
2021,6,64.4759300431366,"old",0
2021,7,66.4385154023582,"old",0
2021,8,63.9056310116516,"old",0
2021,9,52.9951935425598,"old",0
2021,10,53.703170278717,"old",0
2021,11,57.5208445648773,"old",0
2021,12,57.3160918399525,"old",0
2004,1,7.59737157894471,"current",0
2004,2,-9.88274475730657,"current",0
2004,3,-3.51712992039465,"current",0
2004,4,-15.5279941542535,"current",0
2004,5,43.7193975607343,"current",0
2004,6,45.1132944082689,"current",0
2004,7,47.7834373340999,"current",0
2004,8,44.40281874245,"current",0
2004,9,52.9489226515497,"current",0
2004,10,55.9406486181849,"current",0
2004,11,58.7227358389092,"current",0
2004,12,47.596269822788,"current",0
2005,1,9.08997070024379,"current",0
2005,2,-0.806639122463247,"current",0
2005,3,0.470787028794546,"current",0
2005,4,-22.0206922945013,"current",0
2005,5,46.5824085579757,"current",0
2005,6,47.130261665977,"current",0
2005,7,49.2407487548056,"current",0
2005,8,45.7487490045505,"current",0
2005,9,55.4928184091218,"current",0
2005,10,55.7694981451445,"current",0
2005,11,55.4123546395913,"current",0
2005,12,48.1962248151609,"current",0
2006,1,15.8078602874924,"current",0
2006,2,-3.48402101146,"current",0
2006,3,8.76892820102311,"current",0
2006,4,-18.4390547133153,"current",0
2006,5,50.0283782150365,"current",0
2006,6,49.8490688233163,"current",0
2006,7,48.8425284620692,"current",0
2006,8,49.2860340887609,"current",0
2006,9,51.5494178676859,"current",0
2006,10,54.0398256996874,"current",0
2006,11,55.7441463223869,"current",0
2006,12,46.1540200317788,"current",0
2007,1,16.8135843029404,"current",0
2007,2,0.683855565569703,"current",0
2007,3,11.4457794259903,"current",0
2007,4,-19.1613610336699,"current",0
2007,5,45.8045691356091,"current",0
2007,6,52.2050939608974,"current",0
2007,7,49.8552567608191,"current",0
2007,8,50.1878591507515,"current",0
2007,9,57.142893591585,"current",0
2007,10,56.618037455075,"current",0
2007,11,59.7167293371506,"current",0
2007,12,46.442405912624,"current",0
2008,1,17.6546979369978,"current",0
2008,2,1.82204483935599,"current",0
2008,3,7.55340497487936,"current",0
2008,4,-5.18215242717858,"current",0
2008,5,48.6723228110723,"current",0
2008,6,51.800728365973,"current",0
2008,7,50.2842661048906,"current",0
2008,8,53.9977583202412,"current",0
2008,9,56.8430431764776,"current",0
2008,10,55.2211033236356,"current",0
2008,11,59.3498502604136,"current",0
2008,12,51.4933810955786,"current",0
2009,1,16.5655577533847,"current",0
2009,2,1.13262719169167,"current",0
2009,3,13.5564723705712,"current",0
2009,4,7.51865724804832,"current",0
2009,5,48.9694426266588,"current",0
2009,6,50.4551293131845,"current",0
2009,7,53.309443636732,"current",0
2009,8,51.2850825799727,"current",0
2009,9,52.1475315135158,"current",0
2009,10,49.0523686767825,"current",0
2009,11,53.2416810222733,"current",0
2009,12,48.0872068955264,"current",0
2010,1,19.600477455807,"current",0
2010,2,10.0204808448473,"current",0
2010,3,13.2597501642584,"current",0
2010,4,3.45055391995046,"current",0
2010,5,49.347902443496,"current",0
2010,6,52.2173327932002,"current",0
2010,7,50.9773039234419,"current",0
2010,8,50.0319300716223,"current",0
2010,9,52.9759612351052,"current",0
2010,10,52.2427467857695,"current",0
2010,11,48.2223065756791,"current",0
2010,12,42.3618356772827,"current",0
2011,1,13.3485802161016,"current",0
2011,2,17.4958708003172,"current",0
2011,3,21.7674397644422,"current",0
2011,4,8.39788687411394,"current",0
2011,5,45.3028029828891,"current",0
2011,6,46.9776035680494,"current",0
2011,7,50.6908448905141,"current",0
2011,8,45.9191349499673,"current",0
2011,9,58.6626503136263,"current",0
2011,10,56.1135844776622,"current",0
2011,11,48.5100428889613,"current",0
2011,12,42.3392311821433,"current",0
2012,1,13.0458388142818,"current",0
2012,2,10.9425369348999,"current",0
2012,3,29.9821091317765,"current",0
2012,4,14.0230220107015,"current",0
2012,5,43.8679622682469,"current",0
2012,6,51.1873547867253,"current",0
2012,7,45.5950847830025,"current",0
2012,8,43.452511984706,"current",0
2012,9,57.4474767697336,"current",0
2012,10,54.7651975831416,"current",0
2012,11,49.3154748629932,"current",0
2012,12,41.1958367486892,"current",0
2013,1,20.2646146369609,"current",0
2013,2,5.68588934532133,"current",0
2013,3,20.5378784654769,"current",0
2013,4,14.9277293967843,"current",0
2013,5,46.4579114884924,"current",0
2013,6,51.010857018908,"current",0
2013,7,50.3457611425652,"current",0
2013,8,45.7332887767104,"current",0
2013,9,61.7011534784155,"current",0
2013,10,54.8365300302285,"current",0
2013,11,55.5203452125738,"current",0
2013,12,41.2552651792129,"current",0
2014,1,16.9237048191679,"current",0
2014,2,10.9703784340075,"current",0
2014,3,23.8959274746661,"current",0
2014,4,19.9726101862464,"current",0
2014,5,47.8006612837615,"current",0
2014,6,52.0589711119769,"current",0
2014,7,51.5784938988974,"current",0
2014,8,46.4449772842856,"current",0
2014,9,62.6421550182588,"current",0
2014,10,55.446964619778,"current",0
2014,11,49.5176808208317,"current",0
2014,12,44.5229576701889,"current",0
2015,1,22.6913419437532,"current",0
2015,2,16.4191404534648,"current",0
2015,3,24.0803096640326,"current",0
2015,4,24.190157926529,"current",0
2015,5,49.9895174628819,"current",0
2015,6,52.0180619942886,"current",0
2015,7,48.9720025930162,"current",0
2015,8,52.7508126152814,"current",0
2015,9,64.198288129794,"current",0
2015,10,57.9768462097314,"current",0
2015,11,51.30087385698,"current",0
2015,12,42.8136471502468,"current",0
2016,1,19.8297885162161,"current",0
2016,2,19.1210499483195,"current",0
2016,3,28.9602193994422,"current",0
2016,4,28.4816129020307,"current",0
2016,5,49.7156964694554,"current",0
2016,6,55.1680581081141,"current",0
2016,7,52.9571229476574,"current",0
2016,8,52.6370460158854,"current",0
2016,9,64.0213138166307,"current",0
2016,10,55.2898757124914,"current",0
2016,11,50.7085650225403,"current",0
2016,12,51.2813520442739,"current",0
2017,1,42.6991914449618,"current",0
2017,2,44.4024545178302,"current",0
2017,3,42.7799948388226,"current",0
2017,4,47.5921156344743,"current",0
2017,5,46.2941321100729,"current",0
2017,6,52.6133853770382,"current",0
2017,7,51.3481770663945,"current",0
2017,8,43.3253990996812,"current",0
2017,9,55.4229737142392,"current",0
2017,10,49.3171486541633,"current",0
2017,11,37.3540046947422,"current",0
2017,12,36.4819923742193,"current",0
2018,1,41.7014682922755,"current",0
2018,2,51.4494096021402,"current",0
2018,3,36.6619822958276,"current",0
