comparison,DM,p_value,n
LagRD vs RW,-1.9341618296728302,0.06605860866210889,23
Macros vs RW,-1.8171130616666609,0.08284823696418075,23
AGT vs RW,0.629010927294506,0.5358192471241918,23
MGT vs RW,0.6307337563090459,0.5347126629432202,23
AGTwRD vs RW,0.6623649949611532,0.5146169256215996,23
MGTwRD vs RW,-0.2037860345997558,0.8403939783595487,23
AllVar vs RW,0.3634731064666739,0.719720900897963,23
AGT vs UMIDAS,-1.2651887755339049,0.2190407215390635,23
AGT vs MIDAS,-1.3627708945313906,0.18674254297415271,23
AR1 vs RW,-1.7903886915043523,0.08716441640196781,23
