topic,mean_abs_shap_sum,mean_abs_shap_mean
Entrepreneurship,0.31899259750475767,0.10633086583491923
Income_statement,0.30284718351917483,0.10094906117305828
Capitalization,0.24295044205665253,0.08098348068555085
Salary,0.22332060957621463,0.07444020319207155
Budget,0.15162842832195972,0.05054280944065324
Health,0.14407312463609706,0.04802437487869902
Tax_report,0.1219656834234581,0.04065522780781936
Tax_incentive,0.11293384576835198,0.03764461525611733
Tax_credit,0.09696785922746423,0.032322619742488075
Research_and_Development_Tax_Credit,0.08235984532820864,0.02745328177606955
Patent_application,0.08149435314585246,0.02716478438195082
Investment_management,0.08084361686972925,0.02694787228990975
Energy,0.07499244513267488,0.024997481710891625
Wage,0.07480573152236317,0.024935243840787723
Scholarship,0.07460490999698413,0.024868303332328045
Data,0.07293295369569774,0.02431098456523258
Cost,0.07022514121659866,0.023408380405532888
Laboratory,0.0697031725447555,0.023234390848251834
Career,0.066982933453339,0.022327644484446334
Stock,0.06664836748814029,0.022216122496046764
Business_loan,0.06446747008314677,0.021489156694382255
Economy,0.06313202395890816,0.02104400798630272
Business,0.061527292623677135,0.02050909754122571
Small_Business_Innovation_Research,0.06090226994640672,0.02030075664880224
Tax_deduction,0.0591551038161624,0.0197183679387208
Patent_infringement,0.05751312260238766,0.019171040867462553
Investment_fund,0.056857416696218514,0.018952472232072838
Job,0.05509088920073803,0.018363629733579342
Subsidy,0.05282832932233863,0.01760944310744621
Business_model,0.050538608226386415,0.016846202742128804
Education,0.04931491087470232,0.016438303624900775
Investment_banking,0.04918999692772279,0.016396665642574262
Income,0.044257732297049004,0.014752577432349668
Employment,0.043367052636158004,0.014455684212052669
Expense,0.04335584263198884,0.01445194754399628
Loan,0.042020374878220225,0.014006791626073408
Investor,0.04106733072465508,0.013689110241551693
Medicine,0.03891496758250224,0.012971655860834081
Investment,0.03678245149685913,0.012260817165619711
Law_firm,0.03645165181701478,0.012150550605671592
Sustainability,0.036160371609690385,0.012053457203230129
Patent_office,0.03584369132638158,0.01194789710879386
Trademark,0.03567360374157075,0.01189120124719025
Tax,0.031568124828723065,0.010522708276241022
Credit,0.030734086984324137,0.010244695661441379
Law,0.030493266792660404,0.010164422264220135
Technology,0.029789526792139618,0.00992984226404654
Manufacturing,0.02859530098315356,0.00953176699438452
Patent,0.028056889721347157,0.009352296573782386
Semiconductor,0.02774691559412722,0.009248971864709073
Disease,0.027101369908729148,0.009033789969576383
Collaboration,0.024010671697418006,0.00800355723247267
Research_&_Experimentation_Tax_Credit,0.020062820141903477,0.006687606713967825
Innovation_management,0.019322490288359185,0.006440830096119728
Invention,0.019224108343555767,0.006408036114518589
Trademark_attorney,0.018984215799445286,0.0063280719331484285
Innovation,0.01864091376082359,0.00621363792027453
