method,lag,r,p,n
Raw_scale,-12,-0.17612220543190538,0.028370859825120977,155
Raw_scale,-11,0.2365486360481353,0.002948641244801571,156
Raw_scale,-10,0.25144330439276197,0.0014901546671675027,157
Raw_scale,-9,-0.005033446754640283,0.949951678390427,158
Raw_scale,-8,-0.4211726695169166,3.2348270463971826e-08,159
Raw_scale,-7,-0.18849093018645424,0.016987167530327626,160
Raw_scale,-6,-0.17402902569760312,0.02725468480441043,161
Raw_scale,-5,0.13263482173254676,0.09246511011805361,162
Raw_scale,-4,-0.14328647798318364,0.06804510078485121,163
Raw_scale,-3,0.25673224497009167,0.0009052548879898054,164
Raw_scale,-2,0.03308174968473477,0.673150767765837,165
Raw_scale,-1,0.03947049641920719,0.6136319673814734,166
Raw_scale,0,-0.08810316170918091,0.2575522982706819,167
Raw_scale,1,0.23817549814433564,0.002001009523664169,166
Raw_scale,2,0.18820949274101845,0.015482520868401429,165
Raw_scale,3,-0.015965850149527477,0.8392040649661618,164
Raw_scale,4,-0.43052869272377636,9.678114212760903e-09,163
Raw_scale,5,-0.14842996987529555,0.05942561455552213,162
Raw_scale,6,-0.10256822826232738,0.19541624776868505,161
Raw_scale,7,0.14796290011444985,0.06187149216021856,160
Raw_scale,8,-0.18263853496777935,0.0212097750491702,159
Raw_scale,9,0.2903758030003871,0.0002147051228972848,158
Raw_scale,10,0.007013450025983582,0.9305307397661561,157
Raw_scale,11,0.057813752555157624,0.473444435477276,156
Raw_scale,12,-0.07026699262309953,0.3849509300952344,155
Standardized_input,-12,-0.06883390650618562,0.39474248831835423,155
Standardized_input,-11,0.1569559638649613,0.050375866526053775,156
Standardized_input,-10,0.11688832524276485,0.14486669452855472,157
Standardized_input,-9,0.008906660358840041,0.9115622461492715,158
Standardized_input,-8,-0.2971187329979013,0.00014282991516955559,159
Standardized_input,-7,0.0007149935053355136,0.9928405813421832,160
Standardized_input,-6,-0.1419029111348142,0.0725558942018031,161
Standardized_input,-5,0.08664163851950801,0.2729511767066117,162
Standardized_input,-4,-0.11081219979133777,0.15906937057741952,163
Standardized_input,-3,0.10831098361099908,0.16742880775528393,164
Standardized_input,-2,0.0736230953180321,0.3473240595162786,165
Standardized_input,-1,0.051478724862675566,0.5100999251674515,166
Standardized_input,0,0.011902679012726403,0.8786611920962332,167
Standardized_input,1,0.12523975582253818,0.10789101775944236,166
Standardized_input,2,0.03258769849270945,0.6777578609466716,165
Standardized_input,3,-0.02198709450687194,0.7798977471148688,164
Standardized_input,4,-0.31016734026950665,5.594199691869989e-05,163
Standardized_input,5,0.06785591214642162,0.3909110543008908,162
Standardized_input,6,-0.03689807565553812,0.6421503398739773,161
Standardized_input,7,0.07979087632243781,0.3158752070914001,160
Standardized_input,8,-0.17279196568025487,0.029402879438850442,159
Standardized_input,9,0.1963688934582725,0.013404237005562277,158
Standardized_input,10,0.09551225905397527,0.23407619223595788,157
Standardized_input,11,0.05908187818711386,0.46377930229756514,156
Standardized_input,12,0.00378476399662102,0.9627215013223491,155
Chow_current,-12,0.028161138394203235,0.7279645864495028,155
Chow_current,-11,0.18836028520134407,0.018531833306856867,156
Chow_current,-10,0.1459191505342377,0.06822405464567582,157
Chow_current,-9,-0.09305747391054138,0.24484906579249863,158
Chow_current,-8,-0.15376439965513,0.052975423480023105,159
Chow_current,-7,-0.1280205032469512,0.1066806119572629,160
Chow_current,-6,-0.11727312815887941,0.1384595803886561,161
Chow_current,-5,0.028519955955294742,0.718651093322515,162
Chow_current,-4,-0.18833954664377536,0.016055994363910062,163
Chow_current,-3,0.06767478876788585,0.38922764383934605,164
Chow_current,-2,-0.09383173116713894,0.23061576276169402,165
Chow_current,-1,-0.005681229642429567,0.9420886143025626,166
Chow_current,0,-0.0283224291171315,0.7163581602736443,167
Chow_current,1,0.0806941233486419,0.3013693143166214,166
Chow_current,2,-0.015600283653062022,0.8423582145425624,165
Chow_current,3,0.005459664506933839,0.9446843248793128,164
Chow_current,4,-0.09436712474450587,0.23083813938066688,163
Chow_current,5,-0.056609542011254003,0.4742899634690924,162
Chow_current,6,-0.1186057322112017,0.13400176000003342,161
Chow_current,7,0.039006475666894455,0.6243355327650129,160
Chow_current,8,-0.11431569581628188,0.1513439367446138,159
Chow_current,9,0.12639944013855306,0.11352299780230433,158
Chow_current,10,-0.09046297366774415,0.259847411035372,157
Chow_current,11,0.09264828931336597,0.25000130171774565,156
Chow_current,12,0.043189794389014054,0.5936147358196334,155
Sparse,-12,-0.20862561716751024,0.009185452113691296,155
Sparse,-11,0.1372665605286306,0.08749384983077209,156
Sparse,-10,0.05286842571891871,0.5107913583256308,157
Sparse,-9,-0.03632943646320669,0.6504208611878384,158
Sparse,-8,0.20534481703243193,0.009415122673687173,159
Sparse,-7,0.24942829933447466,0.001469016065170872,160
Sparse,-6,-0.02790919933568722,0.7252603762121105,161
Sparse,-5,-0.31833884712254373,3.653996311940562e-05,162
Sparse,-4,-0.25033089305932293,0.00126905427399101,163
