Model,RMSE,MAE,MAPE,MASE,OOS_R2_vs_RW
LagRD,8.628,6.695,8.009,0.784,0.588
Macros,8.929,7.623,11.037,0.892,0.559
AGT,16.971,11.583,11.226,1.356,-0.594
MGT,13.931,10.202,11.551,1.194,-0.074
AGTwRD,13.485,10.106,11.567,1.183,-0.007
MGTwRD,11.21,8.156,8.491,0.954,0.304
AllVar,10.705,7.81,8.628,0.914,0.366
UMIDAS,61.62,28.971,23.931,3.39,-20.016
MIDAS,63.583,31.423,23.004,3.677,-21.376
OLS,6.822,4.616,4.472,0.54,0.742
RW,13.442,8.99,6.437,1.052,0.0
AR1,7.176,5.332,5.702,0.624,0.715
HistMean,54.819,29.638,15.95,3.469,-15.633
