Method,Lag,Correlation,P_Value
NN-elasticity,-12,-0.2851986284444376,0.00032196901797887747
NN-elasticity,-11,-0.06751093525697159,0.40237581566312186
NN-elasticity,-10,-0.06758085319105304,0.4003586285854364
NN-elasticity,-9,0.17472146372044725,0.028113850376678077
NN-elasticity,-8,0.1600291076310136,0.04390739990020324
NN-elasticity,-7,0.11858386258318825,0.1353078377705006
NN-elasticity,-6,0.05814114407910095,0.4638023225101869
NN-elasticity,-5,-0.2815067448812943,0.0002846100143087209
NN-elasticity,-4,-0.09723627209875751,0.2169034590687696
NN-elasticity,-3,-0.0004666897842280776,0.9952679084577862
NN-elasticity,-2,0.15763828201131516,0.04315901502794812
NN-elasticity,-1,0.03375267116371159,0.6659523812528435
NN-elasticity,0,-0.2361844951777063,0.002120281266199631
NN-elasticity,1,-0.0984781919232586,0.20684593894353828
NN-elasticity,2,0.0011606204065930112,0.988195644595979
NN-elasticity,3,0.13115586883530952,0.0941292768287038
NN-elasticity,4,0.18826376338949763,0.01609942540910076
NN-elasticity,5,0.12899128632374085,0.101856446356941
NN-elasticity,6,0.06549779134966854,0.40909625235803126
NN-elasticity,7,-0.21409389367453033,0.006558689643837385
NN-elasticity,8,-0.10748437199311925,0.17748390490256735
NN-elasticity,9,-0.04054719771888016,0.6129749314427736
NN-elasticity,10,0.19125541931978862,0.01641898509777028
NN-elasticity,11,-0.0005906992225325003,0.9941607379761387
NN-elasticity,12,-0.18988624479863472,0.017957121211141316
Chow-Lin (Sax),-12,0.4764665318393561,3.6866932253890475e-10
Chow-Lin (Sax),-11,0.28827108256382006,0.0002629266093810748
Chow-Lin (Sax),-10,-0.14520062563468358,0.06960875789081404
Chow-Lin (Sax),-9,-0.22880233933018548,0.003832563578968994
Chow-Lin (Sax),-8,0.08139958753738596,0.3077261358641407
Chow-Lin (Sax),-7,0.1749480415950598,0.026919750051096654
Chow-Lin (Sax),-6,0.00506898885514525,0.9491155373261246
Chow-Lin (Sax),-5,0.008401108135385806,0.9155010207123445
Chow-Lin (Sax),-4,-0.13236665317861881,0.09211242820168124
Chow-Lin (Sax),-3,-0.21739411947349138,0.005170245285267209
Chow-Lin (Sax),-2,-0.3678226625653195,1.171889592394623e-06
Chow-Lin (Sax),-1,0.08238963332259845,0.2912925860942016
Chow-Lin (Sax),0,0.46245419325871584,3.140126395063289e-10
Chow-Lin (Sax),1,0.30738336401521943,5.615758577749232e-05
Chow-Lin (Sax),2,-0.1104088479675609,0.1580190161033468
Chow-Lin (Sax),3,-0.2529068468954578,0.0010857951483817499
Chow-Lin (Sax),4,0.06557305319158338,0.40561592116949696
Chow-Lin (Sax),5,0.20137739995272802,0.010180175301266369
Chow-Lin (Sax),6,-0.009509847476496063,0.9046978848633613
Chow-Lin (Sax),7,0.04337396520640686,0.5860309052818611
Chow-Lin (Sax),8,-0.07907818603429148,0.3217720312996358
Chow-Lin (Sax),9,-0.2576508251130192,0.00108209504033527
Chow-Lin (Sax),10,-0.3559237928238382,4.766967407911052e-06
Chow-Lin (Sax),11,0.11041293251330221,0.17001201172846014
Chow-Lin (Sax),12,0.47499921146878854,4.2448208403439645e-10
Sparse (Mosley),-12,-0.20862561716751024,0.009185452113691296
Sparse (Mosley),-11,0.1372665605286306,0.08749384983077209
Sparse (Mosley),-10,0.05286842571891871,0.5107913583256308
Sparse (Mosley),-9,-0.03632943646320669,0.6504208611878384
Sparse (Mosley),-8,0.20534481703243193,0.009415122673687173
Sparse (Mosley),-7,0.24942829933447466,0.001469016065170872
Sparse (Mosley),-6,-0.02790919933568722,0.7252603762121105
Sparse (Mosley),-5,-0.31833884712254373,3.653996311940562e-05
Sparse (Mosley),-4,-0.25033089305932293,0.00126905427399101
Sparse (Mosley),-3,0.1833946028115834,0.018742900220381106
Sparse (Mosley),-2,-0.011851032519227202,0.8799147544975338
Sparse (Mosley),-1,-0.0653351377462604,0.4029762569724584
Sparse (Mosley),0,-0.1636129626945024,0.03462449486260994
Sparse (Mosley),1,0.11648469221041541,0.13503133408196957
Sparse (Mosley),2,0.10756870838884552,0.16905879357765632
Sparse (Mosley),3,-0.06517301610061643,0.4070365528249144
Sparse (Mosley),4,0.2187493002018295,0.0050258944349736235
Sparse (Mosley),5,0.2036786927787933,0.00933212254332426
Sparse (Mosley),6,0.03140160983395394,0.6925220972491711
Sparse (Mosley),7,-0.2916451348132558,0.0001827029528646659
Sparse (Mosley),8,-0.20614714236427098,0.009134746473857737
Sparse (Mosley),9,0.14982907812509683,0.06024601749325293
Sparse (Mosley),10,0.004812330797739012,0.952301524043528
Sparse (Mosley),11,-0.04094941483508693,0.6117636359009686
Sparse (Mosley),12,-0.1336686370005438,0.09728921266890565
