Model,DM_vs_RW,p_value,n
LagRD,-4.450235488017005,1.9439082293848386e-05,120
Macros,-4.956112130326904,2.408237027795579e-06,120
AGT,-5.265255669394926,6.298669092963394e-07,120
MGT,-5.244293657497039,6.908393435089977e-07,120
AGTwRD,-5.264755028555514,6.312599465374547e-07,120
MGTwRD,-5.2450745461515105,6.884680598950865e-07,120
AllVar,-5.255595442453622,6.572836988016917e-07,120
AR1,-4.716031247787716,6.600555829239241e-06,120
RW_drift,-4.101174482056139,7.552760565499028e-05,120
HistMean,3.9392841703302706,0.00013825303831382918,120
