Lag,Correlation,P_Value,N,Method
-5,-0.2815067448812951,0.0002846100143087076,162,Neural Network-driven elasticity-based estimates
-4,-0.09723627209875713,0.21690345906877243,163,Neural Network-driven elasticity-based estimates
-3,-0.000466689784227264,0.9952679084578038,164,Neural Network-driven elasticity-based estimates
-2,0.15763828201131502,0.04315901502794858,165,Neural Network-driven elasticity-based estimates
-1,0.03375267116371095,0.6659523812528596,166,Neural Network-driven elasticity-based estimates
0,-0.23618449517770604,0.0021202812661996807,167,Neural Network-driven elasticity-based estimates
1,-0.09847819192325932,0.20684593894353287,166,Neural Network-driven elasticity-based estimates
2,0.0011606204065937233,0.9881956445959731,165,Neural Network-driven elasticity-based estimates
3,0.13115586883530972,0.09412927682870169,164,Neural Network-driven elasticity-based estimates
4,0.18826376338949655,0.016099425409101385,163,Neural Network-driven elasticity-based estimates
5,0.12899128632374132,0.10185644635693882,162,Neural Network-driven elasticity-based estimates
-5,-0.3183388471225448,3.6539963119403203e-05,162,\citet{mosley2022sparse}-based estimates
-4,-0.2503308930593226,0.0012690542739910253,163,\citet{mosley2022sparse}-based estimates
-3,0.1833946028115842,0.01874290022038052,164,\citet{mosley2022sparse}-based estimates
-2,-0.011851032519227516,0.8799147544975182,165,\citet{mosley2022sparse}-based estimates
-1,-0.06533513774626099,0.40297625697245837,166,\citet{mosley2022sparse}-based estimates
0,-0.16361296269450162,0.03462449486261057,167,\citet{mosley2022sparse}-based estimates
1,0.11648469221041445,0.1350313340819743,166,\citet{mosley2022sparse}-based estimates
2,0.10756870838884562,0.16905879357765385,165,\citet{mosley2022sparse}-based estimates
3,-0.06517301610061571,0.40703655282491596,164,\citet{mosley2022sparse}-based estimates
4,0.21874930020182884,0.005025894434973767,163,\citet{mosley2022sparse}-based estimates
5,0.20367869277879314,0.009332122543324235,162,\citet{mosley2022sparse}-based estimates
-5,0.008401108135386085,0.9155010207123409,162,\citet{chowlin1971best}-based estimates
-4,-0.13236665317861926,0.09211242820168015,163,\citet{chowlin1971best}-based estimates
-3,-0.2173941194734911,0.005170245285267323,164,\citet{chowlin1971best}-based estimates
-2,-0.3678226625653191,1.1718895923946596e-06,165,\citet{chowlin1971best}-based estimates
-1,0.08238963332259881,0.2912925860941983,166,\citet{chowlin1971best}-based estimates
0,0.4624541932587163,3.1401263950631525e-10,167,\citet{chowlin1971best}-based estimates
1,0.3073833640152189,5.615758577749459e-05,166,\citet{chowlin1971best}-based estimates
2,-0.11040884796756205,0.15801901610334224,165,\citet{chowlin1971best}-based estimates
3,-0.2529068468954575,0.0010857951483817727,164,\citet{chowlin1971best}-based estimates
4,0.06557305319158337,0.40561592116949696,163,\citet{chowlin1971best}-based estimates
5,0.20137739995272802,0.010180175301266369,162,\citet{chowlin1971best}-based estimates
