split,rank,topic,abs_elasticity,elasticity
temporal,1,Research_&_Experimentation_Tax_Credit,0.0302167604618902,0.0302167604618902
temporal,2,Trademark_attorney,0.029384765458360804,0.029384765458360804
temporal,3,Business_loan,0.028573346800570748,0.028573346800570748
temporal,4,Subsidy,0.02747178809939349,0.02747178809939349
temporal,5,Small_Business_Innovation_Research,0.017234132849309254,0.017234132849309254
temporal,6,Patent_infringement,0.01463105142044506,0.01463105142044506
temporal,7,Health,0.010973806711565767,0.010973806711565767
temporal,8,Tax_credit,0.009846127142157423,0.009846127142157423
temporal,9,Education,0.008048608697276064,-0.008048608697276064
temporal,10,Innovation_management,0.007703066810535682,0.007703066810535682
temporal,11,Patent_application,0.005872048889562445,0.005872048889562445
temporal,12,Law_firm,0.005222119252773525,-0.005222119252773525
temporal,13,Career,0.0044961366103709426,-0.0044961366103709426
temporal,14,Sustainability,0.0035187428714930267,-0.0035187428714930267
temporal,15,Wage,0.003468129068619419,0.003468129068619419
random,1,Trademark_attorney,0.054226976430160556,0.054226976430160556
random,2,Business_loan,0.052517113234283895,0.052517113234283895
random,3,Research_&_Experimentation_Tax_Credit,0.03597966989291601,0.03597966989291601
random,4,Subsidy,0.0265536502755712,0.0265536502755712
random,5,Education,0.017427971596808436,-0.017427971596808436
random,6,Law_firm,0.014863578335441283,-0.014863578335441283
random,7,Business_model,0.014775824486641442,-0.014775824486641442
random,8,Small_Business_Innovation_Research,0.01311773146870874,0.01311773146870874
random,9,Health,0.012916624025656022,0.012916624025656022
random,10,Patent_infringement,0.012487377692612107,-0.012487377692612107
random,11,Tax_credit,0.012360014516902239,0.012360014516902239
random,12,Patent,0.011469626848606243,0.011469626848606243
random,13,Wage,0.01136173995955409,-0.01136173995955409
random,14,Data,0.010269038003232726,0.010269038003232726
random,15,Scholarship,0.009846270479864402,0.009846270479864402
alldata,1,Trademark_attorney,0.05816951758514671,0.05816951758514671
alldata,2,Business_loan,0.055614024653180084,0.055614024653180084
alldata,3,Research_&_Experimentation_Tax_Credit,0.03517511788569277,0.03517511788569277
alldata,4,Subsidy,0.026243503943568485,0.026243503943568485
alldata,5,Education,0.019372571542355485,-0.019372571542355485
alldata,6,Law_firm,0.015922298992839645,-0.015922298992839645
alldata,7,Business_model,0.015764000143957128,-0.015764000143957128
alldata,8,Health,0.013773478582496534,0.013773478582496534
alldata,9,Tax_credit,0.012713554271068331,0.012713554271068331
alldata,10,Patent_infringement,0.012618124564115332,-0.012618124564115332
alldata,11,Wage,0.012170659366722389,-0.012170659366722389
alldata,12,Patent,0.012113856677975529,0.012113856677975529
alldata,13,Small_Business_Innovation_Research,0.011633206757442907,0.011633206757442907
alldata,14,Data,0.011123742497717241,0.011123742497717241
alldata,15,Invention,0.010263413617186884,0.010263413617186884
