Model,MAPE,RMSE,R2,DMvsRW3,p
LagRD,25.577,181.321,0.29,1.387,0.179
Macros,15.876,72.081,0.888,1.553,0.135
AGT,15.62,79.301,0.864,2.027,0.055
MGT,16.791,86.072,0.84,1.959,0.063
AGTwRD,14.838,69.326,0.896,1.936,0.066
MGTwRD,15.277,71.85,0.889,1.908,0.069
AllVar,14.76,69.214,0.897,1.912,0.069
RW (L=1),4.795,19.456,0.992,-2.804,0.01
RW (L=2),8.264,38.058,0.969,-2.762,0.011
"RW (L=3, feasible)",12.044,54.943,0.935,,
AR(1) (L=3),5.178,19.221,0.992,-2.86,0.009
MIDAS (GT),31.197,140.731,0.572,2.409,0.025
U-MIDAS (GT),31.92,145.449,0.543,2.472,0.022
"sg-LASSO-MIDAS (GT, full)",22.151,77.028,0.872,2.606,0.016
Hist. mean,27.29,113.683,0.721,2.771,0.011
