Config,target,MAPE,RMSE,R2
Macros,level,16.847546523859904,43.174386665905885,0.9597596618539397
Macros,log,12.872773927730046,50.519945881088375,0.9449021031823307
Macros,logstd_country,15.763874173444492,73.38225494646713,0.8837504249469827
AGT,level,51.321044291333266,119.00084557138743,0.6942901987270005
AGT,log,28.076626736731953,126.18856185291763,0.6562448211878456
AGT,logstd_country,16.36275354310402,82.32582311361715,0.8536874999233458
MGT,level,54.67277246820095,128.94937000975406,0.6410386271373865
MGT,log,38.281365976167,145.35506696673872,0.5438899736054691
MGT,logstd_country,16.670670167920054,85.69954483736487,0.8414499808746717
AGTwRD,level,43.50011639559793,78.09194293500437,0.8683497389535275
AGTwRD,log,21.00383569481404,80.02799008530663,0.8617411031386775
AGTwRD,logstd_country,14.37596228368018,67.04233238285585,0.9029696723688284
AllVar,level,46.787178927345465,86.86459030991897,0.8371098514176184
AllVar,log,32.2107503884916,97.967544164538,0.7928076525991248
AllVar,logstd_country,14.65120030301349,68.63610867224685,0.8983014936489532
