Year,Month,NN,Sax,Mosley,date,Uniform,Employment
2008,1,42.22595316486724,37.3624807260872,39.3632546599204,2008-01-01,37.459204065194754,355100
2008,2,40.46482429433937,36.745148993141,33.4860654458338,2008-02-01,37.459204065194754,356300
2008,3,39.93378742412813,39.1165915125153,40.2129505181045,2008-03-01,37.459204065194754,358100
2008,4,39.29310510380907,35.6159967768006,37.8504984863919,2008-04-01,37.459204065194754,359600
2008,5,39.61598043617419,37.6091787237613,36.8427044521292,2008-05-01,37.459204065194754,361200
2008,6,33.51950966854147,40.832556558926,39.5811440722983,2008-06-01,37.459204065194754,365100
2008,7,39.041427026666504,39.7222103455026,37.5198452777637,2008-07-01,37.459204065194754,371100
2008,8,36.73403813000994,38.2395986574368,35.5720366523734,2008-08-01,37.459204065194754,366400
2008,9,36.961580743922994,33.9390601023044,37.1794671005526,2008-09-01,37.459204065194754,362800
2008,10,39.5986428803486,35.7880045091079,42.1945448477368,2008-10-01,37.459204065194754,362500
2008,11,32.61830233547474,36.9296951091067,34.0869254179271,2008-11-01,37.459204065194754,363000
2008,12,29.503297574054823,37.6099267676472,35.6210118513054,2008-12-01,37.459204065194754,363800
2009,1,34.8774776071611,34.5038790513281,35.2489393544582,2009-01-01,37.110100069028505,360700
2009,2,35.141554264760366,35.6169067082288,36.8706860077405,2009-02-01,37.110100069028505,360600
2009,3,37.912133801035594,37.0941334089327,39.0561565142298,2009-03-01,37.110100069028505,359500
2009,4,37.648562838527454,38.217646229763,38.5499542854467,2009-04-01,37.110100069028505,357300
2009,5,37.41574922844376,37.7733250845989,36.5088271719195,2009-05-01,37.110100069028505,357300
2009,6,40.23049706168005,40.2172634452594,38.6856689638381,2009-06-01,37.110100069028505,360300
2009,7,34.25114804001413,41.3097383344391,37.2093057707204,2009-07-01,37.110100069028505,363900
2009,8,41.48925402931932,40.6980537909665,38.2141263957071,2009-08-01,37.110100069028505,361200
2009,9,39.12766055504224,33.5997409307427,35.8982124925994,2009-09-01,37.110100069028505,356600
2009,10,30.70068451324117,31.6618434869577,39.0599893575749,2009-10-01,37.110100069028505,356900
2009,11,37.01919075963923,37.6063434647557,35.9400016408502,2009-11-01,37.110100069028505,357900
2009,12,39.50728812947764,37.0223268923694,34.0793328732573,2009-12-01,37.110100069028505,360200
2010,1,35.38532045257617,37.3040469306713,37.3324562217654,2010-01-01,37.05904849087166,355300
2010,2,37.49013579881396,35.5167671637215,37.7185865053814,2010-02-01,37.05904849087166,356900
2010,3,43.30801729236088,37.7073723116369,43.8650382103662,2010-03-01,37.05904849087166,358000
2010,4,43.09668995139424,35.478404420193,42.4547292761795,2010-04-01,37.05904849087166,360200
2010,5,40.33655338248769,38.4418559157215,37.9212417405837,2010-05-01,37.05904849087166,360400
2010,6,38.58463850910329,41.9536026516187,37.3294387953287,2010-06-01,37.05904849087166,365400
2010,7,31.496002784933214,43.1959120614222,36.5611825537783,2010-07-01,37.05904849087166,367400
2010,8,35.43382374589035,39.9343564538418,35.9587758287146,2010-08-01,37.05904849087166,365300
2010,9,40.566141871166415,32.7736780022943,33.3616731436752,2010-09-01,37.05904849087166,360100
2010,10,33.903658876461904,33.7926738822277,34.3210838547451,2010-10-01,37.05904849087166,362100
2010,11,32.63009337241448,33.8617637204632,36.323907300291,2010-11-01,37.05904849087166,363100
2010,12,32.47750585285734,34.748148376648,31.560468459651,2010-12-01,37.05904849087166,365500
2011,1,42.43664384971851,38.82756974914,39.8456401814422,2011-01-01,37.960472742399006,360700
2011,2,41.86846357095945,36.3042847743038,38.1499058115584,2011-02-01,37.960472742399006,362500
2011,3,44.300489493894645,39.8842644956956,43.4273188213024,2011-03-01,37.960472742399006,363200
2011,4,40.389745583760664,36.3475773622169,41.0401340500366,2011-04-01,37.960472742399006,365300
2011,5,38.46815138771111,38.0047273701718,38.0567237299561,2011-05-01,37.960472742399006,366700
2011,6,38.79872703710934,40.8768531393659,38.4856959971162,2011-06-01,37.960472742399006,371900
2011,7,37.07072926374533,45.8296516401783,37.7637950698583,2011-07-01,37.960472742399006,374400
2011,8,38.03530815913268,38.9519616896249,37.7962369281492,2011-08-01,37.960472742399006,372400
2011,9,39.41644373903438,33.5801858675042,35.4779181051565,2011-09-01,37.960472742399006,368000
2011,10,32.12288605231434,34.287770858914,36.6412974380226,2011-10-01,37.960472742399006,368500
2011,11,31.67807887010784,35.7832906975031,35.6159709688511,2011-11-01,37.960472742399006,369600
2011,12,30.940005901299763,36.8475352641696,33.2250358073384,2011-12-01,37.960472742399006,370400
2012,1,38.29941358594574,38.3322423380927,40.3176817337952,2012-01-01,37.90170055657484,366700
2012,2,43.426570623406526,37.849118334681,40.7940533754154,2012-02-01,37.90170055657484,368800
2012,3,39.68899542452136,37.9967734699162,39.7297014335373,2012-03-01,37.90170055657484,369300
2012,4,40.47907279220813,37.9247616326346,38.657801840876,2012-04-01,37.90170055657484,370400
