Method,Lag,Correlation,P_Value,N
NN,-12,-0.2851986284444378,0.00032196901797887617,155
NN,-11,-0.06751093525697156,0.4023758156631211,156
NN,-10,-0.067580853191053,0.4003586285854409,157
NN,-9,0.17472146372044714,0.028113850376678295,158
NN,-8,0.16002910763101363,0.04390739990020307,159
NN,-7,0.11858386258318816,0.1353078377705022,160
NN,-6,0.05814114407910092,0.4638023225101848,161
NN,-5,-0.2815067448812943,0.0002846100143087224,162
NN,-4,-0.09723627209875761,0.21690345906877015,163
NN,-3,-0.0004666897842280776,0.9952679084577862,164
NN,-2,0.1576382820113152,0.043159015027948056,165
NN,-1,0.03375267116371158,0.6659523812528484,166
NN,0,-0.23618449517770626,0.002120281266199637,167
NN,1,-0.09847819192325863,0.20684593894353573,166
NN,2,0.0011606204065930503,0.9881956445959805,165
NN,3,0.13115586883530958,0.09412927682870241,164
NN,4,0.18826376338949774,0.016099425409100806,163
NN,5,0.12899128632374077,0.10185644635694142,162
NN,6,0.06549779134966856,0.4090962523580314,161
NN,7,-0.21409389367453027,0.006558689643837373,160
NN,8,-0.10748437199311926,0.17748390490256508,159
NN,9,-0.04054719771888017,0.6129749314427764,158
NN,10,0.19125541931978862,0.016418985097770313,157
NN,11,-0.000590699222532529,0.9941607379761316,156
NN,12,-0.18988624479863492,0.017957121211141156,155
Mosley,-12,-0.2086256171675102,0.009185452113691284,155
Mosley,-11,0.13726656052863057,0.08749384983077335,156
Mosley,-10,0.05286842571891872,0.5107913583256305,157
Mosley,-9,-0.03632943646320669,0.6504208611878404,158
Mosley,-8,0.20534481703243193,0.009415122673687196,159
Mosley,-7,0.2494282993344746,0.0014690160651708879,160
Mosley,-6,-0.027909199335687265,0.725260376212112,161
Mosley,-5,-0.3183388471225436,3.653996311940553e-05,162
Mosley,-4,-0.2503308930593229,0.00126905427399102,163
Mosley,-3,0.18339460281158337,0.01874290022038112,164
Mosley,-2,-0.011851032519227223,0.8799147544975283,165
Mosley,-1,-0.06533513774626042,0.4029762569724607,166
Mosley,0,-0.16361296269450257,0.034624494862609774,167
Mosley,1,0.11648469221041544,0.13503133408196966,166
Mosley,2,0.10756870838884554,0.16905879357765644,165
Mosley,3,-0.06517301610061643,0.40703655282490936,164
Mosley,4,0.21874930020182953,0.005025894434973605,163
Mosley,5,0.20367869277879325,0.009332122543324231,162
Mosley,6,0.03140160983395391,0.6925220972491776,161
Mosley,7,-0.2916451348132557,0.00018270295286466762,160
Mosley,8,-0.20614714236427084,0.009134746473857742,159
Mosley,9,0.14982907812509683,0.060246017493253035,158
Mosley,10,0.004812330797738983,0.952301524043524,157
Mosley,11,-0.04094941483508696,0.6117636359009618,156
Mosley,12,-0.1336686370005438,0.09728921266890565,155
Sax,-12,0.47646653183935644,3.686693225389e-10,155
Sax,-11,0.28827108256382,0.00026292660938107573,156
Sax,-10,-0.14520062563468344,0.06960875789081428,157
Sax,-9,-0.2288023393301855,0.0038325635789689815,158
Sax,-8,0.081399587537386,0.307726135864138,159
Sax,-7,0.17494804159505972,0.026919750051096605,160
Sax,-6,0.005068988855145222,0.9491155373261151,161
Sax,-5,0.008401108135385771,0.9155010207123454,162
Sax,-4,-0.13236665317861884,0.09211242820168014,163
Sax,-3,-0.2173941194734913,0.005170245285267251,164
Sax,-2,-0.3678226625653197,1.1718895923946018e-06,165
Sax,-1,0.08238963332259844,0.29129258609420083,166
Sax,0,0.4624541932587158,3.140126395063246e-10,167
Sax,1,0.30738336401521954,5.6157585777491974e-05,166
Sax,2,-0.11040884796756091,0.15801901610334657,165
Sax,3,-0.25290684689545767,0.001085795148381763,164
Sax,4,0.06557305319158334,0.40561592116950046,163
Sax,5,0.20137739995272794,0.010180175301266364,162
Sax,6,-0.009509847476496091,0.9046978848633614,161
Sax,7,0.04337396520640681,0.5860309052818601,160
Sax,8,-0.07907818603429151,0.32177203129963544,159
Sax,9,-0.25765082511301907,0.0010820950403352754,158
Sax,10,-0.3559237928238382,4.766967407911042e-06,157
Sax,11,0.11041293251330217,0.17001201172845973,156
Sax,12,0.4749992114687886,4.244820840343886e-10,155
Uniform,-12,-0.28583124202676796,0.0003118173950134966,155
Uniform,-11,0.1029951370008422,0.20073216261753488,156
Uniform,-10,0.06510136694649518,0.41790620926593713,157
Uniform,-9,-0.04502626457594126,0.5742779191764998,158
Uniform,-8,0.09026372073844134,0.25783916770114323,159
Uniform,-7,0.4360012035494174,8.274729010894927e-09,160
Uniform,-6,0.21947331374451845,0.005153254104891349,161
Uniform,-5,-0.1216895257600646,0.12292791580742635,162
Uniform,-4,-0.4256248403117249,1.4797399768311189e-08,163
Uniform,-3,0.07261594124783757,0.3554626339151449,164
Uniform,-2,0.07046729193253784,0.36843639447444637,165
Uniform,-1,0.09872772672478912,0.20569211519105543,166
Uniform,0,-0.20860898846845008,0.006822117648393589,167
Uniform,1,0.10251829350555852,0.18873154798569097,166
Uniform,2,0.0765957476544434,0.3281496179772162,165
Uniform,3,-0.05362932250655689,0.4952210321622523,164
Uniform,4,0.09344608715168835,0.2354421582399741,163
Uniform,5,0.41823236201349834,3.059814613801022e-08,162
Uniform,6,0.24632539339798534,0.0016335707579408416,161
Uniform,7,-0.1009005473355174,0.20424937587531253,160
Uniform,8,-0.4189720856321566,3.877206460732478e-08,159
Uniform,9,0.103797943095336,0.19433246024947204,158
Uniform,10,0.09030354158072819,0.26069163777970294,157
Uniform,11,0.10553399168417832,0.18979600864621635,156
Uniform,12,-0.20557757648639302,0.010282765613984562,155
