Model,MAPE,RMSE,R2
AR3,5.178230109365749,19.22067506817819,0.9920247089369216
RW3,12.044187922437397,54.94304586074972,0.9348319491982412
Ridge,14.990587659615027,97.6911332521922,0.7939751705483007
Elastic Net,15.434487197814567,122.83803613444144,0.6742570709191735
NN,15.619628130704111,79.3011454425144,0.8642411379829806
NN_AGT,15.619628130704113,79.3011454425144,0.8642411379829806
sg-LASSO-MIDAS,22.151172240365643,77.027767960485,0.871913341794144
OLS,22.384918154894542,152.55555249521623,0.4975818659205497
MIDAS,31.19665874590483,140.7307356652142,0.5724497310543529
UMIDAS,31.919739949491138,145.4492403719897,0.5432987682254324
