Variant,ensemble_size,hidden,dropout,weight_decay,loss,wide,val_MAPE,test_MAPE,test_RMSE,test_R2
wide64_huber_wd5e4_s15,15,64-16,0.12,0.0005,huber,True,5.583847292652097,13.915594240118825,70.03476626176437,0.8941144650230607
wide64_huber_wd1e3_s15,15,64-16,0.15,0.001,huber,True,5.695503212396175,13.956691958889875,70.13503950944818,0.8938110417974615
wide64_huber_wd1e3_s15,5,64-16,0.15,0.001,huber,True,5.805223632138807,14.008416433851034,64.0239937065207,0.9115098786875473
wide64_huber_wd5e4_s15,5,64-16,0.12,0.0005,huber,True,5.653652276652191,14.029026756726209,65.33490945766994,0.9078490418382448
wide64_mse_wd1e3_s15,15,64-16,0.15,0.001,mse,True,5.644209975792661,14.222264914677208,71.32637480444325,0.890172886172204
wide64_huber_wd5e4_s15,10,64-16,0.12,0.0005,huber,True,5.6751917667643985,14.268414021623677,72.59498119261457,0.8862313873214022
wide64_huber_wd1e3_s15,10,64-16,0.15,0.001,huber,True,5.871969915740738,14.351392138187634,72.96834796593109,0.8850581201626739
wide64_mse_wd1e3_s15,5,64-16,0.15,0.001,mse,True,5.750970141867744,14.37359752699411,66.59562169846372,0.9042584127188238
wide64_mse_wd1e3_s15,10,64-16,0.15,0.001,mse,True,5.882180470156062,14.658236058807612,74.99582724682305,0.8785818900672726
wide48_huber_wd1e3_s15,15,48-12,0.12,0.001,huber,True,5.673037501702217,14.661340112987665,74.33956882974766,0.8806975551229285
wide48_huber_wd1e3_s15,5,48-12,0.12,0.001,huber,True,5.59835788168824,14.946024383462195,76.33036644669578,0.8742222090813387
wide48_huber_wd1e3_s15,10,48-12,0.12,0.001,huber,True,5.667426495416315,14.985279782106955,75.47623334587328,0.877021354581247
medium_ln_mse_s15,15,128-32,0.15,0.001,mse,False,5.839411877782456,16.32994512581933,78.71317839825595,0.8662468044318269
medium_ln_mse_s15,5,128-32,0.15,0.001,mse,False,5.835668242997957,16.50632732534482,80.66103839576198,0.8595451030811077
medium_ln_mse_s15,10,128-32,0.15,0.001,mse,False,5.915606009607637,16.530198661170996,79.63333865774737,0.8631013655132498
