Variant,ensemble_size,hidden,dropout,weight_decay,lr,loss,val_MAPE,test_MAPE,test_RMSE,test_R2
orig_lr01_wd1e4_do10_mse,5,200-20-20,0.1,0.0001,0.01,mse,5.275973729574559,14.020738227601589,66.44478248980755,0.9046916312933835
orig_lr01_wd1e4_do10_mse,7,200-20-20,0.1,0.0001,0.01,mse,5.235714168753174,14.050122564986042,66.12329049100754,0.905611696018341
orig_lr003_wd1e3_do15_huber,7,200-20-20,0.15,0.001,0.003,huber,6.3872031818305395,15.183092718255557,68.69478435747067,0.8981275391431811
orig_compact_lr003_wd1e3_do15_mse,7,128-32-16,0.15,0.001,0.003,mse,6.217869412986449,15.335898861206854,67.76616018329322,0.9008631708345226
orig_lr003_wd1e3_do15_huber,5,200-20-20,0.15,0.001,0.003,huber,6.5414458280919945,15.354734668067776,70.57925180632813,0.8924616500413565
orig_compact_lr003_wd1e3_do15_mse,5,128-32-16,0.15,0.001,0.003,mse,6.289813577993413,15.447311183608159,69.84554375485233,0.8946858629312922
orig_wide_lr003_wd1e3_do15_mse,5,256-64-16,0.15,0.001,0.003,mse,6.050256051715152,15.487122566892255,69.27471003220963,0.8964002514555649
orig_wide_lr003_wd1e3_do15_mse,7,256-64-16,0.15,0.001,0.003,mse,6.0478663403069355,15.51648343061942,69.56162513711236,0.8955403160664359
orig_lr003_wd1e3_do15_mse,7,200-20-20,0.15,0.001,0.003,mse,6.312200150101968,15.528980553499547,71.72137144736395,0.8889531000374272
orig_lr003_wd1e3_do15_mse,5,200-20-20,0.15,0.001,0.003,mse,6.236282495348709,15.535483971295868,72.76850237300663,0.8856868632494476
orig_lr003_wd3e3_do20_mse,7,200-20-20,0.2,0.003,0.003,mse,6.959127263962558,16.06512764734248,72.44870564900226,0.8866894024458166
orig_lr003_wd1e3_do25_huber,7,200-20-20,0.25,0.001,0.003,huber,7.07329696036404,16.170333089001183,72.20467839691072,0.8874514396862756
orig_lr003_wd1e3_do25_huber,5,200-20-20,0.25,0.001,0.003,huber,7.027605066749289,16.173453030140706,73.05400688057777,0.8847880968982919
orig_lr003_wd3e3_do20_mse,5,200-20-20,0.2,0.003,0.003,mse,7.046535542486912,16.345327754382726,73.3886720491069,0.8837300925635526
orig_lr002_wd3e3_do20_huber,7,200-20-20,0.2,0.003,0.002,huber,7.30221282907126,16.44540312334391,74.58961390569071,0.8798936452155888
orig_lr002_wd3e3_do20_huber,5,200-20-20,0.2,0.003,0.002,huber,7.424782284978401,16.72584443904288,76.25821680090215,0.8744598742359702
