Config,Model,n,mean_APE,median_APE,iqr_APE,p90_APE,RMSE
LagRD,Neural network,23,15.017924014929905,10.835307993981932,12.51566517641556,36.54896388103567,46.04434516359554
LagRD,OLS,23,38.02563981084226,16.642434185064083,25.98782122802932,109.51915800917283,295.73733999722555
Macros,Neural network,23,14.285227213576059,10.845893934110446,13.950672583800404,29.676510244774143,62.867681936208356
Macros,OLS,23,9.09879201269388,5.096590624823544,9.714799807839642,27.29318867624377,43.36097672370232
AGT,Neural network,23,13.959166966600415,9.674231034678568,17.21181694099979,30.486669670849793,70.1624804416316
AGT,OLS,23,22.38491815489455,16.35713541446741,22.699448162856434,38.157797918857376,152.55555249521623
MGT,Neural network,23,15.262875560259335,9.315262796702617,16.081367595432244,38.66981744175808,78.15020213154513
MGT,OLS,23,22.22276896830532,17.140279164262743,20.520857066390725,35.68828438200266,160.07756422505375
AGTwRD,Neural network,23,13.125633333938968,9.363778397612426,17.450040312596702,27.923490506651035,59.33743129987153
AGTwRD,OLS,23,21.62325198777194,14.614329870991668,16.51640868194154,30.118961625085106,173.42515794950418
MGTwRD,Neural network,23,12.366497543816392,8.19948448984358,16.473927735253945,27.4145011838722,54.41806994173418
MGTwRD,OLS,23,21.576318322720102,14.255806779076133,16.52304775552748,30.223863402882472,173.04827416174456
AllVar,Neural network,23,12.19390102736005,9.559001619229807,16.324431119009684,27.18257007078525,53.946603838837454
AllVar,OLS,23,21.53045149743911,15.667151828475523,18.139764992717645,29.044954271618874,167.34440096086024
