Year,Month,NN,Sax,Mosley,Ridge_positive,Ridge_signed,date,Quarter,quarter_date
2004,1,35.33355521571729,28.688237282898,32.9606514484556,35.19914449138748,35.142004871118274,2004-01-01,1,2004-01-01
2004,2,27.71337557806721,28.0386032639846,28.4558868950222,32.50553590032031,28.364425347363014,2004-02-01,1,2004-01-01
2004,3,23.578324607597427,30.0931395578973,30.2525550930859,28.485317040048496,23.404873400834983,2004-03-01,1,2004-01-01
2004,4,29.13350468942984,30.6333424335577,33.7808424765506,33.73672223171994,30.67416574017962,2004-04-01,2,2004-04-01
2004,5,24.17958940336249,33.0627543992953,31.6507212929523,26.42529633246184,25.07244908841037,2004-05-01,2,2004-04-01
2004,6,35.029098867166944,33.2544075087679,31.6587891196557,30.47704761328316,31.918510615545276,2004-06-01,2,2004-04-01
2004,7,40.881604949197786,36.4270251773139,32.9217596441761,34.341834987542164,38.43275556515879,2004-07-01,3,2004-07-01
2004,8,38.67563606268267,32.2225893089656,30.4018512590676,33.233870432645,37.08188967496084,2004-08-01,3,2004-07-01
2004,9,28.60005936009768,27.5393104116167,32.6307118488807,30.925554868281488,32.0598070164029,2004-09-01,3,2004-07-01
2004,10,43.5324498842782,28.2327981289782,31.766303426661,36.78013018120916,42.28478226682908,2004-10-01,4,2004-10-01
2004,11,22.15649816435669,32.8381373540475,30.3444773786476,26.6915740276215,24.415860782561847,2004-11-01,4,2004-10-01
2004,12,26.083330942020787,33.8666828966522,28.0724778408197,26.094999617454462,26.045503354609984,2004-12-01,4,2004-10-01
2005,1,38.87817744572706,31.4615155398743,32.6671964988913,36.601413691287625,36.92911491572657,2005-01-01,1,2005-01-01
2005,2,27.34510535686493,30.4934522754843,32.544889218487,33.48667390474628,28.000494502573744,2005-02-01,1,2005-01-01
2005,3,39.140295913225394,33.6500493216966,35.7795726606667,36.91624370617172,36.05416173567125,2005-03-01,1,2005-01-01
2005,4,35.94434891010088,32.4918181436384,33.8750117317527,35.53338388780686,32.91073533327348,2005-04-01,2,2005-04-01
2005,5,21.33603663550093,35.1788021128944,29.6011765246062,27.7561490615143,25.89757781001617,2005-05-01,2,2005-04-01
2005,6,44.63002022097346,34.764156329613,33.2454243669526,36.08269655451394,41.71108641611406,2005-06-01,2,2005-04-01
2005,7,24.276319621939585,35.9844842594659,30.0612715531735,26.79287705472043,25.16288614395818,2005-07-01,3,2005-07-01
2005,8,36.897500768356906,32.2556477236717,34.9235512406195,35.176288017325575,38.68421523107318,2005-08-01,3,2005-07-01
2005,9,35.681803884801006,29.6351244067091,34.2360364309853,33.7915838128847,36.14804898257208,2005-09-01,3,2005-07-01
2005,10,31.919219586034515,29.2210080367915,30.9919574982107,32.111146021306894,33.8394298863312,2005-10-01,4,2005-10-01
2005,11,23.93886718713759,32.055035311153,31.8481434937687,27.90466253743629,25.767927030840585,2005-11-01,4,2005-10-01
2005,12,30.31879477373876,33.1153968434087,30.532259086287,28.153372054686407,29.200812316250584,2005-12-01,4,2005-10-01
2006,1,29.308990568788577,35.30346727897,35.013139522378,33.66241583819986,29.374356214167317,2006-01-01,1,2006-01-01
2006,2,39.762575107764775,35.0798265185375,34.8342699673328,39.78131231716516,38.72819176026928,2006-02-01,1,2006-01-01
2006,3,30.67421698956432,36.9804848612701,38.5993575231929,34.781069374658536,30.48746686189888,2006-03-01,1,2006-01-01
2006,4,28.485384040323893,30.0198173238652,36.8786690520013,33.821345664741266,27.151379539048936,2006-04-01,2,2006-04-01
2006,5,36.026667432202295,35.947193810547,33.8555136040802,33.65815787375115,35.86276141145731,2006-05-01,2,2006-04-01
2006,6,35.882485061265065,34.625655438862,33.6094958619321,34.03874368186072,35.95343403019253,2006-06-01,2,2006-04-01
2006,7,33.50287020794773,36.633343669143,31.8792424183594,32.3966898646264,35.07275729024828,2006-07-01,3,2006-07-01
2006,8,45.42932122317978,35.4435467782351,31.6968876335872,37.83933622214428,44.076489529727255,2006-08-01,3,2006-07-01
2006,9,31.65123895440407,31.4652671580101,31.9955079222751,31.37333034647393,32.851924869298514,2006-09-01,3,2006-07-01
2006,10,31.00917741602217,29.807644289955,34.4949787731576,33.51548911294386,32.83786910443793,2006-10-01,4,2006-10-01
2006,11,29.862810935690685,32.8944423663793,32.995797175069,30.85859692853664,30.457728587607097,2006-11-01,4,2006-10-01
2006,12,36.55139433730874,33.9464427806876,32.2942728210963,32.4206450493603,35.292773076108766,2006-12-01,4,2006-10-01
2007,1,35.386511973794725,36.5246980658169,33.9689213714052,36.07428511325569,33.98897181066088,2007-01-01,1,2007-01-01
2007,2,30.37784886757377,33.855521778791,37.4531488693721,36.82039297347556,32.002478293003804,2007-02-01,1,2007-01-01
2007,3,35.967403238493986,37.6945684492484,36.9922024193878,36.5484120340842,34.57252923783073,2007-03-01,1,2007-01-01
2007,4,43.50861261481815,33.5808743781561,36.6768488716377,40.96910628725912,38.86738726891824,2007-04-01,2,2007-04-01
2007,5,34.575125915328606,38.7053590596694,35.7294986670825,34.78525513945151,34.92507787727519,2007-05-01,2,2007-04-01
2007,6,38.1133569055334,36.9602582926724,35.5832246210842,34.95331039476101,37.15362530923205,2007-06-01,2,2007-04-01
2007,7,43.16208149043485,38.8007442801057,36.765081838147,37.23907170807591,40.568733342160726,2007-07-01,3,2007-07-01
2007,8,33.72899021748579,36.7338717853361,37.4714265283471,34.28507447880859,35.58330110081803,2007-08-01,3,2007-07-01
2007,9,34.20630298611957,32.8273402925849,33.7704645176445,34.35068286417771,36.06652039575834,2007-09-01,3,2007-07-01
2007,10,33.60406201931771,32.3450929487437,36.3843020107406,36.364349089331455,36.5639583701349,2007-10-01,4,2007-10-01
2007,11,38.350936232474886,33.890640006747,35.8187776702519,36.01874910850248,38.49365253250279,2007-11-01,4,2007-10-01
2007,12,26.77347110396656,35.8357342274704,31.1408061802414,29.346014374158763,28.96846802704632,2007-12-01,4,2007-10-01
2008,1,42.22595316486724,37.3624807260872,39.3632546599204,42.16085578566996,42.00095815891337,2008-01-01,1,2008-01-01
2008,2,40.46482429433937,36.745148993141,33.4860654458338,40.32780164715192,39.34414050958721,2008-02-01,1,2008-01-01
2008,3,39.93378742412813,39.1165915125153,40.2129505181045,40.94160141981749,39.3472179292843,2008-03-01,1,2008-01-01
2008,4,39.29310510380907,35.6159967768006,37.8504984863919,40.9801165915593,38.96636313756333,2008-04-01,2,2008-04-01
2008,5,39.61598043617419,37.6091787237613,36.8427044521292,39.03966593026363,42.70068513712246,2008-05-01,2,2008-04-01
2008,6,33.51950966854147,40.832556558926,39.5811440722983,35.152120066295375,35.278555379560615,2008-06-01,2,2008-04-01
2008,7,39.0414270266665,39.7222103455026,37.5198452777637,37.232485546708,38.84310158099543,2008-07-01,3,2008-07-01
2008,8,36.73403813000994,38.2395986574368,35.5720366523734,35.02972114406357,37.10136520538688,2008-08-01,3,2008-07-01
2008,9,36.961580743922994,33.9390601023044,37.1794671005526,36.25951501271958,35.49150386435032,2008-09-01,3,2008-07-01
2008,10,39.5986428803486,35.7880045091079,42.1945448477368,38.55673303888543,38.82561427120262,2008-10-01,4,2008-10-01
2008,11,32.61830233547474,36.9296951091067,34.0869254179271,32.59866158408966,32.093991449967994,2008-11-01,4,2008-10-01
2008,12,29.503297574054823,37.6099267676472,35.6210118513054,31.231171015113155,29.51695215840252,2008-12-01,4,2008-10-01
2009,1,34.8774776071611,34.5038790513281,35.2489393544582,35.67866455266659,32.17966270577222,2009-01-01,1,2009-01-01
2009,2,35.141554264760366,35.6169067082288,36.8706860077405,40.26151657953924,34.25009149722958,2009-02-01,1,2009-01-01
2009,3,37.9121338010356,37.0941334089327,39.0561565142298,39.55288582218137,37.02349794559608,2009-03-01,1,2009-01-01
2009,4,37.648562838527454,38.217646229763,38.5499542854467,39.48431873902691,36.73975986909952,2009-04-01,2,2009-04-01
2009,5,37.41574922844376,37.7733250845989,36.5088271719195,36.1516905413251,37.67428086941352,2009-05-01,2,2009-04-01
2009,6,40.23049706168005,40.2172634452594,38.6856689638381,37.13689595771129,38.65965985087243,2009-06-01,2,2009-04-01
2009,7,34.25114804001413,41.3097383344391,37.2093057707204,34.72574864812529,34.69544428401175,2009-07-01,3,2009-07-01
2009,8,41.48925402931932,40.6980537909665,38.2141263957071,37.13843646411724,40.60319962470356,2009-08-01,3,2009-07-01
2009,9,39.12766055504224,33.5997409307427,35.8982124925994,36.873981223340834,39.66366381030692,2009-09-01,3,2009-07-01
2009,10,30.70068451324117,31.6618434869577,39.0599893575749,35.70678310500428,34.69430002439275,2009-10-01,4,2009-10-01
2009,11,37.01919075963923,37.6063434647557,35.9400016408502,36.34315120565232,39.27982024831833,2009-11-01,4,2009-10-01
2009,12,39.50728812947764,37.0223268923694,34.0793328732573,36.26712798965154,39.85782009862531,2009-12-01,4,2009-10-01
2010,1,35.38532045257617,37.3040469306713,37.3324562217654,39.07983327817583,37.02159749032525,2010-01-01,1,2010-01-01
2010,2,37.49013579881396,35.5167671637215,37.7185865053814,40.99374887818335,37.82443059718307,2010-02-01,1,2010-01-01
2010,3,43.30801729236088,37.7073723116369,43.8650382103662,44.95276571819509,43.05770260919598,2010-03-01,1,2010-01-01
2010,4,43.09668995139424,35.478404420193,42.4547292761795,44.25884556697663,41.08150323748808,2010-04-01,2,2010-04-01
