topic,elasticity
Budget,0.0002248314332607422
Business,0.0019375972569842857
Business_loan,0.055614024653180084
Business_model,-0.015764000143957128
Capitalization,0.00428702609832893
Career,0.007405108943372066
Collaboration,0.002097366311270056
Cost,0.0006197868594745632
Credit,0.0012730607621029835
Data,0.011123742497717241
Disease,0.006631921564156322
Economy,-0.0070038996556541664
Education,-0.019372571542355485
Employment,0.003146428261845471
Energy,0.004265029387242127
Entrepreneurship,0.0008977575550420722
Expense,-0.0014565134410425397
Health,0.013773478582496534
Income,-0.00022060477638983535
Income_statement,0.0022562907159656503
Innovation,0.010111584145420337
Innovation_management,0.006408266516374287
Invention,0.010263413617186884
Investment,-0.007054818228142843
Investment_banking,-0.00036784629468754933
Investment_fund,-0.0072053223066061885
Investment_management,-0.009357977718441665
Investor,-0.008434931296480952
Job,-0.0060763945623185135
Laboratory,0.007239324234693193
Law,0.0007078908690268398
Law_firm,-0.015922298992839645
Loan,-0.0002746567822449883
Manufacturing,0.003982575290552283
Medicine,-0.0028108411478936723
Patent,0.012113856677975529
Patent_application,0.003009336488539167
Patent_infringement,-0.012618124564115332
Patent_office,-0.0021440619376132566
Research_&_Experimentation_Tax_Credit,0.03517511788569277
Research_and_Development_Tax_Credit,0.0009803290166089343
Salary,0.0008410304402580431
Scholarship,0.010188167063311411
Semiconductor,0.002521861377116028
Small_Business_Innovation_Research,0.011633206757442907
Stock,-6.655848151499821e-05
Subsidy,0.026243503943568485
Sustainability,-0.001995327621395371
Tax,0.001281410137481533
Tax_credit,0.012713554271068331
Tax_deduction,-0.008573725402173746
Tax_incentive,0.003438517351299294
Tax_report,-0.0036585740649895033
Technology,-0.002471459280464376
Trademark,-0.003450372053919133
Trademark_attorney,0.05816951758514671
Wage,-0.012170659366722389
