Year,Month,NN,Sax,Mosley,date
2004,1,34.55061832377843,28.688237282898,32.9606514484556,2004-01-01
2004,2,25.366277433061683,28.0386032639846,28.4558868950222,2004-02-01
2004,3,21.699881101413542,30.0931395578973,30.2525550930859,2004-03-01
2004,4,27.66923790865475,30.6333424335577,33.7808424765506,2004-04-01
2004,5,26.00754106440759,33.0627543992953,31.6507212929523,2004-05-01
2004,6,33.952882555954,33.2544075087679,31.6587891196557,2004-06-01
2004,7,42.320585243798256,36.4270251773139,32.9217596441761,2004-07-01
2004,8,37.86545371970843,32.2225893089656,30.4018512590676,2004-08-01
2004,9,31.21562885637773,27.5393104116167,32.6307118488807,2004-09-01
2004,10,48.599339758065256,28.2327981289782,31.766303426661,2004-10-01
2004,11,19.873276430984085,32.8381373540475,30.3444773786476,2004-11-01
2004,12,25.776305327771208,33.8666828966522,28.0724778408197,2004-12-01
2005,1,40.42862797910216,31.4615155398743,32.6671964988913,2005-01-01
2005,2,23.641645490565896,30.4934522754843,32.544889218487,2005-02-01
2005,3,38.55719803412748,33.6500493216966,35.7795726606667,2005-03-01
2005,4,34.165433730523375,32.4918181436384,33.8750117317527,2005-04-01
2005,5,21.199777683152767,35.1788021128944,29.6011765246062,2005-05-01
2005,6,47.95518849759939,34.764156329613,33.2454243669526,2005-06-01
2005,7,23.2442060857102,35.9844842594659,30.0612715531735,2005-07-01
2005,8,42.50421072476843,32.2556477236717,34.9235512406195,2005-08-01
2005,9,38.016712249371665,29.6351244067091,34.2360364309853,2005-09-01
2005,10,30.186951274478133,29.2210080367915,30.9919574982107,2005-10-01
2005,11,20.839989043410423,32.055035311153,31.8481434937687,2005-11-01
2005,12,29.56654951159113,33.1153968434087,30.532259086287,2005-12-01
2006,1,28.321921250856423,35.30346727897,35.013139522378,2006-01-01
2006,2,37.08964870697861,35.0798265185375,34.8342699673328,2006-02-01
2006,3,32.43036789200989,36.9804848612701,38.5993575231929,2006-03-01
2006,4,26.53381603807439,30.0198173238652,36.8786690520013,2006-04-01
2006,5,36.87088144806362,35.947193810547,33.8555136040802,2006-05-01
2006,6,34.8878210395255,34.625655438862,33.6094958619321,2006-06-01
2006,7,35.32214790102362,36.633343669143,31.8792424183594,2006-07-01
2006,8,46.41482942449772,35.4435467782351,31.6968876335872,2006-08-01
2006,9,33.632679766674606,31.4652671580101,31.9955079222751,2006-09-01
