topic,elasticity,abs_elasticity
Budget,-0.0011274369488654123,0.0011274369488654123
Business,0.004730673118026211,0.004730673118026211
Business_loan,0.0820918249744123,0.0820918249744123
Business_model,-0.04277064694604241,0.04277064694604241
Capitalization,0.03289028814338307,0.03289028814338307
Career,0.028371907768186544,0.028371907768186544
Collaboration,0.007404543573152522,0.007404543573152522
Cost,0.005268756327160526,0.005268756327160526
Credit,0.004490880127269605,0.004490880127269605
Data,0.037851355375054165,0.037851355375054165
Disease,0.02291781827396613,0.02291781827396613
Economy,-0.028718946458361972,0.028718946458361972
Education,-0.04738326950204865,0.04738326950204865
Employment,0.007497518317327552,0.007497518317327552
Energy,0.034762241359904716,0.034762241359904716
Entrepreneurship,-0.015261162775870724,0.015261162775870724
Expense,-0.012939220536086917,0.012939220536086917
Health,-6.681445403594089e-07,6.681445403594089e-07
Income,-0.002655256999451811,0.002655256999451811
Income_statement,0.009971645439029208,0.009971645439029208
Innovation,0.02785777723397941,0.02785777723397941
Innovation_management,0.010726629305635423,0.010726629305635423
Invention,0.03049000927848958,0.03049000927848958
Investment,-0.04885673209207677,0.04885673209207677
Investment_banking,0.0011236053958053962,0.0011236053958053962
Investment_fund,-0.018082886372782093,0.018082886372782093
Investment_management,-0.039108198875370905,0.039108198875370905
Investor,-0.030517016109944766,0.030517016109944766
Job,-0.017995543459406627,0.017995543459406627
Laboratory,0.01724799819887435,0.01724799819887435
Law,0.00356125097060356,0.00356125097060356
Law_firm,-0.04438694680786811,0.04438694680786811
Loan,0.005905009715901734,0.005905009715901734
Manufacturing,0.014160487006179221,0.014160487006179221
Medicine,-0.010519349348289617,0.010519349348289617
Patent,0.05896633891199801,0.05896633891199801
Patent_application,0.0053856749081887334,0.0053856749081887334
Patent_infringement,-0.01851169759969799,0.01851169759969799
Patent_office,-0.031005512083010636,0.031005512083010636
Research_&_Experimentation_Tax_Credit,0.047228253175781,0.047228253175781
Research_and_Development_Tax_Credit,0.0021945838724218626,0.0021945838724218626
Salary,0.014231620454597799,0.014231620454597799
Scholarship,0.03564729206403771,0.03564729206403771
Semiconductor,0.026995918046562664,0.026995918046562664
Small_Business_Innovation_Research,0.015589168402672446,0.015589168402672446
Stock,0.007676137602177405,0.007676137602177405
Subsidy,0.05214848494222376,0.05214848494222376
Sustainability,-0.007262834447441857,0.007262834447441857
Tax,0.012392950543447608,0.012392950543447608
Tax_credit,-0.011177783242633986,0.011177783242633986
Tax_deduction,-0.02474296285012864,0.02474296285012864
Tax_incentive,0.009235380328295802,0.009235380328295802
Tax_report,-0.013902527186208857,0.013902527186208857
Technology,-0.018066344941087498,0.018066344941087498
Trademark,-0.01476965339739683,0.01476965339739683
Trademark_attorney,0.07431825765675831,0.07431825765675831
Wage,-0.037175032899213825,0.037175032899213825
