Year,monthly_sum,annual_GERD,difference
2004,374.897027723975,374.897027723975,0.0
2005,390.30649030440105,390.30649030440105,0.0
2006,408.147132274462,408.1471322744621,-5.684341886080802e-14
2007,427.7547035653421,427.754703565342,5.684341886080802e-14
2008,449.51044878233705,449.51044878233705,0.0
2009,445.321200828342,445.321200828342,0.0
2010,444.70858189046,444.70858189046,0.0
2011,455.525672908788,455.525672908788,0.0
2012,454.82040667889805,454.82040667889805,0.0
2013,468.27722417165006,468.27722417165,5.684341886080802e-14
2014,481.775482622067,481.77548262206693,5.684341886080802e-14
2015,507.401,507.401,0.0
2016,528.1717009030571,528.1717009030571,0.0
2017,549.63096952664,549.63096952664,0.0
2018,586.427345752008,586.427345752008,0.0
2019,631.845452979094,631.845452979094,0.0
2020,671.963268047983,671.963268047983,0.0
2021,709.712900312341,709.712900312341,0.0
