Model,rank,topic,elasticity,abs_elasticity
OLS,1,Patent,0.11301588376634693,0.11301588376634693
OLS,2,Business_loan,0.07454862942851466,0.07454862942851466
OLS,3,Scholarship,0.07246340541666987,0.07246340541666987
OLS,4,Investor,-0.05460813717713825,0.05460813717713825
OLS,5,Law_firm,-0.05282919470234379,0.05282919470234379
OLS,6,Law,-0.051561979492478656,0.051561979492478656
OLS,7,Technology,-0.051248681691994945,0.051248681691994945
OLS,8,Capitalization,0.04814770502822798,0.04814770502822798
OLS,9,Job,-0.0473444307487069,0.0473444307487069
OLS,10,Small_Business_Innovation_Research,-0.044306406864779546,0.044306406864779546
OLS,11,Wage,-0.03931135532571734,0.03931135532571734
OLS,12,Patent_office,-0.03814780162737098,0.03814780162737098
OLS,13,Data,0.03552667855017535,0.03552667855017535
OLS,14,Budget,-0.03458393546368146,0.03458393546368146
OLS,15,Patent_application,0.03428494932776738,0.03428494932776738
OLS,16,Investment_banking,-0.032249181214226055,0.032249181214226055
OLS,17,Subsidy,0.031152383928418338,0.031152383928418338
OLS,18,Investment_management,-0.029668446276457646,0.029668446276457646
OLS,19,Employment,0.029068872568280946,0.029068872568280946
OLS,20,Education,-0.02900277660481908,0.02900277660481908
Ridge,1,Patent,0.05989046276996957,0.05989046276996957
Ridge,2,Business_loan,0.056201599216405385,0.056201599216405385
Ridge,3,Subsidy,0.05080008920406146,0.05080008920406146
Ridge,4,Capitalization,0.045304425308714334,0.045304425308714334
Ridge,5,Job,-0.035436994610347716,0.035436994610347716
Ridge,6,Scholarship,0.03512132829245465,0.03512132829245465
Ridge,7,Law_firm,-0.03140979360576846,0.03140979360576846
Ridge,8,Investment_management,-0.0312344534802443,0.0312344534802443
Ridge,9,Investor,-0.029441325622842057,0.029441325622842057
Ridge,10,Wage,-0.027737883408019512,0.027737883408019512
Ridge,11,Laboratory,0.027379416887299998,0.027379416887299998
Ridge,12,Salary,0.024469693723289512,0.024469693723289512
Ridge,13,Trademark_attorney,0.02414978825841937,0.02414978825841937
Ridge,14,Investment_banking,-0.023862014307784632,0.023862014307784632
Ridge,15,Patent_office,-0.023721471746040973,0.023721471746040973
Ridge,16,Disease,0.023325377422841135,0.023325377422841135
Ridge,17,Economy,-0.022939953456783374,0.022939953456783374
Ridge,18,Investment,-0.022787639736597337,0.022787639736597337
Ridge,19,Research_&_Experimentation_Tax_Credit,0.02140925613397926,0.02140925613397926
Ridge,20,Budget,-0.021230019424330494,0.021230019424330494
Elastic Net,1,Patent,0.11438288271493648,0.11438288271493648
Elastic Net,2,Job,-0.05891300856074263,0.05891300856074263
Elastic Net,3,Capitalization,0.0523440554706417,0.0523440554706417
Elastic Net,4,Salary,0.05120322815663597,0.05120322815663597
Elastic Net,5,Investor,-0.05059124133640544,0.05059124133640544
Elastic Net,6,Law_firm,-0.04894800418500847,0.04894800418500847
Elastic Net,7,Disease,0.048670994596600285,0.048670994596600285
Elastic Net,8,Business_loan,0.03942249420195401,0.03942249420195401
Elastic Net,9,Innovation_management,0.03874440491440368,0.03874440491440368
Elastic Net,10,Technology,-0.03870609706436783,0.03870609706436783
Elastic Net,11,Scholarship,0.03826767453008798,0.03826767453008798
Elastic Net,12,Expense,-0.03794727673881458,0.03794727673881458
Elastic Net,13,Subsidy,0.03595222265312157,0.03595222265312157
Elastic Net,14,Investment_management,-0.03488354484921114,0.03488354484921114
Elastic Net,15,Energy,0.031222199028172314,0.031222199028172314
Elastic Net,16,Tax_incentive,0.029510059073069406,0.029510059073069406
Elastic Net,17,Budget,-0.027010364121512587,0.027010364121512587
Elastic Net,18,Tax_report,-0.026298096078589194,0.026298096078589194
Elastic Net,19,Career,0.024462322393939865,0.024462322393939865
Elastic Net,20,Patent_office,-0.023958846066343135,0.023958846066343135
