Year,Month,NN,Sax,Mosley,date,Ridge_positive,Ridge_signed,Quarter,quarter_date
2004,1,33.36443969373398,28.688237282898,32.9606514484556,2004-01-01,34.186538732761754,32.21431233360699,1,2004-01-01
2004,2,21.310975014733415,28.0386032639846,28.4558868950222,2004-02-01,32.98513730264354,19.228775708796835,1,2004-01-01
2004,3,18.620563197879193,30.0931395578973,30.2525550930859,2004-03-01,29.904498630901216,16.73358568971172,1,2004-01-01
2004,4,27.63117277898809,30.6333424335577,33.7808424765506,2004-04-01,34.83099881816594,29.002216399528137,2,2004-04-01
2004,5,24.862094985270193,33.0627543992953,31.6507212929523,2004-05-01,28.10751942530564,27.192385203876817,2,2004-04-01
2004,6,37.45558018833355,33.2544075087679,31.6587891196557,2004-06-01,29.83925352517788,32.50652754558036,2,2004-04-01
2004,7,44.69595580816899,36.4270251773139,32.9217596441761,2004-07-01,31.531828862982312,37.68702550278952,3,2004-07-01
2004,8,42.82892343654138,32.2225893089656,30.4018512590676,2004-08-01,31.37582644815215,39.72341818140466,3,2004-07-01
2004,9,28.85641915497542,27.5393104116167,32.6307118488807,2004-09-01,31.495276900371575,34.65636316245638,3,2004-07-01
2004,10,44.00645845137352,28.2327981289782,31.766303426661,2004-10-01,34.91421055869159,49.07175803008642,4,2004-10-01
2004,11,23.788569961450715,32.8381373540475,30.3444773786476,2004-11-01,29.32111288913366,29.092686274593103,4,2004-10-01
2004,12,27.47587505252655,33.8666828966522,28.0724778408197,2004-12-01,26.404825629687764,27.787973691544064,4,2004-10-01
2005,1,35.083209079371606,31.4615155398743,32.6671964988913,2005-01-01,34.57753472773194,29.32436562133357,1,2005-01-01
2005,2,21.755808430791426,30.4934522754843,32.544889218487,2005-02-01,34.59222861633915,17.673314714542986,1,2005-01-01
2005,3,38.62835531337435,33.6500493216966,35.7795726606667,2005-03-01,35.90930076169648,31.734651885425443,1,2005-01-01
2005,4,34.75707177630487,32.4918181436384,33.8750117317527,2005-04-01,35.34417848400212,27.20567287803028,2,2005-04-01
2005,5,19.911102541398147,35.1788021128944,29.6011765246062,2005-05-01,29.893162818704905,28.084198446102647,2,2005-04-01
2005,6,50.309445094998395,34.764156329613,33.2454243669526,2005-06-01,33.81551082462059,46.71700237206538,2,2005-04-01
2005,7,26.029080669355334,35.9844842594659,30.0612715531735,2005-07-01,28.143182004356387,26.04730766485744,3,2005-07-01
2005,8,34.75425084073179,32.2556477236717,34.9235512406195,2005-08-01,33.64184351776106,42.04084625664672,3,2005-07-01
2005,9,37.53994867058343,29.6351244067091,34.2360364309853,2005-09-01,33.18294610878178,39.64713342710095,3,2005-07-01
2005,10,34.03984092331919,29.2210080367915,30.9919574982107,2005-10-01,32.63516577194776,39.60450298888875,4,2005-10-01
2005,11,26.152529651265223,32.055035311153,31.8481434937687,2005-11-01,30.699593105959337,31.39941647760763,4,2005-10-01
2005,12,31.345847312907264,33.1153968434087,30.532259086287,2005-12-01,27.87184356249951,30.82807757179928,4,2005-10-01
2006,1,22.654134968797557,35.30346727897,35.013139522378,2006-01-01,34.73309511137061,23.486388890173014,1,2006-01-01
2006,2,38.12363121570647,35.0798265185375,34.8342699673328,2006-02-01,38.823139156509455,32.5275661881393,1,2006-01-01
