Year,Quarter,quarter_date,NN,Ridge_signed,Ridge_positive,Mosley,Sax,quarter_label
2004,1,2004-01-01,73.2959779063466,68.17667373211555,97.07617466630651,91.6690934365637,86.8199801047799,2004Q1
2004,2,2004-04-01,89.94884795259183,88.70112914898532,92.77777176864946,97.09035288915861,96.9505043416209,2004Q2
2004,3,2004-07-01,116.38129839968579,112.06680684665056,94.40293221150604,95.9543227521244,96.1889248978962,2004Q3
2004,4,2004-10-01,95.27090346535078,105.95241799622359,90.64014907751302,90.18325864612831,94.9376183796779,2004Q4
2005,1,2005-01-01,95.46737282353737,78.732332221302,105.07906410576757,100.991658378045,95.6050171370552,2005Q1
2005,2,2005-04-01,104.97761941270142,102.00687369619831,99.05285212732761,96.7216126233115,102.4347765861458,2005Q2
2005,3,2005-07-01,98.32328018067057,107.73528734860511,94.96797163089923,99.22085922477831,97.8752563898467,2005Q3
2005,4,2005-10-01,91.53821788749167,101.83199703829565,91.20660244040661,93.3723600782664,94.39144019135321,2005Q4
2006,1,2006-01-01,85.55021128083449,81.50509535933274,109.85783410416757,108.4467670129037,107.36377865877759,2006Q1
2006,2,2006-04-01,103.41895163567739,101.57660607173455,103.5511978784125,104.3436785180136,100.59266657327419,2006Q2
2006,3,2006-07-01,120.6918126329555,123.50091759586019,97.9134007613012,95.5716379742217,103.54215760538821,2006Q3
2006,4,2006-10-01,98.48615672499469,101.56451324753463,96.82469953058086,99.7850487693229,96.64852943702189,2006Q4
2007,1,2007-01-01,84.63531271782587,74.56739017351958,108.53615264880023,108.4142726601651,108.0747882938563,2007Q1
2007,2,2007-04-01,119.56716110035262,111.48524157192382,109.84054661537849,107.9895721598044,109.2464917304979,2007Q2
2007,3,2007-07-01,122.08231834993019,127.30476428360257,105.26089083000232,108.0069728841386,108.3619563580267,2007Q3
2007,4,2007-10-01,101.46991139723339,114.39730753629604,104.11711347116098,103.3438858612339,102.0714671829611,2007Q4
2008,1,2008-01-01,107.46044069841409,94.04707528314069,117.99882499734508,113.0622706238587,113.2242212317435,2008Q1
2008,2,2008-04-01,119.33524622902684,136.6978770474793,118.29981003673461,114.2743470108194,114.0577320594879,2008Q2
2008,3,2008-07-01,121.69784232751499,116.93019100578779,108.11486237888823,110.27134903068969,111.9008691052438,2008Q3
2008,4,2008-10-01,101.01691952738113,101.8353054459293,105.09695136936908,111.9024821169693,110.3276263858618,2008Q4
2009,1,2009-01-01,97.49522427109885,81.0821355560068,115.89061390946469,111.1757818764285,107.21491916848959,2009Q1
2009,2,2009-04-01,116.01420775186327,113.7431835952917,112.4066926474088,113.7444504212043,116.20823475962129,2009Q2
2009,3,2009-07-01,122.93730171783011,122.01606341711596,107.25980583070694,111.3216446590269,115.6075330561483,2009Q3
2009,4,2009-10-01,108.87446708754979,128.47981825992758,109.76408844076155,109.07932387168239,106.2905138440828,2009Q4
2010,1,2010-01-01,98.2493603833698,95.15994206801065,123.92214881018033,118.916080937513,110.5281864060297,2010Q1
2010,2,2010-04-01,123.14224783397177,115.87679150409879,117.83256159906686,117.7054098120919,115.8738629875332,2010Q2
2010,3,2010-07-01,116.94055020664905,117.684355633258,101.72450738340285,105.88163152616809,115.9039465175583,2010Q3
2010,4,2010-10-01,106.37642346646935,115.98749268509258,101.22936409780995,102.2054596146871,102.40258597933891,2010Q4
2011,1,2011-01-01,108.54823771942576,82.9437053957781,122.58754892184265,121.422864814303,115.0161190191394,2011Q1
