topic,elasticity,abs_elasticity
Budget,-0.002353521627347016,0.002353521627347016
Business,0.002443581572507632,0.002443581572507632
Business_loan,0.0752239956801924,0.0752239956801924
Business_model,-0.037388387030119076,0.037388387030119076
Capitalization,0.0304642290432437,0.0304642290432437
Career,0.025352277700595654,0.025352277700595654
Collaboration,0.008573704616136433,0.008573704616136433
Cost,0.006303271854403281,0.006303271854403281
Credit,0.006954937110702262,0.006954937110702262
Data,0.033846039802155954,0.033846039802155954
Disease,0.01584631116734411,0.01584631116734411
Economy,-0.028871878530277034,0.028871878530277034
Education,-0.04132299121162149,0.04132299121162149
Employment,0.007328456752617093,0.007328456752617093
Energy,0.0360129991363538,0.0360129991363538
Entrepreneurship,-0.01524192193803039,0.01524192193803039
Expense,-0.010927636740095462,0.010927636740095462
Health,-9.226528132952421e-07,9.226528132952421e-07
Income,-0.005666002747459379,0.005666002747459379
Income_statement,0.01006513986504921,0.01006513986504921
Innovation,0.026398980419369486,0.026398980419369486
Innovation_management,0.014355929120971772,0.014355929120971772
Invention,0.026351183853084836,0.026351183853084836
Investment,-0.04681000729096541,0.04681000729096541
Investment_banking,0.0017084455518049473,0.0017084455518049473
Investment_fund,-0.016578235955748002,0.016578235955748002
Investment_management,-0.03886215057226853,0.03886215057226853
Investor,-0.02652784901413574,0.02652784901413574
Job,-0.015967590270138637,0.015967590270138637
Laboratory,0.014644324830876444,0.014644324830876444
Law,0.0033511245765722834,0.0033511245765722834
Law_firm,-0.0400742079567949,0.0400742079567949
Loan,0.006693953821107444,0.006693953821107444
Manufacturing,0.014038690219329424,0.014038690219329424
Medicine,-0.011312639650590069,0.011312639650590069
Patent,0.05597971870187358,0.05597971870187358
Patent_application,0.004583237204508113,0.004583237204508113
Patent_infringement,-0.017073987592743943,0.017073987592743943
Patent_office,-0.027223625398307236,0.027223625398307236
Research_&_Experimentation_Tax_Credit,0.04703785466375974,0.04703785466375974
Research_and_Development_Tax_Credit,0.00223645412310414,0.00223645412310414
Salary,0.01590870422007917,0.01590870422007917
Scholarship,0.03332981817439157,0.03332981817439157
Semiconductor,0.022463452093413928,0.022463452093413928
Small_Business_Innovation_Research,0.017355616401879298,0.017355616401879298
Stock,0.0090614673478321,0.0090614673478321
Subsidy,0.05279472358473921,0.05279472358473921
Sustainability,-0.007383652470882179,0.007383652470882179
Tax,0.013286845829506108,0.013286845829506108
Tax_credit,-0.012199609520471189,0.012199609520471189
Tax_deduction,-0.02390015762462033,0.02390015762462033
Tax_incentive,0.008038515312088108,0.008038515312088108
Tax_report,-0.01555763257785024,0.01555763257785024
Technology,-0.015130815132117231,0.015130815132117231
Trademark,-0.016526890171854793,0.016526890171854793
Trademark_attorney,0.06803982334593196,0.06803982334593196
Wage,-0.03188584632887594,0.03188584632887594
