Lag,Correlation,P_Value,N
-12,-0.05510786805596615,0.4958388363984326,155
-11,-0.03545992966735382,0.6603205422549473,156
-10,-0.016112896135681065,0.8412509240046495,157
-9,0.24724254676099683,0.0017368832944133442,158
-8,0.10842959944316799,0.17368060393966273,159
-7,-0.18111586961920847,0.021906746672967888,160
-6,-0.16419234172583866,0.037408227284079956,161
-5,-0.12991908258875126,0.09939648069068255,162
-4,0.10037454452321963,0.20236010849539882,163
-3,-0.018941841728822805,0.8097565350206561,164
-2,0.05860566178685598,0.45462706700582806,165
-1,0.061454351625316164,0.43154841559477686,166
0,-0.034993104614849606,0.6534665782718556,167
1,-0.0604646627104928,0.4390168735853185,166
2,0.05356675455982192,0.4943937378881878,165
3,0.2370574879775593,0.002240998039443686,164
4,0.11164741567731279,0.15593137941216048,163
5,-0.1563619719848909,0.04692338263475441,162
6,-0.15727740544834196,0.04631675561933867,161
7,-0.0625987996493201,0.4316435195923201,160
8,0.07576648504469706,0.34251579882247024,159
9,-0.06978420235280004,0.3836059000769525,158
10,0.05693253612598661,0.4787982088817015,157
11,0.05145625826410104,0.5235111511683646,156
12,0.028306239147186614,0.7266184233105843,155
