Year,Quarter,NN,Sax,Mosley
2004,1,73.2959779063466,86.8199801047799,91.6690934365637
2004,2,89.94884795259185,96.9505043416209,97.09035288915861
2004,3,116.38129839968579,96.1889248978962,95.9543227521244
2004,4,95.27090346535078,94.9376183796779,90.18325864612831
2005,1,95.46737282353737,95.6050171370552,100.991658378045
2005,2,104.97761941270142,102.4347765861458,96.7216126233115
2005,3,98.32328018067057,97.8752563898467,99.22085922477831
2005,4,91.53821788749168,94.39144019135321,93.3723600782664
2006,1,85.55021128083449,107.36377865877759,108.4467670129037
2006,2,103.41895163567739,100.59266657327419,104.3436785180136
2006,3,120.6918126329555,103.54215760538821,95.5716379742217
2006,4,98.48615672499469,96.64852943702189,99.7850487693229
2007,1,84.63531271782587,108.0747882938563,108.4142726601651
2007,2,119.56716110035262,109.2464917304979,107.9895721598044
2007,3,122.08231834993019,108.3619563580267,108.0069728841386
2007,4,101.46991139723339,102.0714671829611,103.3438858612339
2008,1,107.46044069841409,113.2242212317435,113.0622706238587
2008,2,119.33524622902684,114.0577320594879,114.2743470108194
2008,3,121.69784232751499,111.9008691052438,110.27134903068969
2008,4,101.01691952738113,110.3276263858618,111.9024821169693
2009,1,97.49522427109886,107.21491916848959,111.1757818764285
2009,2,116.01420775186327,116.20823475962129,113.7444504212043
2009,3,122.93730171783011,115.6075330561483,111.3216446590269
2009,4,108.87446708754979,106.2905138440828,109.07932387168239
2010,1,98.2493603833698,110.5281864060297,118.916080937513
2010,2,123.14224783397177,115.8738629875332,117.7054098120919
2010,3,116.94055020664905,115.9039465175583,105.88163152616809
2010,4,106.37642346646935,102.40258597933891,102.2054596146871
2011,1,108.54823771942576,115.0161190191394,121.422864814303
2011,2,122.06226778130787,115.22915787175461,117.5825537771089
2011,3,128.7843595383347,118.36179919730739,111.037950103164
2011,4,96.13080786971969,106.9185968205867,105.48230421421209
2012,1,102.37600671205904,114.1781341426899,120.8414365427479
2012,2,120.36362984222158,121.6159108453849,118.7953771765898
2012,3,123.17657857027098,116.071373415346,111.83713511492451
2012,4,108.90419155434645,102.9549882754773,103.34645784463581
2013,1,111.49819232560087,116.0651204089573,117.60281641378131
2013,2,113.02294086594448,122.8793814750947,119.9095731943094
2013,3,122.60815255187902,123.06176659624879,116.876916358999
2013,4,121.1479384282257,106.2709556913494,113.8879182045603
2014,1,118.21351458044117,116.6902372405562,125.0390825301582
2014,2,130.89510615279153,127.671990058146,121.9166906711213
2014,3,123.3454889191814,128.366425169051,123.33707706909121
2014,4,109.32137296965283,109.0468301543137,111.4826323516964
2015,1,116.17719934552528,126.2209114764496,125.712452146634
2015,2,133.4349356220892,135.2921168924376,132.75098052350188
2015,3,135.3733402975566,132.0931656822139,128.5533855515188
2015,4,122.4155247348289,113.79480594889901,120.3841817783453
2016,1,125.7930827390726,127.7540035619445,138.0630224562127
2016,2,133.60389694485767,137.2703923847404,139.4595801741851
2016,3,134.67777288996967,138.8871921514901,133.5500926566998
2016,4,134.0969483291571,124.260112804882,117.0990056159594
2017,1,111.46282918162301,131.9440748022476,129.56063383929632
2017,2,160.8533578815343,148.3798931608907,147.1326423033096
2017,3,135.5174536185479,147.0194666249639,135.274708252228
2017,4,141.79732884493484,122.287534938538,137.6629851318061
2018,1,136.76392456710954,137.7115978971328,150.9880474827898
2018,2,140.24852692564852,162.2651322601449,148.1230816495413
2018,3,135.58056788781312,149.5181884393935,143.3123213275501
2018,4,173.8343263714368,136.9324271553366,144.0038952921269
2019,1,135.70422289082333,144.1581354199605,162.46495513760618
2019,2,141.10874922067882,164.736842484032,165.4182566624957
2019,3,176.55358815068402,172.5055860170183,154.877746333319
2019,4,178.47889271690786,150.4448890580831,149.0844948456733
2020,1,160.89039654482383,170.8781973058055,172.1131211118527
2020,2,176.08202527539495,159.6166612901633,167.36352072670928
2020,3,184.2750902149056,167.60945379818,174.69469462155558
2020,4,150.71575601285863,173.8589556538343,157.7919315878654
2021,1,173.49612801253892,174.2595355959625,196.2679573462649
2021,2,174.31448666622697,183.5739180762621,175.61224405907092
2021,3,191.73706439268634,183.3393399565696,171.7574524845429
2021,4,170.16522124088885,168.5401066835468,166.07524642246238
