split,rank,topic,elasticity,abs_elasticity
temporal,1,Subsidy,0.06004256867037585,0.06004256867037585
temporal,2,Business_loan,0.043064868853762824,0.043064868853762824
temporal,3,Trademark_attorney,0.0430614387746008,0.0430614387746008
temporal,4,Research_&_Experimentation_Tax_Credit,0.04095169485061443,0.04095169485061443
temporal,5,Patent_infringement,0.02473306951624174,0.02473306951624174
temporal,6,Capitalization,0.02422819142346735,0.02422819142346735
temporal,7,Small_Business_Innovation_Research,0.023165000267302505,0.023165000267302505
temporal,8,Salary,0.0216424728633321,0.0216424728633321
temporal,9,Education,-0.020847889403733156,0.020847889403733156
temporal,10,Career,-0.0202882456029314,0.0202882456029314
temporal,11,Law_firm,-0.017120076239941162,0.017120076239941162
temporal,12,Patent_application,0.015493025735297592,0.015493025735297592
temporal,13,Investment,-0.015198175539851026,0.015198175539851026
temporal,14,Patent_office,-0.0132366803988306,0.0132366803988306
temporal,15,Investment_management,-0.012749592091905473,0.012749592091905473
random,1,Business_loan,0.0752239956801924,0.0752239956801924
random,2,Trademark_attorney,0.06803982334593196,0.06803982334593196
random,3,Patent,0.05597971870187358,0.05597971870187358
random,4,Subsidy,0.05279472358473921,0.05279472358473921
random,5,Research_&_Experimentation_Tax_Credit,0.04703785466375974,0.04703785466375974
random,6,Investment,-0.04681000729096541,0.04681000729096541
random,7,Education,-0.04132299121162149,0.04132299121162149
random,8,Law_firm,-0.0400742079567949,0.0400742079567949
random,9,Investment_management,-0.03886215057226853,0.03886215057226853
random,10,Business_model,-0.037388387030119076,0.037388387030119076
random,11,Energy,0.0360129991363538,0.0360129991363538
random,12,Data,0.033846039802155954,0.033846039802155954
random,13,Scholarship,0.03332981817439157,0.03332981817439157
random,14,Wage,-0.03188584632887594,0.03188584632887594
random,15,Capitalization,0.0304642290432437,0.0304642290432437
alldata,1,Business_loan,0.0820918249744123,0.0820918249744123
alldata,2,Trademark_attorney,0.07431825765675831,0.07431825765675831
alldata,3,Patent,0.05896633891199801,0.05896633891199801
alldata,4,Subsidy,0.05214848494222376,0.05214848494222376
alldata,5,Investment,-0.04885673209207677,0.04885673209207677
alldata,6,Education,-0.04738326950204865,0.04738326950204865
alldata,7,Research_&_Experimentation_Tax_Credit,0.047228253175781,0.047228253175781
alldata,8,Law_firm,-0.04438694680786811,0.04438694680786811
alldata,9,Business_model,-0.04277064694604241,0.04277064694604241
alldata,10,Investment_management,-0.039108198875370905,0.039108198875370905
alldata,11,Data,0.037851355375054165,0.037851355375054165
alldata,12,Wage,-0.037175032899213825,0.037175032899213825
alldata,13,Scholarship,0.03564729206403771,0.03564729206403771
alldata,14,Energy,0.034762241359904716,0.034762241359904716
alldata,15,Capitalization,0.03289028814338307,0.03289028814338307
