split,seed,epoch,val_MAPE
temporal,0,1,73.09394498083564
temporal,0,2,54.197690978132975
temporal,0,3,38.182571441584784
temporal,0,4,38.75458911987235
temporal,0,5,32.374463692214036
temporal,0,6,42.527832865906745
temporal,0,7,39.83228447725952
temporal,0,8,37.35601786415545
temporal,0,9,35.06686502722389
temporal,0,10,29.17408314155658
temporal,0,11,36.273848491886376
temporal,0,12,35.69731541077361
temporal,0,13,33.213815908291735
temporal,0,14,32.324055997976416
temporal,0,15,35.21912242924912
temporal,0,16,38.413766099653664
temporal,0,17,38.416945375213764
temporal,0,18,37.12630157926099
temporal,0,19,45.27736343085185
temporal,0,20,44.931987770379614
temporal,0,21,44.916215290843
temporal,0,22,39.67438650862255
temporal,0,23,39.938479152785185
temporal,0,24,34.72644491847193
temporal,0,25,33.85283761416497
temporal,0,26,36.22611906436925
temporal,0,27,37.44878873876515
temporal,0,28,33.66226902009714
temporal,0,29,32.78715095071756
temporal,0,30,28.77280418604679
temporal,0,31,36.20861185362707
temporal,0,32,37.920577121154885
temporal,0,33,33.990943758068376
temporal,0,34,32.39017422700985
temporal,0,35,33.05733256171507
temporal,0,36,37.4894589135185
temporal,0,37,38.530113382411024
temporal,0,38,31.44034349016311
temporal,0,39,34.80239474181004
temporal,0,40,43.5233556584705
temporal,0,41,32.331307460031496
temporal,0,42,33.13352408999602
temporal,0,43,44.19313591888102
temporal,0,44,35.442558692907184
temporal,0,45,36.23244423866822
temporal,0,46,35.60827141399485
temporal,0,47,35.14229821945911
temporal,0,48,37.475228632058894
temporal,0,49,35.79814219741787
temporal,0,50,33.20245633363677
temporal,0,51,32.030945711948135
temporal,0,52,38.87460787144095
temporal,0,53,32.46658222915796
temporal,0,54,38.10971350416519
temporal,0,55,34.06689963713459
temporal,0,56,41.02501045411545
temporal,0,57,30.81593732381103
temporal,0,58,35.32182832987612
temporal,0,59,40.163768919555395
temporal,0,60,33.18357961882684
temporal,0,61,40.00001400092199
temporal,0,62,33.798053971085544
temporal,0,63,44.17757776460207
temporal,0,64,33.14377245756641
