estimator,lag,correlation,p_value,N
fixed_1pct,-12,-0.05500714255683055,0.4966280047467734,155
fixed_1pct,-11,-0.03543839557804224,0.6605140144628614,156
fixed_1pct,-10,-0.01611312901223254,0.8412486598593993,157
fixed_1pct,-9,0.24724077712080234,0.001737020183089936,158
fixed_1pct,-8,0.10840453259921799,0.17378068034300173,159
fixed_1pct,-7,-0.18119089757540985,0.021851092788604205,160
fixed_1pct,-6,-0.16423259261282314,0.03736093505443033,161
fixed_1pct,-5,-0.12984732774486626,0.09958504087258212,162
fixed_1pct,-4,0.10040365200936581,0.20222859753639316,163
fixed_1pct,-3,-0.01897042092141038,0.8094749623493614,164
fixed_1pct,-2,0.05853885235082308,0.4551423660560166,165
fixed_1pct,-1,0.061478168530516325,0.4313695906510176,166
fixed_1pct,0,-0.034905204309021436,0.6542808230259154,167
fixed_1pct,1,-0.06044699478144518,0.43915086540312814,166
fixed_1pct,2,0.05355425082872339,0.49449465632823697,165
fixed_1pct,3,0.23705554680340854,0.002241190634260842,164
fixed_1pct,4,0.11160784603653372,0.15607898866974235,163
fixed_1pct,5,-0.15641870353734688,0.046842551229305106,162
fixed_1pct,6,-0.15732065621306404,0.04625597045667483,161
fixed_1pct,7,-0.06252756814914086,0.43216881253903705,160
fixed_1pct,8,0.07579632703084019,0.34232517461666906,159
fixed_1pct,9,-0.06981653857015865,0.38338501245990575,158
fixed_1pct,10,0.05686290917391235,0.47933703932727095,157
fixed_1pct,11,0.05148888482285911,0.5232475164076306,156
fixed_1pct,12,0.028386415444217113,0.7258749507891632,155
normal_mean,-12,-0.055071461649417,0.49612399833532655,155
normal_mean,-11,-0.03545192954440108,0.6603924164317548,156
normal_mean,-10,-0.016113108548503785,0.8412488588182104,157
normal_mean,-9,0.2472421192723736,0.001736916361451229,158
normal_mean,-8,0.10842001032061473,0.1737188823369792,159
normal_mean,-7,-0.1811437238296216,0.021886070867212854,160
normal_mean,-6,-0.16420766284527105,0.037390219998711005,161
normal_mean,-5,-0.12989227927249736,0.09946688244889312,162
normal_mean,-4,0.10038531534913409,0.20231143747505753,163
normal_mean,-3,-0.018952033243788483,0.8096561216822651,164
normal_mean,-2,0.058580938809850755,0.45481771656804737,165
normal_mean,-1,0.06146356181803089,0.43147925747325416,166
normal_mean,0,-0.034961456116960984,0.6537596999937378,167
normal_mean,1,-0.060457847197306784,0.43906855900292335,166
normal_mean,2,0.05356228420906046,0.49442981713130435,165
normal_mean,3,0.23705681680913473,0.0022410646281427575,164
normal_mean,4,0.111632517360893,0.15598694326945195,163
normal_mean,5,-0.15638294482755435,0.0468934868881437,162
normal_mean,6,-0.15729337689257594,0.04629430139990551,161
normal_mean,7,-0.06257232073665787,0.4318387441265372,160
normal_mean,8,0.07577764071435233,0.34244453093217264,159
normal_mean,9,-0.06979545202334815,0.3835290452027256,158
normal_mean,10,0.056906824806517285,0.478997145994888,157
normal_mean,11,0.05146854544665258,0.5234118582310712,156
normal_mean,12,0.028335191080513567,0.726349923404427,155
