draw,delta,Year,Month,NN,Sax,Mosley,date
1,0.0028267765067750096,2004,1,33.3652814214024,28.688237282898,32.9606514484556,2004-01-01
1,0.0028267765067750096,2004,2,21.32129719589265,28.0386032639846,28.4558868950222,2004-02-01
1,0.0028267765067750096,2004,3,18.63054963357076,30.0931395578973,30.2525550930859,2004-03-01
1,0.0028267765067750096,2004,4,27.637372664858066,30.6333424335577,33.7808424765506,2004-04-01
1,0.0028267765067750096,2004,5,24.864334247543972,33.0627543992953,31.6507212929523,2004-05-01
1,0.0028267765067750096,2004,6,37.4488775113827,33.2544075087679,31.6587891196557,2004-06-01
1,0.0028267765067750096,2004,7,44.684321024104385,36.4270251773139,32.9217596441761,2004-07-01
1,0.0028267765067750096,2004,8,42.81842489336418,32.2225893089656,30.4018512590676,2004-08-01
1,0.0028267765067750096,2004,9,28.85776957596273,27.5393104116167,32.6307118488807,2004-09-01
1,0.0028267765067750096,2004,10,44.00162939762699,28.2327981289782,31.766303426661,2004-10-01
1,0.0028267765067750096,2004,11,23.79287788471518,32.8381373540475,30.3444773786476,2004-11-01
1,0.0028267765067750096,2004,12,27.47429227355094,33.8666828966522,28.0724778408197,2004-12-01
1,0.0028267765067750096,2005,1,35.08310832248035,31.4615155398743,32.6671964988913,2005-01-01
1,0.0028267765067750096,2005,2,21.76772351094746,30.4934522754843,32.544889218487,2005-02-01
1,0.0028267765067750096,2005,3,38.626448161169755,33.6500493216966,35.7795726606667,2005-03-01
1,0.0028267765067750096,2005,4,34.75830891195372,32.4918181436384,33.8750117317527,2005-04-01
1,0.0028267765067750096,2005,5,19.91848686226749,35.1788021128944,29.6011765246062,2005-05-01
1,0.0028267765067750096,2005,6,50.294324222628376,34.764156329613,33.2454243669526,2005-06-01
1,0.0028267765067750096,2005,7,26.030501940583687,35.9844842594659,30.0612715531735,2005-07-01
1,0.0028267765067750096,2005,8,34.75672685628889,32.2556477236717,34.9235512406195,2005-08-01
