topic,elasticity
Budget,0.0006428558908057082
Business,-0.002696504335303332
Business_loan,0.043064560456104996
Business_model,0.008475768568210213
Capitalization,0.0242278324974483
Career,-0.020288589576976834
Collaboration,-0.002364888989316808
Cost,-0.004502842152709079
Credit,0.010562424539584343
Data,-0.000568643615895462
Disease,0.005709784499521586
Economy,-0.012744821374365603
Education,-0.02084813320692526
Employment,0.011136504843686985
Energy,-0.0006758638646433569
Entrepreneurship,-0.007053967448014107
Expense,-0.00038467763579291245
Health,6.136808462945933e-07
Income,-0.009947114510076762
Income_statement,0.009352158465477921
Innovation,0.00525812690054403
Innovation_management,0.012558150376055571
Invention,0.007388495456400245
Investment,-0.015198478946400045
Investment_banking,-0.0029310288715470984
Investment_fund,-0.008543982909849396
Investment_management,-0.012750017458993857
Investor,-0.003834762409743593
Job,-0.00014035150580632023
Laboratory,-0.00595949053188945
Law,0.003666203296293486
Law_firm,-0.017120641069885128
Loan,0.00078952986488799
Manufacturing,-0.009181214781765852
Medicine,-0.005031707815172506
Patent,-0.0027093433665009866
Patent_application,0.015492562602551089
Patent_infringement,0.024732617382794503
Patent_office,-0.013237051290967564
Research_&_Experimentation_Tax_Credit,0.04095124204403861
Research_and_Development_Tax_Credit,-0.0029872901520891816
Salary,0.021642233045656222
Scholarship,-0.0031213449199515527
Semiconductor,0.0014922070581163613
Small_Business_Innovation_Research,0.023164562570079966
Stock,0.005799930602460287
Subsidy,0.06004243620467156
Sustainability,-0.012704318400320653
Tax,0.011075943394253369
Tax_credit,-0.011316255281016275
Tax_deduction,-0.004875870989382817
Tax_incentive,0.004914580858863191
Tax_report,-0.006218541547035314
Technology,-0.00801146300853752
Trademark,-0.006884632548518919
Trademark_attorney,0.04306120208272418
Wage,0.009597591148300999
