,gdp_per_capita
1929-12-31,1110.206
1930-12-31,1015.751
1931-12-31,950.686
1932-12-31,828.061
1933-12-31,817.824
1934-12-31,906.213
1935-12-31,986.905
1936-12-31,1114.052
1937-12-31,1171.144
1938-12-31,1132.338
1939-12-31,1223.21
1940-12-31,1331.06
1941-12-31,1566.848
1942-12-31,1862.772
1943-12-31,2179.879
1944-12-31,2353.234
1945-12-31,2330.217
1946-12-31,2059.782
1947-12-31,2036.204
1948-12-31,2119.959
1949-12-31,2107.999
1950-12-31,2291.111
1951-12-31,2475.449
1952-12-31,2576.658
1953-12-31,2697.456
1954-12-31,2681.854
1955-12-31,2873.16
1956-12-31,2934.391
1957-12-31,2996.178
1958-12-31,2973.982
1959-12-31,3180.22
1960-12-31,3262.061
1961-12-31,3345.69
1962-12-31,3550.684
1963-12-31,3705.318
1964-12-31,3918.791
1965-12-31,4173.424
1966-12-31,4448.703
1967-12-31,4570.709
1968-12-31,4795.387
1969-12-31,4945.235
1970-12-31,4954.436
1971-12-31,5117.603
1972-12-31,5386.733
1973-12-31,5690.853
1974-12-31,5660.091
1975-12-31,5648.462
1976-12-31,5952.809
1977-12-31,6228.076
1978-12-31,6572.819
1979-12-31,6780.924
1980-12-31,6763.514
1981-12-31,6935.153
1982-12-31,6810.12
1983-12-31,7122.29
1984-12-31,7637.704
1985-12-31,7956.17
1986-12-31,8231.664
1987-12-31,8516.418
1988-12-31,8872.154
1989-12-31,9197.997
1990-12-31,9371.468
1991-12-31,9361.322
1992-12-31,9691.069
1993-12-31,9957.746
1994-12-31,10358.923
1995-12-31,10636.979
1996-12-31,11038.266
1997-12-31,11529.157
1998-12-31,12045.824
1999-12-31,12623.361
2000-12-31,13138.035
2001-12-31,13263.417
2002-12-31,13488.357
2003-12-31,13865.519
2004-12-31,14399.696
2005-12-31,14901.269
2006-12-31,15315.943
2007-12-31,15623.871
2008-12-31,15642.962
2009-12-31,15236.262
2010-12-31,15648.991
2011-12-31,15891.534
2012-12-31,16253.97
2013-12-31,16553.348
2014-12-31,16932.051
2015-12-31,17390.295
2016-12-31,17680.274
2017-12-31,18076.651
2018-12-31,18609.078
2019-12-31,19036.052
2020-12-31,18509.143
2021-12-31,19609.812
2022-12-31,20014.128
