DATE,GDP
1/1/47,2182.681
4/1/47,2176.892
7/1/47,2172.432
10/1/47,2206.452
1/1/48,2239.682
4/1/48,2276.69
7/1/48,2289.77
10/1/48,2292.364
1/1/49,2260.807
4/1/49,2253.128
7/1/49,2276.424
10/1/49,2257.352
1/1/50,2346.104
4/1/50,2417.682
7/1/50,2511.127
10/1/50,2559.214
1/1/51,2593.967
4/1/51,2638.898
7/1/51,2693.259
10/1/51,2699.156
1/1/52,2727.954
4/1/52,2733.8
7/1/52,2753.517
10/1/52,2843.941
1/1/53,2896.811
4/1/53,2919.206
7/1/53,2902.785
10/1/53,2858.845
1/1/54,2845.192
4/1/54,2848.305
7/1/54,2880.482
10/1/54,2936.852
1/1/55,3020.746
4/1/55,3069.91
7/1/55,3111.379
10/1/55,3130.068
1/1/56,3117.922
4/1/56,3143.694
7/1/56,3140.874
10/1/56,3192.57
1/1/57,3213.011
4/1/57,3205.97
7/1/57,3237.386
10/1/57,3203.894
1/1/58,3120.724
4/1/58,3141.224
7/1/58,3213.884
10/1/58,3289.032
1/1/59,3352.129
4/1/59,3427.667
7/1/59,3430.057
10/1/59,3439.832
1/1/60,3517.181
4/1/60,3498.246
7/1/60,3515.385
10/1/60,3470.278
1/1/61,3493.703
4/1/61,3553.021
7/1/61,3621.252
10/1/61,3692.289
1/1/62,3758.147
4/1/62,3792.149
7/1/62,3838.776
10/1/62,3851.421
1/1/63,3893.482
4/1/63,3937.183
7/1/63,4023.755
10/1/63,4050.147
1/1/64,4135.553
4/1/64,4180.592
7/1/64,4245.918
10/1/64,4259.046
1/1/65,4362.111
4/1/65,4417.225
7/1/65,4515.427
10/1/65,4619.458
1/1/66,4731.888
4/1/66,4748.046
7/1/66,4788.254
10/1/66,4827.537
1/1/67,4870.299
4/1/67,4873.287
7/1/67,4919.392
10/1/67,4956.477
1/1/68,5057.553
4/1/68,5142.033
7/1/68,5181.859
10/1/68,5202.212
1/1/69,5283.597
4/1/69,5299.625
7/1/69,5334.6
10/1/69,5308.556
1/1/70,5300.652
