"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDEXPRD","TOT","MLN_USD","A","1981",3528.48030733419,
"AUS","GDEXPRD","TOT","MLN_USD","A","1984",4306.08808524387,
"AUS","GDEXPRD","TOT","MLN_USD","A","1986",5287.29705661648,
"AUS","GDEXPRD","TOT","MLN_USD","A","1987",5396.35199891417,
"AUS","GDEXPRD","TOT","MLN_USD","A","1988",5733.00771614531,
"AUS","GDEXPRD","TOT","MLN_USD","A","1990",6404.71206951182,
"AUS","GDEXPRD","TOT","MLN_USD","A","1992",7768.04767935011,
"AUS","GDEXPRD","TOT","MLN_USD","A","1994",8659.21765085622,
"AUS","GDEXPRD","TOT","MLN_USD","A","1996",9802.09466296784,
"AUS","GDEXPRD","TOT","MLN_USD","A","1998",9778.78851879929,
"AUS","GDEXPRD","TOT","MLN_USD","A","2000",10645.325454765,
"AUS","GDEXPRD","TOT","MLN_USD","A","2002",12749.2982354658,
"AUS","GDEXPRD","TOT","MLN_USD","A","2004",14376.7290155599,
"AUS","GDEXPRD","TOT","MLN_USD","A","2006",17766.8299065731,
"AUS","GDEXPRD","TOT","MLN_USD","A","2008",21018.0736819903,
"AUS","GDEXPRD","TOT","MLN_USD","A","2010",21366.6816443911,
"AUS","GDEXPRD","TOT","MLN_USD","A","2011",21522.601176338,
"AUS","GDEXPRD","TOT","MLN_USD","A","2013",22441.0692242811,
"AUS","GDEXPRD","TOT","MLN_USD","A","2015",21157.0766472118,
"AUS","GDEXPRD","TOT","MLN_USD","A","2017",21236.8733829169,
"AUS","GDEXPRD","TOT","MLN_USD","A","2019",21738.7368023472,
"AUS","GDEXPRD","TOT","PC_GDP","A","1981",0.90130561368392,
"AUS","GDEXPRD","TOT","PC_GDP","A","1984",1.02164829378493,
"AUS","GDEXPRD","TOT","PC_GDP","A","1986",1.1764808593559,
"AUS","GDEXPRD","TOT","PC_GDP","A","1987",1.13537911698555,
"AUS","GDEXPRD","TOT","PC_GDP","A","1988",1.16120886282177,
"AUS","GDEXPRD","TOT","PC_GDP","A","1990",1.25728318967593,
"AUS","GDEXPRD","TOT","PC_GDP","A","1992",1.45934021407588,
"AUS","GDEXPRD","TOT","PC_GDP","A","1994",1.50594116318282,
"AUS","GDEXPRD","TOT","PC_GDP","A","1996",1.57958840015235,
"AUS","GDEXPRD","TOT","PC_GDP","A","1998",1.43520634450617,
"AUS","GDEXPRD","TOT","PC_GDP","A","2000",1.47363968674317,
"AUS","GDEXPRD","TOT","PC_GDP","A","2002",1.64590740680758,
"AUS","GDEXPRD","TOT","PC_GDP","A","2004",1.72646244131963,
"AUS","GDEXPRD","TOT","PC_GDP","A","2006",2.00105854721745,
"AUS","GDEXPRD","TOT","PC_GDP","A","2008",2.24371482191236,
"AUS","GDEXPRD","TOT","PC_GDP","A","2010",2.17956391801202,
"AUS","GDEXPRD","TOT","PC_GDP","A","2011",2.11301873913461,
"AUS","GDEXPRD","TOT","PC_GDP","A","2013",2.09380475504458,
"AUS","GDEXPRD","TOT","PC_GDP","A","2015",1.88104284788644,
"AUS","GDEXPRD","TOT","PC_GDP","A","2017",1.79427830253957,
"AUS","GDEXPRD","TOT","PC_GDP","A","2019",1.79856133280053,
"AUT","GDEXPRD","TOT","MLN_USD","A","1981",2366.04635295964,
"AUT","GDEXPRD","TOT","MLN_USD","A","1982",2514.56998280253,
"AUT","GDEXPRD","TOT","MLN_USD","A","1983",2610.25277032357,
"AUT","GDEXPRD","TOT","MLN_USD","A","1984",2725.91399551071,
"AUT","GDEXPRD","TOT","MLN_USD","A","1985",2798.7237825606,
"AUT","GDEXPRD","TOT","MLN_USD","A","1986",2957.31089424752,
