COUNTRY,Country,SECTPERF,Sector,SECTFUND,Source of funds,MEASURE,Measure,YEAR,year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,_T,Total intramural,_T,Total funding,MIO_NAC,National Currency,2013,2013,AUD,Australian Dollar,6,Millions,,,33471.5,E,Estimated value
AUS,Australia,_T,Total intramural,_T,Total funding,MIO_NAC,National Currency,2015,2015,AUD,Australian Dollar,6,Millions,,,31179,E,Estimated value
AUS,Australia,_T,Total intramural,_T,Total funding,MIO_NAC,National Currency,2017,2017,AUD,Australian Dollar,6,Millions,,,33062,E,Estimated value
AUS,Australia,_T,Total intramural,_T,Total funding,MIO_NAC,National Currency,2019,2019,AUD,Australian Dollar,6,Millions,,,35602,E,Estimated value
AUS,Australia,BES,Business enterprise,_T,Total funding,MIO_NAC,National Currency,2013,2013,AUD,Australian Dollar,6,Millions,,,18849.4,,
AUS,Australia,BES,Business enterprise,_T,Total funding,MIO_NAC,National Currency,2015,2015,AUD,Australian Dollar,6,Millions,,,16659.3,,
AUS,Australia,BES,Business enterprise,_T,Total funding,MIO_NAC,National Currency,2017,2017,AUD,Australian Dollar,6,Millions,,,17437.6,,
AUS,Australia,BES,Business enterprise,_T,Total funding,MIO_NAC,National Currency,2019,2019,AUD,Australian Dollar,6,Millions,,,18171.1,,
AUS,Australia,GOV,Government,_T,Total funding,MIO_NAC,National Currency,2013,2013,AUD,Australian Dollar,6,Millions,,,3751.6,E,Estimated value
AUS,Australia,GOV,Government,_T,Total funding,MIO_NAC,National Currency,2014,2014,AUD,Australian Dollar,6,Millions,,,3329.3,,
AUS,Australia,GOV,Government,_T,Total funding,MIO_NAC,National Currency,2015,2015,AUD,Australian Dollar,6,Millions,,,3959,E,Estimated value
AUS,Australia,GOV,Government,_T,Total funding,MIO_NAC,National Currency,2016,2016,AUD,Australian Dollar,6,Millions,,,3278.8,,
AUS,Australia,GOV,Government,_T,Total funding,MIO_NAC,National Currency,2017,2017,AUD,Australian Dollar,6,Millions,,,3329,E,Estimated value
AUS,Australia,GOV,Government,_T,Total funding,MIO_NAC,National Currency,2018,2018,AUD,Australian Dollar,6,Millions,,,3329.8,,
AUS,Australia,GOV,Government,_T,Total funding,MIO_NAC,National Currency,2019,2019,AUD,Australian Dollar,6,Millions,,,3384,E,Estimated value
AUS,Australia,GOV,Government,_T,Total funding,MIO_NAC,National Currency,2020,2020,AUD,Australian Dollar,6,Millions,,,3618,,
AUS,Australia,HES,Higher education,_T,Total funding,MIO_NAC,National Currency,2013,2013,AUD,Australian Dollar,6,Millions,,,9918.6,E,Estimated value
AUS,Australia,HES,Higher education,_T,Total funding,MIO_NAC,National Currency,2014,2014,AUD,Australian Dollar,6,Millions,,,10145.1,,
AUS,Australia,HES,Higher education,_T,Total funding,MIO_NAC,National Currency,2015,2015,AUD,Australian Dollar,6,Millions,,,9549,E,Estimated value
AUS,Australia,HES,Higher education,_T,Total funding,MIO_NAC,National Currency,2016,2016,AUD,Australian Dollar,6,Millions,,,10877.5,,
AUS,Australia,HES,Higher education,_T,Total funding,MIO_NAC,National Currency,2017,2017,AUD,Australian Dollar,6,Millions,,,11235,E,Estimated value
AUS,Australia,HES,Higher education,_T,Total funding,MIO_NAC,National Currency,2018,2018,AUD,Australian Dollar,6,Millions,,,12157.8,,
AUS,Australia,HES,Higher education,_T,Total funding,MIO_NAC,National Currency,2019,2019,AUD,Australian Dollar,6,Millions,,,12714,E,Estimated value
AUS,Australia,HES,Higher education,_T,Total funding,MIO_NAC,National Currency,2020,2020,AUD,Australian Dollar,6,Millions,,,12667.6,,
AUS,Australia,PNP,Private non-profit,_T,Total funding,MIO_NAC,National Currency,2013,2013,AUD,Australian Dollar,6,Millions,,,951.8,E,Estimated value
AUS,Australia,PNP,Private non-profit,_T,Total funding,MIO_NAC,National Currency,2014,2014,AUD,Australian Dollar,6,Millions,,,1007.1,,
AUS,Australia,PNP,Private non-profit,_T,Total funding,MIO_NAC,National Currency,2015,2015,AUD,Australian Dollar,6,Millions,,,1011,E,Estimated value
AUS,Australia,PNP,Private non-profit,_T,Total funding,MIO_NAC,National Currency,2016,2016,AUD,Australian Dollar,6,Millions,,,1039.8,,
AUS,Australia,PNP,Private non-profit,_T,Total funding,MIO_NAC,National Currency,2017,2017,AUD,Australian Dollar,6,Millions,,,1060,E,Estimated value
AUS,Australia,PNP,Private non-profit,_T,Total funding,MIO_NAC,National Currency,2018,2018,AUD,Australian Dollar,6,Millions,,,1269.2,,
AUS,Australia,PNP,Private non-profit,_T,Total funding,MIO_NAC,National Currency,2019,2019,AUD,Australian Dollar,6,Millions,,,1333,E,Estimated value
AUS,Australia,PNP,Private non-profit,_T,Total funding,MIO_NAC,National Currency,2020,2020,AUD,Australian Dollar,6,Millions,,,1398.6,,
AUS,Australia,BES,Business enterprise,BES,Business enterprise sector,MIO_NAC,National Currency,2013,2013,AUD,Australian Dollar,6,Millions,,,18133.8,,
AUS,Australia,BES,Business enterprise,BES,Business enterprise sector,MIO_NAC,National Currency,2015,2015,AUD,Australian Dollar,6,Millions,,,16026.1,,
AUS,Australia,BES,Business enterprise,BES,Business enterprise sector,MIO_NAC,National Currency,2017,2017,AUD,Australian Dollar,6,Millions,,,16744.1,,
AUS,Australia,BES,Business enterprise,BES,Business enterprise sector,MIO_NAC,National Currency,2019,2019,AUD,Australian Dollar,6,Millions,,,17285.8,,
AUS,Australia,GOV,Government,BES,Business enterprise sector,MIO_NAC,National Currency,2014,2014,AUD,Australian Dollar,6,Millions,,,328.8,,
AUS,Australia,GOV,Government,BES,Business enterprise sector,MIO_NAC,National Currency,2016,2016,AUD,Australian Dollar,6,Millions,,,337.7,,
AUS,Australia,GOV,Government,BES,Business enterprise sector,MIO_NAC,National Currency,2018,2018,AUD,Australian Dollar,6,Millions,,,332.5,,
AUS,Australia,GOV,Government,BES,Business enterprise sector,MIO_NAC,National Currency,2020,2020,AUD,Australian Dollar,6,Millions,,,444.3,,
AUS,Australia,HES,Higher education,BES,Business enterprise sector,MIO_NAC,National Currency,2014,2014,AUD,Australian Dollar,6,Millions,,,512.4,,
AUS,Australia,HES,Higher education,BES,Business enterprise sector,MIO_NAC,National Currency,2016,2016,AUD,Australian Dollar,6,Millions,,,556.8,,
AUS,Australia,HES,Higher education,BES,Business enterprise sector,MIO_NAC,National Currency,2018,2018,AUD,Australian Dollar,6,Millions,,,595.6,,
AUS,Australia,HES,Higher education,BES,Business enterprise sector,MIO_NAC,National Currency,2020,2020,AUD,Australian Dollar,6,Millions,,,695.7,,
AUS,Australia,PNP,Private non-profit,BES,Business enterprise sector,MIO_NAC,National Currency,2014,2014,AUD,Australian Dollar,6,Millions,,,65,,
AUS,Australia,PNP,Private non-profit,BES,Business enterprise sector,MIO_NAC,National Currency,2016,2016,AUD,Australian Dollar,6,Millions,,,58.5,v,The sum of the breakdown does not add to the total (see source and methods)
AUS,Australia,PNP,Private non-profit,BES,Business enterprise sector,MIO_NAC,National Currency,2018,2018,AUD,Australian Dollar,6,Millions,,,84,v,The sum of the breakdown does not add to the total (see source and methods)
AUS,Australia,PNP,Private non-profit,BES,Business enterprise sector,MIO_NAC,National Currency,2020,2020,AUD,Australian Dollar,6,Millions,,,94.1,,
AUS,Australia,BES,Business enterprise,ROW,Rest of the world (ROW),MIO_NAC,National Currency,2013,2013,AUD,Australian Dollar,6,Millions,,,300.8,,
AUS,Australia,BES,Business enterprise,ROW,Rest of the world (ROW),MIO_NAC,National Currency,2015,2015,AUD,Australian Dollar,6,Millions,,,260.3,,
AUS,Australia,BES,Business enterprise,ROW,Rest of the world (ROW),MIO_NAC,National Currency,2017,2017,AUD,Australian Dollar,6,Millions,,,273.4,,
AUS,Australia,BES,Business enterprise,ROW,Rest of the world (ROW),MIO_NAC,National Currency,2019,2019,AUD,Australian Dollar,6,Millions,,,351.1,,
AUS,Australia,GOV,Government,ROW,Rest of the world (ROW),MIO_NAC,National Currency,2014,2014,AUD,Australian Dollar,6,Millions,,,95.4,,
AUS,Australia,GOV,Government,ROW,Rest of the world (ROW),MIO_NAC,National Currency,2016,2016,AUD,Australian Dollar,6,Millions,,,90.8,,
AUS,Australia,GOV,Government,ROW,Rest of the world (ROW),MIO_NAC,National Currency,2018,2018,AUD,Australian Dollar,6,Millions,,,96.1,,
AUS,Australia,GOV,Government,ROW,Rest of the world (ROW),MIO_NAC,National Currency,2020,2020,AUD,Australian Dollar,6,Millions,,,97.6,,
AUS,Australia,HES,Higher education,ROW,Rest of the world (ROW),MIO_NAC,National Currency,2014,2014,AUD,Australian Dollar,6,Millions,,,240.4,,
AUS,Australia,HES,Higher education,ROW,Rest of the world (ROW),MIO_NAC,National Currency,2016,2016,AUD,Australian Dollar,6,Millions,,,372.3,,
AUS,Australia,HES,Higher education,ROW,Rest of the world (ROW),MIO_NAC,National Currency,2018,2018,AUD,Australian Dollar,6,Millions,,,390.4,,
AUS,Australia,HES,Higher education,ROW,Rest of the world (ROW),MIO_NAC,National Currency,2020,2020,AUD,Australian Dollar,6,Millions,,,446,,
AUS,Australia,PNP,Private non-profit,ROW,Rest of the world (ROW),MIO_NAC,National Currency,2014,2014,AUD,Australian Dollar,6,Millions,,,45.9,,
AUS,Australia,PNP,Private non-profit,ROW,Rest of the world (ROW),MIO_NAC,National Currency,2016,2016,AUD,Australian Dollar,6,Millions,,,51,,
AUS,Australia,PNP,Private non-profit,ROW,Rest of the world (ROW),MIO_NAC,National Currency,2018,2018,AUD,Australian Dollar,6,Millions,,,53.5,,
AUS,Australia,PNP,Private non-profit,ROW,Rest of the world (ROW),MIO_NAC,National Currency,2020,2020,AUD,Australian Dollar,6,Millions,,,106.8,,
AUS,Australia,BES,Business enterprise,GOV,Government sector,MIO_NAC,National Currency,2013,2013,AUD,Australian Dollar,6,Millions,,,402.4,,
AUS,Australia,BES,Business enterprise,GOV,Government sector,MIO_NAC,National Currency,2015,2015,AUD,Australian Dollar,6,Millions,,,365,,
AUS,Australia,BES,Business enterprise,GOV,Government sector,MIO_NAC,National Currency,2017,2017,AUD,Australian Dollar,6,Millions,,,417,,
AUS,Australia,BES,Business enterprise,GOV,Government sector,MIO_NAC,National Currency,2019,2019,AUD,Australian Dollar,6,Millions,,,527.1,,
AUS,Australia,GOV,Government,GOV,Government sector,MIO_NAC,National Currency,2014,2014,AUD,Australian Dollar,6,Millions,,,2748.8,,
AUS,Australia,GOV,Government,GOV,Government sector,MIO_NAC,National Currency,2016,2016,AUD,Australian Dollar,6,Millions,,,2725.7,,
AUS,Australia,GOV,Government,GOV,Government sector,MIO_NAC,National Currency,2018,2018,AUD,Australian Dollar,6,Millions,,,2764,,
AUS,Australia,GOV,Government,GOV,Government sector,MIO_NAC,National Currency,2020,2020,AUD,Australian Dollar,6,Millions,,,2918.5,,
AUS,Australia,HES,Higher education,GOV,Government sector,MIO_NAC,National Currency,2014,2014,AUD,Australian Dollar,6,Millions,,,9199.5,,
AUS,Australia,HES,Higher education,GOV,Government sector,MIO_NAC,National Currency,2016,2016,AUD,Australian Dollar,6,Millions,,,9697.3,,
AUS,Australia,HES,Higher education,GOV,Government sector,MIO_NAC,National Currency,2018,2018,AUD,Australian Dollar,6,Millions,,,10871.3,,
AUS,Australia,HES,Higher education,GOV,Government sector,MIO_NAC,National Currency,2020,2020,AUD,Australian Dollar,6,Millions,,,11110.2,,
AUS,Australia,PNP,Private non-profit,GOV,Government sector,MIO_NAC,National Currency,2014,2014,AUD,Australian Dollar,6,Millions,,,483.8,,
AUS,Australia,PNP,Private non-profit,GOV,Government sector,MIO_NAC,National Currency,2016,2016,AUD,Australian Dollar,6,Millions,,,493.5,,
AUS,Australia,PNP,Private non-profit,GOV,Government sector,MIO_NAC,National Currency,2018,2018,AUD,Australian Dollar,6,Millions,,,561.8,,
AUS,Australia,PNP,Private non-profit,GOV,Government sector,MIO_NAC,National Currency,2020,2020,AUD,Australian Dollar,6,Millions,,,647.6,,
AUS,Australia,BES,Business enterprise,HES,Higher education sector,MIO_NAC,National Currency,2013,2013,AUD,Australian Dollar,6,Millions,,,6.9,,
AUS,Australia,BES,Business enterprise,HES,Higher education sector,MIO_NAC,National Currency,2015,2015,AUD,Australian Dollar,6,Millions,,,0.6,,
AUS,Australia,BES,Business enterprise,HES,Higher education sector,MIO_NAC,National Currency,2017,2017,AUD,Australian Dollar,6,Millions,,,3.1,,
AUS,Australia,BES,Business enterprise,HES,Higher education sector,MIO_NAC,National Currency,2019,2019,AUD,Australian Dollar,6,Millions,,,7.2,,
AUS,Australia,GOV,Government,HES,Higher education sector,MIO_NAC,National Currency,2014,2014,AUD,Australian Dollar,6,Millions,,,53.3,,
AUS,Australia,GOV,Government,HES,Higher education sector,MIO_NAC,National Currency,2016,2016,AUD,Australian Dollar,6,Millions,,,9.2,,
AUS,Australia,GOV,Government,HES,Higher education sector,MIO_NAC,National Currency,2018,2018,AUD,Australian Dollar,6,Millions,,,21.1,,
AUS,Australia,GOV,Government,HES,Higher education sector,MIO_NAC,National Currency,2020,2020,AUD,Australian Dollar,6,Millions,,,37,,
AUS,Australia,PNP,Private non-profit,HES,Higher education sector,MIO_NAC,National Currency,2014,2014,AUD,Australian Dollar,6,Millions,,,24.2,,
AUS,Australia,PNP,Private non-profit,HES,Higher education sector,MIO_NAC,National Currency,2016,2016,AUD,Australian Dollar,6,Millions,,,16.2,,
AUS,Australia,PNP,Private non-profit,HES,Higher education sector,MIO_NAC,National Currency,2018,2018,AUD,Australian Dollar,6,Millions,,,15.9,,
AUS,Australia,PNP,Private non-profit,HES,Higher education sector,MIO_NAC,National Currency,2020,2020,AUD,Australian Dollar,6,Millions,,,15.9,,
