stakeholder,keyword,mid,title,type
Businesses,product development,/m/09d_l6,"PPD, Inc.",Pharmaceutical company
Businesses,product development,/m/01fnjy,New product development,Topic
Businesses,product development,/g/11jjmbhjj9,The Perfect Marriage: A Completely Gripping Psychological Suspense,Book by Jeneva Rose
Businesses,product development,/g/11fv1l7yfs,"What Happened to You? Conversations on Trauma, Resilience, and Healing",Book by Bruce D. Perry and Oprah Winfrey
Businesses,product development,/g/11l8sm8vdq,How to Change: The Science of Getting from Where You Are to Where You Want to Be,Book by Katy Milkman
VCs,startup funding,/g/11hj1f4yh_,"The Cult of We: WeWork, Adam Neumann, and the Great Startup Delusion",Book by Eliot Brown and Maureen Farrell
VCs,startup funding,/g/12bmzbctd,Venture Deals: Be Smarter Than Your Lawyer and Venture Capitalist,Book by Brad Feld and Jason Mendelson
VCs,startup funding,/g/11gvwmm1s8,Secrets of Sand Hill Road: Venture Capital and How to Get It,Book by Scott Kupor
VCs,startup funding,/g/11g1np4zsr,"High Growth Handbook: Scaling Startups from 10 to 10,000 People",Book by Elad Gil
VCs,startup funding,/g/11c74fp5nb,Felecia Hatcher,Author
VCs,VC investment,/g/12bmzbctd,Venture Deals: Be Smarter Than Your Lawyer and Venture Capitalist,Book by Brad Feld and Jason Mendelson
Research Institutions,research grant,/g/11rvh3d_px,The Stress Prescription: Seven Days to More Joy and Ease,"Book by Elissa Epel, PhD"
Research Institutions,research grant,/g/11gjbrszts,"How Minds Change: The New Science of Belief, Opinion and Persuasion",Book by David McRaney
Research Institutions,research grant,/g/11fyljxm9m,The Person You Mean to Be: How Good People Fight Bias,Book by Dolly Chugh
Research Institutions,research grant,/g/11bc56xplv,Divine Sex: A Compelling Vision for Christian Relationships in a Hypersexualized Age,Book by Jonathan Grant
Research Institutions,research grant,/g/11b60fcmpk,The 5 Choices: The Path to Extraordinary Productivity,"Book by Adam Merrill, Kory Kogon, and Leena Rinne"
Research Institutions,collaboration with industry,/g/11srxyb_c5,Snakes on the Ganga: Breaking India 2.0,Book by Rajiv Malhotra and Vijaya Viswanathan
Research Institutions,collaboration with industry,/g/11c6crpl72,"No Ego: How Leaders Can Cut the Cost of Workplace Drama, End Entitlement, and Drive Big Results",Book by Cy Wakeman
Research Institutions,collaboration with industry,/m/04w1_bh,Rent Girl,Book by Michelle Tea
Research Institutions,collaboration with industry,/g/1z2ttrtb3,Scrum For Dummies,Book
Research Institutions,collaboration with industry,/m/059bm87,Leading and Managing in Nursing,Book by Patricia S. Yoder-Wise
Government agencies,research funding,/m/04vp_m,Funding of science,Topic
Government agencies,research funding,/g/11fzynt912,Stock Investing For Dummies,Book by Paul Mladjenovic
Government agencies,research funding,/g/11mh_wm_yz,The Violence Project: How to Stop a Mass Shooting Epidemic,Book by James Densley and Jillian Peterson
Government agencies,research funding,/m/04ymzf7,The Complete Adult Psychotherapy Treatment Planner,Book by Arthur E.
Government agencies,research funding,/g/11hbpdfphj,Australian Communications Consumer Action Network,Topic
Tax Authorities,R&D tax credit,/g/11h28zk0v1,R&D TAX CREDITS,Topic
Consulting Firms,innovation strategy,/g/11b7q760x6,The Surprising Power of Liberating Structures: Simple Rules to Unleash a Culture of Innovation,Book by Henri Lipmanowicz and Keith McCandless
Consulting Firms,innovation strategy,/g/11bwpsqlcl,University Physics,Textbook
Consulting Firms,innovation strategy,/g/11c1m_wlfv,The Business Model Navigator: 55 Models That Will Revolutionise Your Business,Book by Karolin Frankenberger and Oliver Gassmann
Consulting Firms,innovation strategy,/g/11jtt8rp62,"Invent and Wander: The Collected Writings of Jeff Bezos, with an Introduction by Walter Isaacson",Book by Jeff Bezos
Consulting Firms,innovation strategy,/g/11bwpqw8fn,Strategic Intent,Book by C. K. Prahalad and Gary Hamel
Consulting Firms,innovation management,/m/051yrpj,Innovation management,Topic
Consulting Firms,innovation management,/g/11d_1q4zww,Ivor Cummins,YouTuber
Consulting Firms,innovation management,/g/11h5dfdlcb,SAP Billing and Revenue Innovation Management: Functionality and Configuration,Book by Chaitanaya Desai
Consulting Firms,innovation management,/g/1hctn1xtv,What Makes a Leader? (Harvard Business Review Classics),Book by Daniel Goleman
Consulting Firms,innovation management,/g/12bnpj81b,"Teaming: How Organizations Learn, Innovate, and Compete in the Knowledge Economy",Book by Amy Edmondson
Innovation Hubs,startup incubation,/g/1ptz86kgh,"Startup Incubation and Innovation Centre, IIT Kanpur","Business center in Kanpur, India"
Innovation Hubs,technology park,/g/120pncm1,technology park,Topic
Innovation Hubs,technology park,/m/02vkds9,Hong Kong Science and Technology Parks Corporation,Technology company
Innovation Hubs,technology park,/g/11r91vff17,Beitou-Shilin Technology Park,Topic
Innovation Hubs,technology park,/g/11b77wvx57,Kaohsiung Software Technology Park,"Corporate campus in Kaohsiung, Taiwan"
Innovation Hubs,technology park,/m/0g16k9,Software Technology Parks of India,Government ministry
Patent Attorneys,patent registration,/g/12215qgd,Finnish Patent and Registration Office,Company
Patent Attorneys,patent registration,/m/043r7c3,Swedish Intellectual Property Office,Government agency
Patent Attorneys,patent registration,/g/1q5bqhvwx,Swedish Patent and Registration Office,"Patent office in Stockholm, Sweden"
Patent Attorneys,patent attorney,/m/037ngc,Patent attorney,Patent attorney
Patent Attorneys,patent attorney,/g/121_c49d,Patent Agent,Profession
Patent Attorneys,patent attorney,/m/0wx_3ml,Japan Patent Attorneys Association,Bar association
Patent Attorneys,patent attorney,/g/1tgcx44h,COHAUSZ & FLORACK patent attorneys and lawyers PartG MBB,"Patent attorney in Düsseldorf, Germany"
Patent Attorneys,patent attorney,/g/12321dsf,Patent Attorneys Act,Topic
