Year,US_Businesses_R&D expenditure,US_Businesses_product development,US_VCs_startup funding,US_VCs_VC investment,US_Research Institutions_research grant,US_Research Institutions_collaboration with industry,US_Government agencies_research funding,US_Government agencies_government grants,US_R&D Employees_R&D jobs,US_Tax Authorities_R&D tax credit,US_Consulting Firms_innovation strategy,US_Consulting Firms_innovation management,US_Innovation Hubs_startup incubation,US_Innovation Hubs_technology park,US_Patent Attorneys_patent registration,US_Patent Attorneys_patent attorney,CN_Businesses_product development,CN_Consulting Firms_innovation strategy,CN_Consulting Firms_innovation management,JP_Businesses_product development,JP_VCs_startup funding,JP_Research Institutions_research grant,JP_Government agencies_research funding,JP_Consulting Firms_innovation strategy,JP_Consulting Firms_innovation management,JP_Innovation Hubs_technology park,JP_Patent Attorneys_patent attorney,DE_Businesses_product development,DE_VCs_startup funding,DE_VCs_VC investment,DE_Research Institutions_research grant,DE_Government agencies_research funding,DE_Government agencies_government grants,DE_R&D Employees_R&D jobs,DE_Consulting Firms_innovation strategy,DE_Consulting Firms_innovation management,DE_Innovation Hubs_technology park,DE_Patent Attorneys_patent attorney,KR_Businesses_product development,KR_VCs_startup funding,KR_VCs_VC investment,KR_Research Institutions_research grant,KR_Government agencies_research funding,KR_Tax Authorities_R&D tax credit,KR_Consulting Firms_innovation strategy,KR_Innovation Hubs_technology park,KR_Patent Attorneys_patent registration,CA_Businesses_product development,CA_VCs_startup funding,CA_VCs_VC investment,CA_Government agencies_research funding,CA_Government agencies_government grants,CA_R&D Employees_R&D jobs,CA_Tax Authorities_R&D tax credit,CA_Innovation Hubs_technology park,CA_Patent Attorneys_patent registration,CA_Patent Attorneys_patent attorney,CH_Businesses_product development,CH_Research Institutions_research grant,CH_Consulting Firms_innovation strategy,CH_Patent Attorneys_patent attorney,GB_Businesses_R&D expenditure,GB_Businesses_product development,GB_VCs_startup funding,GB_VCs_VC investment,GB_Research Institutions_research grant,GB_Government agencies_research funding,GB_Government agencies_government grants,GB_Tax Authorities_R&D tax credit,GB_Consulting Firms_innovation strategy,GB_Consulting Firms_innovation management,GB_Innovation Hubs_technology park,GB_Patent Attorneys_patent registration,GB_Patent Attorneys_patent attorney
2004,14.083333333333334,80.41666666666667,0.0,0.0,83.91666666666667,0.0,72.5,48.333333333333336,17.583333333333332,35.666666666666664,24.583333333333332,0.0,0.0,79.5,45.583333333333336,77.25,0.0,0.0,2.9166666666666665,0.0,6.833333333333333,16.0,0.0,20.416666666666668,0.0,0.0,21.25,0.0,20.75,0.0,19.166666666666668,27.166666666666668,0.0,0.0,13.75,28.0,0.0,27.916666666666668,3.4166666666666665,0.0,12.666666666666666,6.083333333333333,8.333333333333334,0.0,6.916666666666667,0.0,8.333333333333334,0.0,13.416666666666666,0.0,0.0,56.666666666666664,26.666666666666668,10.166666666666666,30.5,18.0,6.416666666666667,19.916666666666668,12.416666666666666,16.083333333333332,25.583333333333332,0.0,59.083333333333336,0.0,0.0,54.333333333333336,0.0,53.833333333333336,0.0,0.0,0.0,64.5,12.916666666666666,41.833333333333336
2005,14.416666666666666,68.5,0.0,0.0,66.33333333333333,25.25,62.333333333333336,41.0,19.0,13.333333333333334,23.083333333333332,0.0,0.0,68.5,20.833333333333332,74.0,0.0,0.0,1.4166666666666667,0.0,20.75,4.75,0.0,7.916666666666667,0.0,0.0,4.916666666666667,0.0,8.25,9.25,7.083333333333333,17.833333333333332,0.0,0.0,16.75,30.416666666666668,0.0,11.75,17.333333333333332,0.0,8.333333333333334,14.75,7.166666666666667,0.0,11.5,0.0,0.0,0.0,10.25,0.0,0.0,51.916666666666664,14.5,7.583333333333333,23.333333333333332,11.916666666666666,20.0,29.916666666666668,5.916666666666667,13.083333333333334,7.083333333333333,0.0,47.083333333333336,0.0,22.333333333333332,33.916666666666664,0.0,48.833333333333336,0.0,0.0,0.0,58.75,22.083333333333332,30.833333333333332
2006,5.916666666666667,57.75,0.0,0.0,53.416666666666664,21.25,48.416666666666664,32.083333333333336,16.083333333333332,19.083333333333332,17.916666666666668,0.0,0.0,61.5,18.75,70.58333333333333,0.0,0.0,4.25,0.0,3.0,4.333333333333333,0.0,2.0833333333333335,0.0,0.0,12.666666666666666,0.0,22.25,18.416666666666668,4.833333333333333,1.3333333333333333,0.0,0.0,4.666666666666667,26.833333333333332,0.0,14.75,24.666666666666668,0.0,6.0,10.666666666666666,10.166666666666666,0.0,2.8333333333333335,0.0,2.5833333333333335,0.0,11.75,0.0,0.0,38.833333333333336,13.0,4.083333333333333,22.0,6.0,42.416666666666664,25.0,4.666666666666667,5.5,24.833333333333332,0.0,40.75,0.0,2.0833333333333335,35.166666666666664,0.0,46.083333333333336,0.0,0.0,0.0,56.083333333333336,6.583333333333333,27.083333333333332
2007,9.0,53.333333333333336,0.0,0.0,48.666666666666664,20.916666666666668,41.75,27.833333333333332,20.333333333333332,16.5,14.916666666666666,0.0,0.0,59.25,17.666666666666668,62.5,0.0,0.0,2.5833333333333335,0.0,6.0,5.416666666666667,0.0,1.5833333333333333,0.0,0.0,13.25,0.0,12.166666666666666,3.5833333333333335,2.25,12.416666666666666,0.0,0.0,2.25,30.583333333333332,0.0,9.75,23.916666666666668,0.0,2.4166666666666665,1.4166666666666667,17.666666666666668,0.0,5.5,0.0,0.0,0.0,4.833333333333333,0.0,0.0,41.916666666666664,11.333333333333334,1.5,22.083333333333332,5.25,14.166666666666666,16.25,2.8333333333333335,4.083333333333333,16.083333333333332,0.0,34.583333333333336,0.0,15.833333333333334,24.916666666666668,0.0,43.583333333333336,0.0,0.0,0.0,52.25,12.25,27.416666666666668
2008,5.25,48.583333333333336,0.0,0.0,44.916666666666664,4.5,36.833333333333336,33.25,15.75,19.25,15.5,0.0,0.0,53.333333333333336,16.833333333333332,59.583333333333336,0.0,0.0,2.5,0.0,5.833333333333333,9.333333333333334,0.0,4.916666666666667,0.0,0.0,6.0,0.0,6.416666666666667,5.75,2.4166666666666665,7.583333333333333,0.0,0.0,4.166666666666667,27.416666666666668,0.0,12.833333333333334,23.25,0.0,2.6666666666666665,9.75,12.916666666666666,0.0,4.75,0.0,6.0,0.0,1.3333333333333333,0.0,0.0,40.0,20.333333333333332,1.75,11.916666666666666,7.5,11.5,18.416666666666668,3.9166666666666665,3.0833333333333335,7.916666666666667,0.0,31.166666666666668,0.0,2.9166666666666665,26.583333333333332,0.0,48.0,0.0,0.0,0.0,44.333333333333336,8.833333333333334,27.166666666666668
2009,3.8333333333333335,44.916666666666664,0.0,0.0,47.083333333333336,9.416666666666666,38.333333333333336,47.0,24.916666666666668,16.0,23.166666666666668,0.0,0.0,48.583333333333336,15.583333333333334,55.916666666666664,0.0,0.0,1.5,0.0,3.25,6.916666666666667,0.0,4.75,0.0,0.0,9.083333333333334,0.0,3.5,2.9166666666666665,4.416666666666667,7.416666666666667,0.0,0.0,7.333333333333333,27.083333333333332,0.0,9.916666666666666,10.166666666666666,0.0,5.166666666666667,5.25,6.166666666666667,0.0,2.5833333333333335,0.0,3.3333333333333335,0.0,0.9166666666666666,0.0,0.0,70.08333333333333,9.333333333333334,3.4166666666666665,19.166666666666668,3.1666666666666665,11.166666666666666,13.166666666666666,6.25,7.083333333333333,7.166666666666667,0.0,26.333333333333332,0.0,4.666666666666667,21.583333333333332,0.0,57.166666666666664,0.0,0.0,0.0,40.916666666666664,6.166666666666667,22.833333333333332
2010,8.666666666666666,42.0,12.833333333333334,0.0,37.333333333333336,5.833333333333333,30.333333333333332,22.583333333333332,23.666666666666668,24.75,23.333333333333332,26.166666666666668,0.0,47.5,13.583333333333334,49.0,1.5,0.0,1.1666666666666667,0.0,2.0,4.583333333333333,0.0,2.1666666666666665,25.5,13.75,7.75,0.0,3.25,2.5833333333333335,3.0,5.583333333333333,0.0,3.4166666666666665,6.166666666666667,27.833333333333332,20.083333333333332,6.583333333333333,9.666666666666666,0.0,0.6666666666666666,3.0,4.25,0.0,1.5,7.666666666666667,5.083333333333333,0.0,2.0833333333333335,0.0,33.916666666666664,26.75,3.25,3.4166666666666665,12.083333333333334,2.5833333333333335,7.916666666666667,5.083333333333333,2.5,0.0,7.666666666666667,6.916666666666667,27.583333333333332,8.583333333333334,7.0,22.25,28.0,59.916666666666664,13.916666666666666,0.0,26.666666666666668,38.5,5.25,12.583333333333334
2011,4.75,39.916666666666664,38.25,0.0,33.416666666666664,2.4166666666666665,26.916666666666668,15.25,24.666666666666668,20.416666666666668,25.5,65.75,18.416666666666668,45.5,9.5,48.333333333333336,3.6666666666666665,0.0,0.0,0.0,1.5833333333333333,5.083333333333333,0.0,0.0,20.833333333333332,17.25,0.0,0.0,1.75,0.0,0.0,0.0,0.0,11.916666666666666,6.916666666666667,30.333333333333332,42.0,0.0,4.333333333333333,0.0,0.0,1.0833333333333333,2.0,0.0,0.3333333333333333,14.416666666666666,0.0,0.0,3.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166666666666665,0.0,9.083333333333334,30.25,29.416666666666668,17.666666666666668,6.0,20.25,61.083333333333336,52.25,30.666666666666668,0.0,65.0,40.416666666666664,2.9166666666666665,0.0
2012,6.333333333333333,37.0,50.5,0.0,31.333333333333332,3.0,25.583333333333332,12.166666666666666,25.833333333333332,21.333333333333332,24.083333333333332,63.75,10.75,42.666666666666664,10.75,43.666666666666664,3.6666666666666665,0.0,0.0,0.0,1.4166666666666667,4.25,0.0,0.0,30.0,28.166666666666668,0.0,0.0,2.1666666666666665,0.0,0.0,0.0,0.0,12.25,11.333333333333334,31.083333333333332,33.75,0.0,4.166666666666667,0.0,0.0,1.9166666666666667,1.75,0.0,0.4166666666666667,12.416666666666666,0.0,0.0,4.666666666666667,0.0,58.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5833333333333335,0.0,6.083333333333333,27.083333333333332,29.0,32.833333333333336,9.75,21.0,63.333333333333336,46.833333333333336,37.833333333333336,0.0,60.75,38.25,4.25,0.0
2013,2.0,37.083333333333336,58.0,0.0,30.25,5.083333333333333,24.166666666666668,9.0,24.416666666666668,18.75,23.25,65.16666666666667,14.5,40.833333333333336,9.5,40.666666666666664,7.75,0.0,0.0,0.0,1.0,2.75,0.0,0.0,23.833333333333332,16.916666666666668,0.0,0.0,2.5,0.0,0.0,0.0,0.0,19.166666666666668,12.083333333333334,33.166666666666664,27.75,0.0,3.75,0.0,0.0,0.75,1.6666666666666667,0.0,0.5,16.75,0.0,0.0,6.583333333333333,0.0,56.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,0.0,7.25,25.833333333333332,27.0,46.5,4.583333333333333,19.083333333333332,67.0,53.583333333333336,47.5,0.0,58.416666666666664,35.833333333333336,2.6666666666666665,0.0
