,mid,type
Research and development,/m/01lr_q,Topic
Expense,/m/01n9ps,Topic
Gross domestic product,/m/039mk,Topic
Technology,/m/07c1v,Topic
Research,/m/06cs1,Organization type
Statistics,/m/06mnr,Discipline
Organisation for Economic Co-operation and Development,/m/018cqq,Topic
Investment,/m/0g_fl,Topic
Industry,/m/03rnh,Economics
Country,/m/01lff,Topic
Tax,/m/07g82,Topic
Data,/m/026sq,Topic
European Union,/m/0_6t_z8,Topic
Innovation,/m/0vh9p,Topic
Government,/m/036nz,Organization type
Patent,/m/05sq5,Topic
Product development,/m/01fnjy,Topic
China,/m/0d05w3,Country in East Asia
Eurostat,/m/0328nz,Government agency
Product,/m/01jwgf,Business
Management,/m/04_tv,Field of study
Team,/m/011l78,Topic
Design,/m/02cwm,Topic
Business,/g/121jnq1m,Topic
Scrum,/m/0ck_p8,Software development
Software,/m/01mf0,Software grouping
Product Management,/m/01jsnw,Topic
Project,/m/0156dy,Topic
Engineering,/m/02ky346,Discipline
Strategy,/m/07b7r,Topic
Agile software development,/m/02zhbn,Topic
Manager,/m/0nblvpz,Profession
Definition,/m/026yf,Topic
Customer,/m/01j0mk,Topic
scrum sprint,/g/11bc5m_5dj,Topic
Marketing,/m/0g4gr,Topic
System,/m/0bj6r,Topic
Business development,/m/0c6zkt,Field of study
Product design,/m/03y18t,Topic
Process,/m/0c909,Computing
Funding,/m/03dd26,Film company role or service
Startup company,/m/0h01f,Topic
Venture capital,/m/01m2bt,Topic
Crowdfunding,/m/05ztt99,Organization type
Seed money,/m/02g2hm,Securities offering
Capital,/g/1233863h,Economics
Investor,/m/025sppp,Topic
Europe,/m/02j9z,Continent
Finance,/m/02_7t,Discipline
crunchbase,/m/0cc6_7b,Topic
Company,/g/120z18l3,Organization type
Grant,/m/06bpsl,Money
StartUp,/g/11cn8zz_m8,TV series
Founder,/m/02h6tgy,Religious leadership title
Angel investor,/m/03m3ym9,Topic
Valuation,/m/01yv7p,Finance
Series A round,/m/02x4nvx,Investment round
Market,/m/09y4pm,Economics
Plan,/m/018jrr,Topic
Money,/m/04_x4,Topic
India,/m/03rk0,Country in South Asia
Investment fund,/m/08nwn8,Topic
Bank,/m/017ql,Building function
Investment company,/m/078jxd,Organization type
Salary,/m/02w88k,Topic
Investment management,/m/05b6l8,Topic
Investment banking,/m/015p1m,Topic
Private equity,/m/01b4x4,Topic
Equity,/m/0hz8s,Finance
Analyst,/g/122h5gw1,Career
Share,/m/03jzl9,Finance
Union Investment,/m/0bwm133,Real estate investment management company
United States,/m/09c7w0,Country in North America
DWS Group,/g/123385cj,Asset management company
Financial Analyst,/m/03byzd,Career
LinkedIn,/m/03vgrr,Website
European Research Council,/m/06_v3b,Government agency
