,description,mid,type,Binary,Keyword,Topic Title,MID,Type
0,Expense,/m/01n9ps,Topic,1.0,R&D expenditure,Expense,/m/01n9ps,Topic
1,Expense,/m/01n9ps,Topic,1.0,R&D tax credit,Expense,/m/01n9ps,Topic
2,Expense,/m/01n9ps,Topic,1.0,R&D tax incentives,Expense,/m/01n9ps,Topic
3,Expense,/m/01n9ps,Topic,1.0,accounting for R&D,Expense,/m/01n9ps,Topic
17,Research and development,/m/01lr_q,Topic,1.0,R&D expenditure,Research and development,/m/01lr_q,Topic
18,Research and development,/m/01lr_q,Topic,1.0,R&D loans,Research and development,/m/01lr_q,Topic
19,Research and development,/m/01lr_q,Topic,1.0,R&D financing,Research and development,/m/01lr_q,Topic
20,Research and development,/m/01lr_q,Topic,1.0,research funding,Research and development,/m/01lr_q,Topic
21,Research and development,/m/01lr_q,Topic,1.0,R&D jobs,Research and development,/m/01lr_q,Topic
22,Research and development,/m/01lr_q,Topic,1.0,R&D collaboration tools,Research and development,/m/01lr_q,Topic
23,Research and development,/m/01lr_q,Topic,1.0,R&D tax credit,Research and development,/m/01lr_q,Topic
24,Research and development,/m/01lr_q,Topic,1.0,R&D tax incentives,Research and development,/m/01lr_q,Topic
25,Research and development,/m/01lr_q,Topic,1.0,tax advice for R&D,Research and development,/m/01lr_q,Topic
26,Research and development,/m/01lr_q,Topic,1.0,accounting for R&D,Research and development,/m/01lr_q,Topic
28,Research and development,/m/01lr_q,Topic,1.0,product development,Research and development,/m/01lr_q,Topic
30,Research and development,/m/01lr_q,Topic,1.0,research grant,Research and development,/m/01lr_q,Topic
43,Research and development,/m/01lr_q,Topic,1.0,innovation strategy,Research and development,/m/01lr_q,Topic
44,Research and development,/m/01lr_q,Topic,1.0,innovation management,Research and development,/m/01lr_q,Topic
162,Capital expenditure,/m/04xxl8,Topic,1.0,R&D expenditure,Capital expenditure,/m/04xxl8,Topic
165,Business,/g/121jnq1m,Topic,1.0,R&D expenditure,Business,/g/121jnq1m,Topic
166,Business,/g/121jnq1m,Topic,1.0,product development,Business,/g/121jnq1m,Topic
167,Business,/g/121jnq1m,Topic,1.0,startup funding,Business,/g/121jnq1m,Topic
168,Business,/g/121jnq1m,Topic,1.0,VC investment,Business,/g/121jnq1m,Topic
169,Business,/g/121jnq1m,Topic,1.0,R&D financing,Business,/g/121jnq1m,Topic
170,Business,/g/121jnq1m,Topic,1.0,collaboration with industry,Business,/g/121jnq1m,Topic
171,Business,/g/121jnq1m,Topic,1.0,government grants,Business,/g/121jnq1m,Topic
172,Business,/g/121jnq1m,Topic,1.0,R&D tax credit,Business,/g/121jnq1m,Topic
173,Business,/g/121jnq1m,Topic,1.0,R&D tax incentives,Business,/g/121jnq1m,Topic
174,Business,/g/121jnq1m,Topic,1.0,innovation strategy,Business,/g/121jnq1m,Topic
175,Business,/g/121jnq1m,Topic,1.0,innovation management,Business,/g/121jnq1m,Topic
176,Business,/g/121jnq1m,Topic,1.0,startup incubation,Business,/g/121jnq1m,Topic
177,Business,/g/121jnq1m,Topic,1.0,technology park,Business,/g/121jnq1m,Topic
178,Business,/g/121jnq1m,Topic,1.0,patent registration,Business,/g/121jnq1m,Topic
179,Business,/g/121jnq1m,Topic,1.0,accounting for R&D,Business,/g/121jnq1m,Topic
187,Business,/g/121jnq1m,Topic,1.0,patent attorney,Business,/g/121jnq1m,Topic
215,Business,/g/121jnq1m,Topic,1.0,R&D jobs,Business,/g/121jnq1m,Topic
232,Business,/g/121jnq1m,Topic,1.0,R&D loans,Business,/g/121jnq1m,Topic
242,Cost,/m/0168hv,Topic,1.0,R&D expenditure,Cost,/m/0168hv,Topic
243,Cost,/m/0168hv,Topic,1.0,product development,Cost,/m/0168hv,Topic
244,Cost,/m/0168hv,Topic,1.0,R&D loans,Cost,/m/0168hv,Topic
245,Cost,/m/0168hv,Topic,1.0,R&D financing,Cost,/m/0168hv,Topic
246,Cost,/m/0168hv,Topic,1.0,collaboration with industry,Cost,/m/0168hv,Topic
247,Cost,/m/0168hv,Topic,1.0,innovation strategy,Cost,/m/0168hv,Topic
248,Cost,/m/0168hv,Topic,1.0,patent registration,Cost,/m/0168hv,Topic
249,Cost,/m/0168hv,Topic,1.0,accounting for R&D,Cost,/m/0168hv,Topic
251,Cost,/m/0168hv,Topic,1.0,government grants,Cost,/m/0168hv,Topic
260,Cost,/m/0168hv,Topic,1.0,R&D tax incentives,Cost,/m/0168hv,Topic
372,Tax,/m/07g82,Topic,1.0,R&D expenditure,Tax,/m/07g82,Topic
373,Tax,/m/07g82,Topic,1.0,R&D loans,Tax,/m/07g82,Topic
374,Tax,/m/07g82,Topic,1.0,R&D financing,Tax,/m/07g82,Topic
375,Tax,/m/07g82,Topic,1.0,R&D tax credit,Tax,/m/07g82,Topic
376,Tax,/m/07g82,Topic,1.0,R&D tax incentives,Tax,/m/07g82,Topic
377,Tax,/m/07g82,Topic,1.0,tax advice for R&D,Tax,/m/07g82,Topic
378,Tax,/m/07g82,Topic,1.0,accounting for R&D,Tax,/m/07g82,Topic
381,Tax,/m/07g82,Topic,1.0,government grants,Tax,/m/07g82,Topic
400,Tax,/m/07g82,Topic,1.0,R&D jobs,Tax,/m/07g82,Topic
405,Financial capital,/m/0cf7f,Topic,1.0,R&D expenditure,Financial capital,/m/0cf7f,Topic
406,Financial capital,/m/0cf7f,Topic,1.0,VC investment,Financial capital,/m/0cf7f,Topic
408,Investment,/m/0g_fl,Topic,1.0,R&D expenditure,Investment,/m/0g_fl,Topic
409,Investment,/m/0g_fl,Topic,1.0,startup funding,Investment,/m/0g_fl,Topic
410,Investment,/m/0g_fl,Topic,1.0,VC investment,Investment,/m/0g_fl,Topic
411,Investment,/m/0g_fl,Topic,1.0,R&D loans,Investment,/m/0g_fl,Topic
412,Investment,/m/0g_fl,Topic,1.0,R&D financing,Investment,/m/0g_fl,Topic
413,Investment,/m/0g_fl,Topic,1.0,R&D tax incentives,Investment,/m/0g_fl,Topic
414,Investment,/m/0g_fl,Topic,1.0,startup incubation,Investment,/m/0g_fl,Topic
431,Investment,/m/0g_fl,Topic,1.0,collaboration with industry,Investment,/m/0g_fl,Topic
432,Investment,/m/0g_fl,Topic,1.0,R&D tax credit,Investment,/m/0g_fl,Topic
440,Gross domestic product,/m/039mk,Topic,1.0,R&D expenditure,Gross domestic product,/m/039mk,Topic
448,Credit,/m/05p8s2,Topic,1.0,R&D expenditure,Credit,/m/05p8s2,Topic
449,Credit,/m/05p8s2,Topic,1.0,R&D loans,Credit,/m/05p8s2,Topic
450,Credit,/m/05p8s2,Topic,1.0,R&D tax credit,Credit,/m/05p8s2,Topic
451,Credit,/m/05p8s2,Topic,1.0,R&D tax incentives,Credit,/m/05p8s2,Topic
452,Credit,/m/05p8s2,Topic,1.0,accounting for R&D,Credit,/m/05p8s2,Topic
459,Credit,/m/05p8s2,Topic,1.0,R&D financing,Credit,/m/05p8s2,Topic
469,Government spending,/m/04g_71,Topic,1.0,R&D expenditure,Government spending,/m/04g_71,Topic
471,Pharmaceutical industry,/m/02q3wl,Topic,1.0,R&D expenditure,Pharmaceutical industry,/m/02q3wl,Topic
472,Pharmaceutical industry,/m/02q3wl,Topic,1.0,R&D jobs,Pharmaceutical industry,/m/02q3wl,Topic
482,Technology,/m/07c1v,Topic,1.0,R&D expenditure,Technology,/m/07c1v,Topic
483,Technology,/m/07c1v,Topic,1.0,product development,Technology,/m/07c1v,Topic
484,Technology,/m/07c1v,Topic,1.0,startup funding,Technology,/m/07c1v,Topic
485,Technology,/m/07c1v,Topic,1.0,VC investment,Technology,/m/07c1v,Topic
486,Technology,/m/07c1v,Topic,1.0,collaboration with industry,Technology,/m/07c1v,Topic
487,Technology,/m/07c1v,Topic,1.0,R&D jobs,Technology,/m/07c1v,Topic
488,Technology,/m/07c1v,Topic,1.0,R&D tax incentives,Technology,/m/07c1v,Topic
489,Technology,/m/07c1v,Topic,1.0,innovation strategy,Technology,/m/07c1v,Topic
490,Technology,/m/07c1v,Topic,1.0,innovation management,Technology,/m/07c1v,Topic
491,Technology,/m/07c1v,Topic,1.0,startup incubation,Technology,/m/07c1v,Topic
492,Technology,/m/07c1v,Topic,1.0,technology park,Technology,/m/07c1v,Topic
495,Technology,/m/07c1v,Topic,1.0,research grant,Technology,/m/07c1v,Topic
496,Technology,/m/07c1v,Topic,1.0,research funding,Technology,/m/07c1v,Topic
527,Technology,/m/07c1v,Topic,1.0,R&D financing,Technology,/m/07c1v,Topic
